year,trois_DET îles_NOUN,trois_DET iles_NOUN,trois_DET villes_NOUN
1800,2.138031902632065e-07,9.432493897065797e-09,4.213180417877993e-07
1801,2.7145480885337747e-07,1.6668277424969347e-08,5.643402474220238e-07
1802,3.5581658153205353e-07,1.1189200677108602e-08,6.2435739778266e-07
1803,1.2287137352018362e-07,1.950339223455444e-09,4.4662769482783915e-07
1804,1.3595179737535545e-07,4.202146608456303e-08,6.995337926696266e-07
1805,2.5585899399160894e-08,2.842877711017877e-09,5.685755182227581e-07
1806,1.4120178093435243e-07,0.0,7.57878972024173e-07
1807,7.402083213037258e-08,5.693910232196231e-09,3.4448157748556696e-07
1808,1.5182695278781466e-07,0.0,5.143987875655398e-07
1809,1.852404967195298e-07,9.036122294858728e-09,4.405109450544842e-07
1810,1.7550951270095538e-07,2.3401267590372754e-08,3.8144066394352194e-07
1811,8.022645658911642e-08,2.5070767684098882e-09,6.769107390169893e-07
1812,5.86785815492874e-08,2.6672082320544632e-09,3.840779854158427e-07
1813,2.7894694198948855e-07,2.8757416448144113e-09,3.163315689391766e-07
1814,7.237357380063258e-08,6.293354282149721e-09,4.090680256751966e-07
1815,7.821948422304104e-08,0.0,5.367474598116928e-07
1816,1.2746821020925836e-07,2.3176038865813098e-09,2.5957163707346353e-07
1817,6.07180652423267e-08,6.227493631882908e-09,3.3784152897453623e-07
1818,4.4108355412575406e-08,5.9605886892910576e-09,5.638717066602794e-07
1819,7.763287790396589e-08,0.0,4.83394032912976e-07
1820,1.4358441546846734e-07,1.1866481131050932e-09,3.761674394198167e-07
1821,1.1143481870590222e-07,5.9168927535324656e-09,3.6093046418272934e-07
1822,8.321261191213125e-08,2.0051231786055723e-09,4.722065085616123e-07
1823,6.720227219148e-08,1.9765373782121287e-09,3.152577061626971e-07
1824,1.0779023984497371e-07,5.894778887238772e-09,3.7810794673021064e-07
1825,7.484626385334536e-08,1.3208164340028361e-08,3.7863405566440633e-07
1826,1.523781349987985e-07,1.4973572604048968e-08,4.906047488262288e-07
1827,8.848582311316022e-08,7.373818444733615e-09,2.977179169860733e-07
1828,1.2107437408204191e-07,1.4675681669906737e-08,3.568025115363582e-07
1829,9.601957434712816e-08,1.8860987549551567e-08,3.4292704409466523e-07
1830,1.1271782374144834e-07,1.1480519646056564e-08,2.8075087499246365e-07
1831,9.198811490307435e-08,1.5591206103948707e-09,2.5413666548956826e-07
1832,1.1500473662273691e-07,6.764984572527055e-09,3.179542935605184e-07
1833,4.459697060532619e-07,5.3284690437749305e-08,3.0233269310286914e-07
1834,2.548326936135936e-07,1.5868702352150876e-08,4.172535277291445e-07
1835,1.1722786297241328e-07,1.0588323107185715e-08,3.36557420155259e-07
1836,1.1761312279645608e-07,8.064900303139666e-09,4.596992910776976e-07
1837,8.975679044453955e-08,1.8090515530033713e-08,3.513734849747152e-07
1838,1.0351945434194931e-07,1.641162095111781e-08,5.100226787568829e-07
1839,1.2654569747638789e-07,1.1885508133246958e-08,4.1599276201509383e-07
1840,6.751869818799605e-08,1.910906610724794e-08,4.567066760330363e-07
1841,9.181384230672052e-08,8.988767952189392e-09,3.364367451297312e-07
1842,1.448985260665836e-07,7.379091560011375e-09,4.051792128478837e-07
1843,6.615740399951164e-08,1.6539350833344457e-08,3.951723562267695e-07
1844,1.1965063562158207e-07,1.4819115490283252e-08,4.286566301914263e-07
1845,9.039969084412292e-08,2.1204865530144446e-08,2.778953422932773e-07
1846,1.1299187252511445e-07,8.196301859442201e-09,3.863970903239533e-07
1847,7.658377754182766e-08,1.4561703842730367e-08,4.190534674819446e-07
1848,9.252004873339104e-08,8.849743549088629e-09,3.9582491595524516e-07
1849,9.971503645012092e-08,1.005529792763582e-08,2.631136410968793e-07
1850,7.332115714575593e-08,1.0862393651223101e-08,3.5913788387631485e-07
1851,7.545843550005316e-08,1.096404567135778e-08,3.2053711507273874e-07
1852,6.380334482969374e-08,1.3672145415810633e-08,3.4701207241027987e-07
1853,5.195580743411199e-08,1.3735443005202796e-08,3.71454159875384e-07
1854,8.728716205386178e-08,1.0391328797432209e-08,3.600595483987945e-07
1855,6.10297732350773e-08,1.539011762474729e-08,3.221310755918694e-07
1856,4.866557823390849e-08,9.31894050815174e-09,2.9613522301019657e-07
1857,6.63885206808601e-08,9.763017949637742e-09,2.572555253266273e-07
1858,6.117094875079943e-08,6.8511465389775594e-09,3.249400898908128e-07
1859,5.906921041187729e-08,1.1711999148289465e-08,2.678483150830857e-07
1860,7.140407021211104e-08,7.781212424395889e-09,3.048404489669476e-07
1861,8.347256130747382e-08,9.903523834342565e-09,2.890885708595192e-07
1862,5.2860440469260084e-08,6.776979477596257e-09,4.120403609697565e-07
1863,8.24112407760147e-08,5.993545049154392e-09,2.3824341610634292e-07
1864,5.418042459126582e-08,4.315255153208852e-09,2.996705077418227e-07
1865,5.4599393062293444e-08,7.530951029455224e-09,3.539547069331128e-07
