year,en_ADP an_NOUN,en_ADP nan_NOUN
1800,4.904896533375336e-07,0.0
1801,5.643402785082685e-07,0.0
1802,6.064546766992862e-07,0.0
1803,5.265915992147541e-07,0.0
1804,3.6830580740776497e-07,0.0
1805,4.918178508894755e-07,0.0
1806,4.3801370352980484e-07,0.0
1807,4.526658616832435e-07,0.0
1808,5.483899125913183e-07,0.0
1809,5.421673359151669e-07,0.0
1810,5.943921879136838e-07,0.0
1811,5.515568854974617e-07,0.0
1812,3.6807472891808857e-07,2.6672082320544632e-09
1813,4.658701489024253e-07,0.0
1814,5.286417530392384e-07,0.0
1815,5.529308373386499e-07,0.0
1816,5.400016984680178e-07,0.0
1817,5.433488123873786e-07,0.0
1818,6.115563999653517e-07,0.0
1819,4.896046665869846e-07,0.0
1820,5.517913699293331e-07,1.1866481131050932e-09
1821,5.581602378068595e-07,0.0
1822,5.323601897089247e-07,0.0
1823,5.33665093671587e-07,9.882686891060644e-10
1824,5.793725446068265e-07,0.0
1825,5.60906715518783e-07,0.0
1826,4.6241916806799566e-07,0.0
1827,6.286180035952604e-07,0.0
1828,5.851928263078676e-07,0.0
1829,5.735454887134672e-07,0.0
1830,3.7781346229337487e-07,0.0
1831,3.80425425827724e-07,0.0
1832,3.368962461225422e-07,0.0
1833,6.544750054127135e-07,0.0
1834,4.424567656702294e-07,0.0
1835,4.4092801942952065e-07,7.563087933704082e-10
1836,3.8913142974550397e-07,0.0
1837,4.167776712638016e-07,6.957890930081589e-10
1838,3.888291648657116e-07,0.0
1839,4.1669192585302994e-07,0.0
1840,3.471480304884089e-07,0.0
1841,3.7239181560622114e-07,6.420548537278137e-10
1842,5.138531156134718e-07,1.341653010911159e-09
1843,3.378753090643727e-07,0.0
1844,3.485236398370617e-07,0.0
1845,3.5546052618018464e-07,0.0
1846,3.2843752117983627e-07,0.0
1847,4.0395245015645287e-07,5.393223645455691e-10
1848,3.1456817606301257e-07,0.0
1849,4.725990050413742e-07,1.6758829879393033e-09
1850,3.91725066606341e-07,6.788996032014438e-10
1851,4.456562066046388e-07,0.0
1852,3.359441413941511e-07,0.0
1853,5.482233342846143e-07,0.0
1854,3.3044426805961535e-07,0.0
1855,4.1022623520348134e-07,0.0
1856,3.748285001270446e-07,8.28350277259915e-09
1857,3.656250328054611e-07,0.0
1858,3.0976968945495287e-07,9.787352039936081e-10
1859,3.5288760402707453e-07,1.018434669930457e-09
