year,rien_PRON ôter_VERB,rien_PRON oter_VERB,rien_PRON noter_VERB
1800,3.6157891258881136e-07,9.432493897065797e-09,0.0
1801,5.048107141192304e-07,3.333655484993869e-08,0.0
1802,3.401517005841015e-07,6.713520406265161e-09,0.0
1803,3.6081274856769596e-07,0.0,1.950339223455444e-09
1804,4.82010932500998e-07,2.4718509461507665e-09,0.0
1805,4.0368863096773566e-07,0.0,0.0
1806,3.630903222529014e-07,0.0,0.0
1807,4.298902354094025e-07,0.0,8.540865792383556e-09
1808,3.6483791632235807e-07,4.5321479902327155e-09,0.0
1809,3.8855324646647205e-07,0.0,0.0
1810,4.680253482547414e-07,9.360507036149102e-09,4.680253518074551e-09
1811,3.685402987230191e-07,2.5070767684098882e-09,0.0
1812,3.707419580223359e-07,2.6672082320544632e-09,0.0
1813,4.773731347995636e-07,5.751483289628823e-09,2.300593315851529e-08
1814,3.713078911005141e-07,1.5733386149463513e-08,0.0
1815,4.01886296685916e-07,2.6972235778188747e-08,0.0
1816,4.79744016956829e-07,6.952811659743929e-09,0.0
1817,4.6083454208201147e-07,3.113746815941454e-09,0.0
1818,5.030736929256818e-07,0.0,1.1921176934492905e-08
1819,3.7263779972818156e-07,2.070210003424222e-09,1.035105001712111e-09
1820,4.153268378104258e-07,7.119888678630559e-09,0.0
1821,4.1122405036730925e-07,2.9584463767662328e-09,0.0
1822,5.333627655090822e-07,8.02049271442229e-09,0.0
1823,2.8264483376005956e-07,2.9648061783404955e-09,9.882686891060644e-10
1824,3.621078406013112e-07,5.894778887238772e-09,0.0
1825,4.085725606728374e-07,2.641632912414593e-09,0.0
1826,2.880210843159148e-07,8.807984341885344e-10,0.0
1827,3.548650227003236e-07,9.217273055917019e-10,0.0
1828,3.549680513970088e-07,3.668920500743411e-09,0.0
1829,3.2663800197951787e-07,3.429270423183084e-09,0.0
1830,3.965997734667326e-07,1.0436835840010872e-09,1.0436835840010872e-09
1831,2.104812892866903e-07,0.0,4.677361609140007e-09
1832,2.665403826540569e-07,2.705993873419743e-09,0.0
1833,2.988576284224109e-07,2.3167257001688313e-09,0.0
1834,3.44444202937666e-07,5.600718555598405e-09,2.8003592777992026e-09
1835,3.5017097843592637e-07,7.563087933704082e-10,6.050470346963266e-09
1836,3.9450802091778314e-07,8.064900192117364e-09,4.032449929525228e-09
1837,2.7901143084818614e-07,2.087367279024477e-09,0.0
1838,3.1497688723902684e-07,4.418513332993257e-09,1.2624323808552163e-09
1839,3.167138231674471e-07,4.194884994923598e-09,0.0
1840,4.070230943398201e-07,5.732719965401145e-09,0.0
1841,2.998396269049408e-07,5.1364388298225094e-09,0.0
1842,3.19313414820499e-07,3.3541325272778977e-09,6.708265054555795e-10
1843,3.668191652650421e-07,5.906911015873817e-09,1.7720733769266417e-09
1844,3.117502842542308e-07,3.293136707771538e-09,5.488561272137815e-10
1845,3.5267041198494553e-07,4.464182190577759e-09,0.0
1846,3.518555331538664e-07,4.6836010625384006e-09,4.0981511517657054e-09
1847,3.457056436673156e-07,3.235934187273415e-09,8.629157832729106e-09
1848,2.743420566275745e-07,1.6090443422100975e-09,0.0
1849,2.849000964033621e-07,5.865590679832167e-09,0.0
1850,3.584589762795076e-07,2.7155984128057753e-09,2.0366988096043315e-09
1851,3.0376855875147157e-07,3.2247193804124663e-09,0.0
1852,2.1680116901734436e-07,4.557381805270211e-09,5.859490670445666e-09
1853,2.872499180739396e-07,9.55509071864924e-09,7.166318205520383e-09
1854,3.174550897711015e-07,5.195664565249558e-09,3.63696517347023e-09
1855,3.295608053122123e-07,6.368324534378189e-09,3.714855978387277e-09
1856,3.246097719511454e-07,7.765783793800551e-09,5.177189232874468e-10
1857,3.3877674354698684e-07,6.345962033638131e-09,8.298565390418844e-09
1858,3.459828974428092e-07,1.957470352476065e-09,3.9149408159744326e-09
1859,2.612284788483521e-07,6.110608019582742e-09,3.055304009791371e-09
1860,3.057558899399737e-07,3.661747127736703e-09,4.57718396518203e-09
1861,3.499245053717459e-07,9.431927239234028e-09,3.3011746669586728e-09
1862,3.673122819236596e-07,7.680576730173527e-09,1.8071945051545413e-09
1863,2.8719068723148666e-07,8.490855574194711e-09,4.994620828036034e-10
1864,3.1645203080188367e-07,7.1920918109924514e-09,4.315255264231155e-09
1865,3.3418595535295026e-07,7.530951084966375e-09,4.23615986733239e-09
1866,2.8123241690991563e-07,2.919367692033603e-09,4.865612912574591e-10
1867,2.824336320372822e-07,3.88224918879132e-09,6.79393608038481e-09
1868,2.618133123633015e-07,4.939873954334928e-09,1.6301584082611953e-08
1869,2.1829330876244057e-07,6.836926913500463e-09,5.860222973552709e-09
1870,2.9473011409208993e-07,4.587239033071455e-09,3.4404292748035914e-09
