year,dernier_ADJ os_NOUN,dernier_ADJ gosse_NOUN
1800,1.3519907327008696e-07,0.0
1801,1.7144515140898875e-07,0.0
1802,2.9091921760482364e-07,0.0
1803,1.0336798084153997e-07,0.0
1804,7.662737999680758e-08,0.0
1805,5.031893692830636e-07,0.0
1806,2.5935023018064385e-08,0.0
1807,4.555128185756985e-08,0.0
1808,2.039466551195801e-08,0.0
1809,4.292158095609011e-08,0.0
1810,6.084329839950442e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,1.4669645054254943e-07,0.0
1813,6.901780125190271e-08,0.0
1814,1.3530711839848664e-07,0.0
1815,5.664169577812572e-08,0.0
1816,8.343373991692715e-08,0.0
1817,3.7364962679475866e-08,0.0
1818,1.2159600260019943e-07,0.0
1819,1.656167967212241e-07,0.0
1820,6.882559233645225e-08,0.0
1821,1.2819934624985763e-07,0.0
1822,1.0627152846609533e-07,0.0
1823,1.0179167730939298e-07,0.0
1824,7.747424035642325e-08,0.0
1825,1.620201572904989e-07,0.0
1826,8.719904798226707e-08,0.0
1827,9.954654700550236e-08,0.0
1828,1.7977710342620412e-07,0.0
1829,1.9118182592592348e-07,0.0
1830,6.157733167810875e-08,0.0
1831,1.0446107978623331e-07,0.0
1832,1.0823975316043288e-07,0.0
1833,1.332117278707301e-07,0.0
1834,1.4655213931291655e-07,0.0
1835,1.4521128832711838e-07,0.0
1836,1.1223652762737402e-07,0.0
1837,2.0804094447157695e-07,0.0
1838,7.258986300939796e-08,0.0
1839,1.433252379001715e-07,0.0
1840,9.299745329371945e-08,0.0
1841,1.2520069958554814e-07,0.0
1842,5.366612043644636e-08,0.0
1843,1.0927785609737839e-07,0.0
1844,7.519329159322297e-08,0.0
1845,2.0925854471443017e-07,0.0
1846,1.1357732887518068e-07,0.0
1847,4.6921044827286096e-08,0.0
1848,3.539897619475596e-08,0.0
1849,7.792856138166826e-08,0.0
1850,8.214685465190996e-08,0.0
1851,8.190787070816441e-08,0.0
1852,9.114763344086896e-08,0.0
1853,7.285756709052293e-08,0.0
1854,7.014146774508845e-08,0.0
1855,1.0136250239156652e-07,0.0
1856,2.692138423299184e-08,0.0
1857,9.616572782533694e-08,0.0
1858,5.4809170535463636e-08,0.0
1859,2.1387128512628806e-08,0.0
1860,7.964300152707438e-08,0.0
1861,4.95176202264247e-08,0.0
1862,6.189641510445654e-08,0.0
1863,4.694943456229339e-08,0.0
1864,8.198984602358905e-08,0.0
1865,3.106517354467542e-08,0.0
1866,3.7465220259491616e-08,0.0
1867,9.123285593659602e-08,0.0
1868,9.33636172817387e-08,0.0
1869,8.204312251791634e-08,0.0
1870,8.371711146537564e-08,0.0
1871,1.072738911034321e-07,0.0
1872,8.405801565913862e-08,0.0
1873,3.4718826924518e-08,0.0
1874,1.3980584867567813e-07,0.0
1875,3.94785359958405e-08,0.0
1876,4.232210315535667e-08,0.0
1877,5.318941731502491e-08,0.0
1878,5.495570576385944e-08,0.0
1879,7.697749992985337e-08,0.0
1880,4.685027832351807e-08,0.0
1881,3.2770785196589713e-08,0.0
1882,4.592215674392719e-08,0.0
1883,5.9401784824331116e-08,0.0
1884,3.762967182296961e-08,0.0
1885,7.283568237426152e-08,0.0
1886,3.0976625708944994e-08,0.0
1887,3.656197833379338e-08,0.0
1888,4.5018364147608736e-08,0.0
1889,4.385595886446936e-08,0.0
1890,4.0637196718762425e-08,6.554386478008212e-10
1891,3.314594465564369e-08,0.0
1892,4.325273650351846e-08,0.0
1893,4.434059874824925e-08,0.0
1894,3.465846631911518e-08,0.0
1895,1.3240951446391591e-08,0.0
1896,3.3613066108273415e-08,0.0
1897,3.3212266714599536e-08,0.0
1898,4.583267454449924e-08,1.13167097914868e-09
1899,3.592926134388108e-08,0.0
1900,2.180242297811219e-08,0.0
1901,2.0678333711998675e-08,0.0
1902,1.4730851205513318e-08,0.0
1903,3.0241231741001684e-08,1.0800440541913758e-09
1904,1.3436562973367927e-08,5.374625189347171e-10
1905,1.909480928929952e-08,0.0
1906,1.4918134283448126e-08,0.0
1907,3.1371342856800766e-08,0.0
1908,2.0136695866312948e-08,4.911389073214423e-10
1909,2.53045246978445e-08,1.1001967115120692e-09
1910,2.404867771588215e-08,1.068830135508847e-09
1911,3.085817112946643e-08,0.0
1912,1.4586379215586476e-08,1.0418842455450772e-09
1913,1.4318072061314524e-08,2.121195885607108e-09
1914,2.209925398233281e-08,0.0
1915,1.8849219074468238e-08,2.3561523843085297e-09
1916,1.2086208478478966e-08,1.0987462051303964e-09
1917,1.0966424213165737e-08,2.1932848870420685e-09
1918,2.1824114071478107e-08,0.0
1919,2.1178051312631396e-08,0.0
1920,1.741613253614105e-08,0.0
1921,6.588290091258386e-08,0.0
1922,2.2133805899215986e-08,7.377935484775833e-10
1923,1.1677542488541803e-08,0.0
1924,1.2891624656674594e-08,0.0
1925,1.6497267552040284e-08,0.0
1926,2.229227691330493e-09,0.0
1927,2.7873062080630007e-08,1.1149224876660924e-09
1928,2.2852082448565625e-09,1.1426041224282812e-09
1929,2.2280812750352652e-09,0.0
1930,1.05036033204442e-08,0.0
1931,2.167017854048936e-08,2.2810713318222042e-09
1932,1.53433514782364e-08,1.0959536611565568e-09
1933,1.1470662641954732e-08,1.1470662197865522e-09
1934,9.585264137967897e-09,0.0
1935,4.787313656606784e-09,0.0
1936,1.576212937948185e-08,0.0
1937,7.554670666820584e-09,0.0
1938,2.5930428915188486e-09,0.0
1939,9.176430282309411e-09,0.0
1940,1.5214697057785997e-08,0.0
1941,5.9030051957620344e-09,0.0
1942,1.8205270180260413e-08,0.0
1943,2.9032352077962287e-09,0.0
1944,6.4263723231761105e-09,0.0
1945,4.357008087652048e-09,0.0
1946,1.2528993842408909e-08,0.0
1947,4.7683483828109274e-09,0.0
1948,5.218506160531433e-08,0.0
1949,4.908504269707237e-09,0.0
1950,9.571825110299415e-09,1.0635361480382244e-09
1951,5.330700769690111e-09,0.0
1952,6.326882129314981e-08,1.0544803918932644e-09
1953,9.69644453618912e-09,1.0773827385790469e-09
1954,5.863521668203475e-09,0.0
1955,1.407841132561316e-08,0.0
1956,6.104799332717903e-09,8.72114158667614e-10
1957,2.6505113659425206e-09,0.0
1958,1.4062814024384807e-08,0.0
1959,6.200598257066758e-09,0.0
1960,4.844583401109048e-09,1.3841666701708277e-09
1961,6.25334317660986e-09,0.0
1962,6.341956293454132e-09,6.341956404476434e-10
1963,3.879631726988464e-09,6.466053248388448e-10
1964,1.3993127545575135e-08,1.2167936658258327e-09
1965,4.924839203113152e-09,1.6416130677043839e-09
1966,2.9357096309468034e-08,0.0
1967,1.824224149515885e-08,0.0
1968,1.527081394669949e-08,8.982831700699023e-10
1969,2.8613074576355757e-08,0.0
1970,6.438214850135182e-09,0.0
1971,9.24911525146399e-09,0.0
1972,1.0260293947794707e-08,1.0260293725750103e-09
1973,9.37244681864513e-09,0.0
1974,2.418995848074701e-08,0.0
1975,2.227477224892027e-08,1.7134440533084216e-09
1976,1.0284348483935446e-08,1.142705374768127e-09
1977,1.469195431980097e-08,5.876781838942691e-10
1978,8.910887139279566e-09,0.0
1979,6.437170796402825e-09,0.0
1980,6.822181042309694e-09,1.7055452605774235e-09
1981,1.2018544381930951e-08,6.325549528618524e-10
1982,4.966001831974154e-09,1.8622506869903077e-09
1983,1.2630632095778083e-09,6.315316047889041e-10
1984,8.69851302098823e-09,1.1598016991243298e-09
1985,9.624892882698077e-09,6.015558051686298e-10
1986,1.019062523255343e-08,0.0
1987,5.49973533381376e-09,1.8332451112712533e-09
1988,2.99827696004229e-09,0.0
1989,7.134558721588746e-09,0.0
