year,seraient_VERB assez_ADV,seraient_VERB passées_ADJ
1800,1.1633408547595536e-07,0.0
1801,1.6668278135512082e-07,0.0
1802,1.7231369042747247e-07,0.0
1803,7.996391104825307e-08,0.0
1804,2.546006498960196e-07,0.0
1805,1.7910129201936797e-07,0.0
1806,1.0950342499427279e-07,0.0
1807,1.7366426163789583e-07,0.0
1808,1.8808414381510374e-07,0.0
1809,1.0617443280125372e-07,0.0
1810,1.0062544930633521e-07,0.0
1811,8.524060746140094e-08,0.0
1812,1.9203899626063503e-07,0.0
1813,1.8117172828624462e-07,0.0
1814,1.8250727862323401e-07,0.0
1815,1.3755840200246894e-07,0.0
1816,1.0660977523002657e-07,0.0
1817,1.4323235575375293e-07,0.0
1818,1.3351719019283337e-07,0.0
1819,2.5153050842163793e-07,0.0
1820,2.0647676990392938e-07,0.0
1821,2.475233600307547e-07,0.0
1822,2.1555074170009902e-07,0.0
1823,1.1859224002819246e-07,0.0
1824,1.8526448286593222e-07,0.0
1825,2.2894151641139615e-07,0.0
1826,1.7968288545944233e-07,0.0
1827,2.5439672413085646e-07,0.0
1828,2.577416751137207e-07,0.0
1829,2.4519283670088043e-07,0.0
1830,2.557024743055081e-07,0.0
1831,2.2763160245631298e-07,0.0
1832,2.516574397759541e-07,0.0
1833,2.339892972713642e-07,0.0
1834,2.6510068096285977e-07,0.0
1835,2.7075856223746086e-07,0.0
1836,1.996062763964801e-07,0.0
1837,2.3865567300163093e-07,0.0
1838,2.417557993794617e-07,0.0
1839,2.272229409072679e-07,0.0
1840,3.337716805162927e-07,0.0
1841,1.5666138608594338e-07,0.0
1842,3.052260524327721e-07,0.0
1843,2.2209985672816401e-07,0.0
1844,2.31068426614911e-07,0.0
1845,2.399497986971255e-07,0.0
1846,2.3769275969698356e-07,0.0
1847,2.761330506473314e-07,0.0
1848,3.19395297765368e-07,0.0
1849,2.4048921432040515e-07,0.0
1850,1.9823868058210792e-07,0.0
1851,1.9735283274258109e-07,3.8696632564949596e-09
1852,2.701876269384229e-07,0.0
1853,2.1498954083654098e-07,0.0
1854,2.176983429080792e-07,0.0
1855,1.7088336790038738e-07,0.0
1856,2.5368225919919496e-07,0.0
1857,2.1917975345786544e-07,2.4407544874094356e-09
1858,1.7861917456230003e-07,4.893676019968041e-10
1859,1.721154632150501e-07,0.0
1860,1.9132629347495822e-07,0.0
1861,2.2730945659077406e-07,0.0
1862,2.4261586872853513e-07,0.0
1863,1.9778698856498522e-07,0.0
1864,2.114474995096316e-07,0.0
1865,2.1698552643556468e-07,0.0
1866,2.398747085408104e-07,0.0
1867,1.7518649997327884e-07,0.0
1868,1.7141363173323043e-07,0.0
1869,2.158515428618557e-07,0.0
1870,2.104395946389559e-07,0.0
1871,2.8889601821902033e-07,0.0
1872,2.2798468535256688e-07,0.0
1873,2.1908776659529394e-07,0.0
1874,2.1926815918504872e-07,0.0
1875,1.8652178823685972e-07,0.0
1876,1.9165867115589208e-07,0.0
1877,2.4244479845947353e-07,0.0
1878,2.07744648150765e-07,0.0
1879,2.266559704366955e-07,0.0
1880,1.6237150646247756e-07,0.0
1881,1.8616594843479106e-07,0.0
1882,2.0831355129757867e-07,0.0
1883,2.0790625399058626e-07,0.0
1884,1.769254822647781e-07,0.0
1885,1.6952022008354106e-07,6.445635691854079e-10
1886,1.7488886783212365e-07,0.0
1887,2.0304955228311883e-07,0.0
1888,1.6802628977075074e-07,0.0
1889,1.72917779650561e-07,0.0
1890,1.7303580079897074e-07,0.0
1891,1.6827941351493791e-07,0.0
1892,1.9996554101453512e-07,0.0
1893,1.6442972139429912e-07,6.158416554491453e-10
