year,petit_ADJ air_NOUN
1800,3.5529058095562505e-07
1801,3.119349116786907e-07
1802,1.4769744893783354e-07
1803,1.8138155155611457e-07
1804,3.6583392670763715e-07
1805,2.75759134638065e-07
1806,3.4580028795971884e-07
1807,2.8469551693888207e-07
1808,2.01680592226694e-07
1809,1.6942729530455836e-07
1810,4.7504573785772664e-07
1811,3.685402987230191e-07
1812,3.040617286842462e-07
1813,4.256097554389271e-07
1814,2.454408161156607e-07
1815,1.3755840200246894e-07
1816,1.9004352225238108e-07
1817,2.2574664626517915e-07
1818,2.8253191430849256e-07
1819,1.72862542058283e-07
1820,3.2395493576586887e-07
1821,3.885426451688545e-07
1822,4.541603857433074e-07
1823,4.733807088541653e-07
1824,3.023179431238532e-07
1825,3.96244928424494e-07
1826,1.7263648999232828e-07
1827,1.5485018423078145e-07
1828,1.8894940012614825e-07
1829,1.997550072019294e-07
1830,2.3065406651312514e-07
1831,2.463410453401593e-07
1832,3.0577731990888424e-07
1833,3.0349107760230254e-07
1834,2.529657763261639e-07
1835,3.910116390670737e-07
1836,2.2380098130270198e-07
1837,2.539630088449485e-07
1838,1.944145822108112e-07
1839,2.663751956788474e-07
1840,2.2039122882233642e-07
1841,2.7544152203518024e-07
1842,4.534787194643286e-07
1843,3.177918017627235e-07
1844,2.848563269708393e-07
1845,2.7454720452624315e-07
1846,2.3418004957420635e-07
1847,1.623360361691084e-07
1848,1.7860392631519062e-07
1849,1.893747736403384e-07
1850,2.3489926093134272e-07
1851,1.683303452182372e-07
1852,2.897192814543814e-07
1853,2.9441625315485e-07
1854,2.8472240387600323e-07
1855,4.410064775584033e-07
1856,3.753462181066425e-07
1857,3.7148285514376767e-07
1858,4.507075743731548e-07
1859,3.966802921695489e-07
1860,4.0004587731345964e-07
1861,3.5605526704785007e-07
1862,3.0767486691729573e-07
1863,3.2864605259419477e-07
1864,3.332336007133563e-07
1865,3.1818268553251983e-07
1866,4.0579212168267986e-07
1867,4.67325747877112e-07
1868,3.1960985324985813e-07
1869,4.6002750764273515e-07
1870,4.0826427039064583e-07
1871,3.1651109111408005e-07
1872,4.317800232911395e-07
1873,3.0229321623664873e-07
1874,4.463032894364005e-07
1875,3.7704865007981425e-07
1876,4.927501890961139e-07
1877,5.127212716615759e-07
1878,3.7744302971987054e-07
1879,5.34565970156109e-07
1880,4.0239896748062165e-07
1881,4.176532115707232e-07
1882,4.944951115248841e-07
1883,4.278192591300467e-07
1884,4.984281076758634e-07
1885,4.350804090336169e-07
1886,3.872078195854556e-07
1887,4.563718221106683e-07
1888,4.894954486189818e-07
1889,4.335474557137786e-07
1890,4.679831988596561e-07
1891,4.066752410381014e-07
1892,3.87394067047353e-07
1893,3.1777429398971435e-07
1894,4.26614207071907e-07
1895,4.122750851820456e-07
1896,4.3107280589538277e-07
1897,3.8689378811795905e-07
1898,4.3173247377126245e-07
1899,4.3778419467344065e-07
1900,3.763513518606487e-07
1901,4.06301325028835e-07
1902,3.928226988136885e-07
1903,4.3039756292273523e-07
1904,3.568751196780795e-07
1905,3.27192111626573e-07
1906,3.600929119329521e-07
1907,4.253131464793114e-07
1908,4.204148922326567e-07
1909,4.2962682300640154e-07
1910,4.3661711401909997e-07
1911,3.692339589633775e-07
1912,4.573871876800695e-07
1913,4.6613280346718966e-07
1914,3.6631189459512825e-07
1915,4.3117589143548685e-07
1916,3.230313723179279e-07
1917,3.728584374584898e-07
1918,3.9742860735714203e-07
1919,4.649963329939055e-07
1920,4.5054778752273705e-07
1921,4.657239571770333e-07
1922,5.016996169615595e-07
1923,5.881234983462491e-07
1924,5.504723503690911e-07
1925,6.092990361139528e-07
1926,6.409029538190225e-07
1927,6.834474675088131e-07
1928,5.107440301799215e-07
1929,5.837572985001316e-07
1930,5.272809175949078e-07
1931,4.790250045516586e-07
1932,4.975629508408019e-07
1933,4.680030087911291e-07
1934,4.00184774207446e-07
1935,4.595821110342513e-07
1936,4.4861442916044325e-07
1937,4.1298866904071474e-07
1938,4.0710773419050383e-07
1939,3.93057092651361e-07
1940,5.375860041567648e-07
1941,4.810949008060561e-07
1942,6.341502398754528e-07
1943,5.05162915942492e-07
1944,4.884042823505297e-07
1945,6.949427984181966e-07
1946,5.763337185271666e-07
1947,6.067723461455898e-07
1948,5.490303465194302e-07
1949,5.340452275959251e-07
1950,5.860084115738573e-07
1951,4.925567509417306e-07
1952,6.284703317760432e-07
1953,5.45155671716202e-07
1954,5.453075004879793e-07
1955,4.786659815181338e-07
1956,5.939097604823473e-07
1957,4.5500445366997155e-07
1958,5.037796313445142e-07
1959,4.642697888357361e-07
1960,5.30135821463773e-07
1961,4.995726499146258e-07
1962,5.12430062826752e-07
1963,5.619000376100303e-07
1964,5.262632498670428e-07
1965,4.4925477027391025e-07
1966,5.450449407362612e-07
1967,4.881032396042428e-07
1968,5.308853587848716e-07
