year,tout_DET air_NOUN,tout_DET père_NOUN
1800,8.803660733747165e-08,7.860411255222743e-08
1801,1.0239084957675004e-07,9.524730515408919e-08
1802,8.056224487518193e-08,1.1412984690650774e-07
1803,4.6808139586573816e-08,1.3652374519779187e-07
1804,1.5819846055364906e-07,1.038177401824214e-07
1805,1.0802935435094696e-07,5.1171799242411e-08
1806,4.610670600868616e-08,1.4984679008733792e-07
1807,3.4163460504998966e-08,1.252660219996926e-07
1808,8.837688625362716e-08,1.5409303344426917e-07
1809,7.680704072754452e-08,9.036122250449807e-08
1810,1.7316938283329364e-07,1.0530570104805292e-07
1811,2.0056613259100686e-08,5.515568979319596e-08
1812,9.601949368942542e-08,6.401299934566396e-08
1813,5.176335093892703e-08,9.777521370324394e-08
1814,1.6048053197437184e-07,5.66401889834367e-08
1815,5.933891955578474e-08,5.66416948899473e-08
1816,8.806894591373293e-08,4.1716869958463576e-08
1817,6.538868291272593e-08,1.0742426415077944e-07
1818,9.656153565629211e-08,1.645122438276303e-07
1819,5.693077387292078e-08,1.583710655950199e-07
1820,8.899861114741725e-08,1.4002448089911468e-07
1821,8.185035138552621e-08,1.1932400667546972e-07
1822,5.213320264374488e-08,8.922798144794797e-08
1823,5.040170203418626e-08,1.037682100246684e-07
1824,6.147412268120434e-08,7.326368045568188e-08
1825,1.0126259830656181e-07,8.1890620506897e-08
1826,5.549030035467695e-08,1.1802698862695138e-07
1827,7.189472972513045e-08,1.170593684207688e-07
1828,4.769596717579816e-08,8.163348041989593e-08
1829,1.243110556714555e-07,1.414574022362558e-07
1830,3.965997530386289e-08,1.3150413313844922e-07
1831,3.897801348351493e-08,1.0602019862027134e-07
1832,4.19429042608499e-08,1.109457503645217e-07
1833,3.243415958031903e-08,9.614411489167196e-08
1834,2.42697808516823e-08,7.000898061271243e-08
1835,5.7479468296151026e-08,5.7479468296151026e-08
1836,3.8980349170714135e-08,1.0349955203992067e-07
1837,6.192522938874845e-08,7.444943306289531e-08
1838,3.913540558286854e-08,9.341999573919679e-08
1839,4.6842884238174065e-08,8.180026211945801e-08
1840,2.7389661649834807e-08,8.535382889363063e-08
1841,3.5955071808757566e-08,1.5280905474313045e-07
1842,3.6224630406422875e-08,8.921992300514603e-08
1843,6.852016487535195e-08,8.56502131996173e-08
1844,4.9945909186277504e-08,9.275668633179635e-08
1845,3.0691253649628436e-08,8.314539423626144e-08
1846,3.0443406462410394e-08,1.1123552612346543e-07
1847,1.9954927488186058e-08,7.82017419709291e-08
1848,2.735375348450475e-08,1.1987379977540513e-07
1849,2.0110596077316245e-08,9.887709340183903e-08
1850,2.308258650884909e-08,8.214684932283944e-08
1851,2.5152811833351052e-08,7.094382747929728e-08
1852,3.971432893656868e-08,7.682443525780513e-08
1853,4.001194353620008e-08,1.021200315420856e-07
1854,4.1565314301550416e-08,1.0443285347605524e-07
1855,5.890700194299825e-08,7.005156987816008e-08
1856,4.607698289582629e-08,1.0354378660037966e-07
1857,6.053071155420753e-08,7.273448510147773e-08
1858,3.6213203102875013e-08,1.2185253583929523e-07
1859,4.8884864156661934e-08,2.2558327694710556e-07
1860,3.890606170564581e-08,8.971280229808087e-08
1861,2.405141441563785e-08,1.169559027403011e-07
1862,2.6656119089807362e-08,6.144461472956664e-08
1863,3.4962344408473456e-08,1.0488704005329197e-07
1864,4.7947280257254477e-08,7.527722978295515e-08
1865,3.765475320438583e-08,1.3885191196827407e-07
1866,4.427707916976331e-08,1.2310000840898283e-07
1867,2.426405742994575e-08,1.1695275503598168e-07
1868,1.877152078222366e-08,9.879748175123382e-08
1869,3.7114745499167157e-08,8.985674915251707e-08
1870,2.9243648835830527e-08,1.1926821263941179e-07
1871,1.0621176826930423e-08,1.0939812811194827e-07
1872,4.354084193192165e-08,1.3727460224099985e-07
1873,3.3521626696675355e-08,5.447264106450689e-08
1874,3.10679680870507e-08,1.2427186879548913e-07
1875,1.4875970122396609e-08,7.838492049883072e-08
1876,4.0508298493335815e-08,9.91546391659881e-08
1877,2.4120783148617875e-08,6.926993856293251e-08
1878,1.811726657585666e-08,9.602151074261656e-08
1879,4.887460258728993e-08,1.2951769434721427e-07
1880,2.5671384795700192e-08,1.0653625004408696e-07
1881,2.9284531355422416e-08,8.2972839265949e-08
1882,2.5956001570293097e-08,6.455723577936112e-08
1883,2.654122283063387e-08,1.0047749121611105e-07
1884,3.4328825115892414e-08,9.44042675143919e-08
1885,4.447488510805897e-08,1.1344318734396452e-07
1886,1.4842967244188543e-08,1.1745304234755949e-07
1887,2.285123695822122e-08,1.0054543786441883e-07
1888,2.346027505595316e-08,6.277208708382886e-08
1889,4.51089832154139e-08,9.20975065099583e-08
1890,4.0637195386494795e-08,8.97950922507107e-08
1891,2.1672347472190268e-08,6.374219940763481e-08
1892,2.1312942521944933e-08,6.393882556743335e-08
1893,1.4780199342201428e-08,9.976634807173923e-08
1894,3.7179083589578e-08,6.301539090536323e-08
1895,1.5648397910794642e-08,5.53712515838356e-08
1896,2.2998413173880294e-08,5.95599916053402e-08
1897,1.5732126934508983e-08,6.933789231666765e-08
1898,1.69750646872302e-08,4.92276882591014e-08
1899,9.949641111006713e-09,5.7486815308038786e-08
1900,1.1939422339679595e-08,3.529916059452631e-08
1901,2.2913829500481597e-08,6.76237394969803e-08
1902,3.83002145554201e-08,3.044375973537683e-08
1903,2.7001100910695186e-08,7.344299191025527e-08
1904,2.20359632763234e-08,8.276922969230327e-08
1905,1.341797323251015e-08,6.502556404441862e-08
1906,1.3374879426208963e-08,8.74511369985953e-08
1907,1.337139288182243e-08,5.091415022917545e-08
1908,2.062783477363439e-08,7.661767087441262e-08
1909,1.3752459171456621e-08,6.821219411534685e-08
1910,3.046165797382372e-08,7.321486483746753e-08
1911,9.576673454247953e-09,8.299784048926284e-08
1912,1.7712032729377825e-08,4.584290785869527e-08
1913,2.8636144122629048e-08,1.283323523559865e-07
1914,1.674185973188358e-08,9.442408455129225e-08
1915,2.1205371680821372e-08,5.5369581364317355e-08
1916,3.2962386153911893e-09,7.581348704377433e-08
1917,1.0966424213165737e-08,5.044555173583376e-08
1918,1.9526840588923733e-08,3.2161853624756986e-08
1919,3.867296449744373e-08,5.1563951330990676e-08
1920,4.240449769099541e-08,3.7103935923710196e-08
1921,1.741731914250977e-08,4.695103328344885e-08
1922,1.0329110011753073e-08,3.984085217290101e-08
1923,2.44166811214086e-08,4.989495572260694e-08
1924,1.5469949654622894e-08,3.867487263775615e-08
1925,2.3096174084358267e-08,4.9491799103407175e-08
1926,1.5604593173179637e-08,3.1209187789649206e-08
1927,3.34476758512281e-08,3.010290783311831e-08
1928,1.7139061725401916e-08,4.6846769130581833e-08
1929,3.342121956961819e-08,4.233354466975925e-08
1930,2.520864939015155e-08,4.831657540727008e-08
1931,7.983749661377715e-09,4.904303452235581e-08
1932,2.301502632917618e-08,3.83583788066133e-08
1933,9.176529758292418e-09,2.7529588608743438e-08
1934,1.9170528275935794e-08,3.235026646564165e-08
1935,1.795242710045386e-08,3.11175387679441e-08
1936,1.2124715009775855e-08,4.486144300486217e-08
1937,2.2664012888640173e-08,3.903246748038214e-08
1938,7.779128452511941e-09,3.8895642262559704e-08
1939,1.8352860564618823e-08,7.188203543506688e-08
1940,2.5357829169792012e-09,3.296517814277422e-08
1941,3.541802984230458e-08,1.4757512989405086e-08
1942,3.034211770724937e-09,2.4273693721710288e-08
1943,2.322588166236983e-08,2.6129117536299873e-08
1944,9.639558484764166e-09,1.927911696952833e-08
1945,3.0499055725385915e-08,2.3963545370264683e-08
1946,4.1763311919851276e-08,3.619487021211398e-08
1947,2.6225916327504706e-08,2.5033829231801974e-08
1948,1.195907639583993e-08,4.67491183542279e-08
1949,1.5707213085747185e-08,2.061571735545442e-08
1950,2.0207187478860078e-08,2.552486777496199e-08
1951,3.1984203729962246e-08,5.437315042655655e-08
1952,1.4762725264461096e-08,2.530752918339374e-08
1953,1.508335856215126e-08,2.3702420803850544e-08
1954,1.8567819282111486e-08,3.3226623008530964e-08
1955,2.3464020060259827e-08,2.0648337262230143e-08
1956,1.0465370126055973e-08,1.3081712157969605e-08
1957,1.8553580005686854e-08,5.477723524771605e-08
1958,4.9633461784992505e-09,2.8952852837438314e-08
1959,2.8677767716089875e-08,3.100299039715537e-08
1960,7.61291657491725e-09,2.9067500184609685e-08
1961,3.265634918037108e-08,4.794229990778831e-08
1962,1.5220695481765745e-08,3.9320130262865405e-08
1963,2.0691370394843034e-08,2.909723972877032e-08
1964,1.0342745992986124e-08,2.5552666538253277e-08
1965,2.517140029745235e-08,4.322914382015597e-08
1966,2.1602390987141007e-08,4.375869111505892e-08
1967,2.3665610304757223e-08,4.3879987643435925e-08
1968,2.290622025391542e-08,4.491415855900627e-08
1969,2.089208669953102e-08,3.587988695041844e-08
1970,2.1614008027803777e-08,2.8052221878738237e-08
1971,4.162101840954335e-08,2.8775026805760717e-08
1972,3.5398013853438215e-08,2.6676762798771847e-08
1973,3.528450381873327e-08,4.1349027979364905e-08
1974,2.644018703978901e-08,2.5877630482895597e-08
1975,3.426888195434685e-08,3.0270845385871326e-08
1976,4.513686113760684e-08,3.4281161909177627e-08
1977,4.466354291965402e-08,2.7033196681180982e-08
1978,2.1386128867817433e-08,3.9207904034554986e-08
1979,1.872631405497316e-08,6.086052373177608e-08
1980,2.785723873799384e-08,3.638496443025829e-08
1981,1.4548763582755697e-08,3.668818693292053e-08
1982,1.1794254461960918e-08,3.9728013989659416e-08
1983,1.0736036948344463e-08,2.9050453598244985e-08
1984,1.0438215014563212e-08,4.001316034063507e-08
1985,1.2632671464452017e-08,4.8124464857579596e-08
1986,2.577628693822831e-08,4.7955883708539204e-08
1987,2.0165696001939182e-08,3.666490155929125e-08
1988,9.594486038988492e-09,3.957725469572182e-08
1989,1.3720305114262032e-08,4.335616443640333e-08
1990,1.3076762006569709e-08,3.378163615508356e-08
1991,1.934283488935762e-08,3.399649717295006e-08
1992,1.046889380740268e-08,3.636563239428625e-08
1993,1.3294098266669607e-08,4.6529342601075996e-08
1994,1.0549853324270941e-08,3.639699291957399e-08
1995,1.030265628365612e-08,4.392185015689165e-08
1996,1.3345230698291743e-08,3.9501882431736135e-08
1997,1.102825741838842e-08,4.5551496352658205e-08
1998,8.105819682135973e-09,5.769436384195359e-08
1999,1.782378400427831e-08,5.484241349940078e-08
2000,1.899753554468475e-08,4.7714739825899244e-08
2001,1.358175633070502e-08,5.388890333968277e-08
2002,1.6210519815373914e-08,3.5487892846575164e-08
2003,1.6250998768896352e-08,4.000245823476689e-08
2004,1.805964400247717e-08,4.1405037842778825e-08
2005,1.306087415997581e-08,4.4136746257805726e-08
2006,1.1118302722934459e-08,4.9826467563018895e-08
2007,1.1184542181297275e-08,5.3126577137518893e-08
2008,1.1920830711442676e-08,5.832692381857463e-08
2009,1.7165493915172192e-08,5.0066019996464206e-08
2010,2.172944801870358e-08,5.5268379206552254e-08
2011,1.453109355065152e-08,4.550526511160058e-08
2012,2.2468068627823357e-08,4.697868649650161e-08
2013,2.2870825233667347e-08,6.331313728846766e-08
2014,1.818974029732523e-08,5.240377431992016e-08
2015,3.2361999857677404e-08,5.807427638782059e-08
2016,2.1127668059506277e-08,6.234733418430949e-08
2017,1.660303478034919e-08,5.559500926288763e-08
2018,2.349134664569874e-08,5.111303980065429e-08
2019,3.061185260833099e-08,6.198900270870666e-08
