year,serait_VERB assez_ADV,serait_VERB passée_ADJ
1800,7.168695219661458e-07,0.0
1801,6.333945634651172e-07,0.0
1802,5.102275508761522e-07,0.0
1803,6.163072043818829e-07,0.0
1804,1.035705508911633e-06,0.0
1805,5.5151826927613e-07,0.0
1806,7.953406679916952e-07,0.0
1807,9.451890718992217e-07,0.0
1808,6.322346166598436e-07,0.0
1809,7.161126518440142e-07,0.0
1810,7.160787731663731e-07,0.0
1811,6.718966005792026e-07,0.0
1812,9.28188455873169e-07,0.0
1813,1.0525214975132258e-06,0.0
1814,1.1170703828611295e-06,0.0
1815,7.066725515869621e-07,0.0
1816,8.436078360318788e-07,0.0
1817,1.158313807536615e-06,0.0
1818,1.124167056332226e-06,0.0
1819,1.2183186299807858e-06,0.0
1820,1.254287099072826e-06,0.0
1821,1.5443090433109319e-06,0.0
1822,1.524896219962102e-06,0.0
1823,8.884535418474115e-07,0.0
1824,1.1739031151591917e-06,0.0
1825,1.117410761253268e-06,0.0
1826,1.0772164387162775e-06,0.0
1827,1.155846007350192e-06,0.0
1828,1.3263147593534086e-06,0.0
1829,1.3331289210327668e-06,8.57317605795771e-10
1830,1.4455017662839964e-06,0.0
1831,1.4297136203822447e-06,0.0
1832,1.4450007483901572e-06,0.0
1833,1.439845050299482e-06,1.1583628500844156e-09
1834,1.3843109627487138e-06,0.0
1835,1.5163991520239506e-06,0.0
1836,1.2722380233753938e-06,0.0
1837,1.4771602536711725e-06,6.957890930081589e-10
1838,1.2952556289747008e-06,0.0
1839,1.2864314840044244e-06,0.0
1840,1.370120003230113e-06,0.0
1841,1.5422157275679638e-06,0.0
1842,1.5596716593790916e-06,6.708265054555795e-10
1843,1.4855880863251514e-06,0.0
1844,1.501670340076089e-06,5.488561272137815e-10
1845,1.4620196679970832e-06,0.0
1846,1.392200374539243e-06,0.0
1847,1.3305083257364458e-06,2.1572894581822766e-09
1848,1.2767766293109162e-06,0.0
1849,1.3557893225879525e-06,0.0
1850,1.4216158206181717e-06,0.0
1851,1.3027865861658938e-06,0.0
1852,1.4818001545791049e-06,0.0
1853,1.5873395113885636e-06,0.0
1854,1.4298468613560544e-06,0.0
1855,1.4105838772593415e-06,0.0
1856,1.3336439224076457e-06,5.177189232874468e-10
1857,1.3995286280987784e-06,0.0
1858,1.2767600310326088e-06,0.0
1859,1.2832276752305916e-06,0.0
1860,1.443643782295112e-06,0.0
1861,1.361498675578332e-06,0.0
1862,1.4218102251106757e-06,0.0
1863,1.4514367876472534e-06,0.0
1864,1.3425237739284057e-06,0.0
1865,1.4548855915563763e-06,0.0
1866,1.38280722694617e-06,0.0
1867,1.4034330888534896e-06,0.0
1868,1.3545134152082028e-06,0.0
1869,1.4816597513345187e-06,4.883519144627257e-10
1870,1.4186036878527375e-06,0.0
