year,soit_VERB assez_ADV,soit_VERB passée_ADJ
1800,2.5153315164061496e-06,0.0
1801,2.457380332998582e-06,0.0
1802,1.95139659808774e-06,0.0
1803,2.4242715426225914e-06,0.0
1804,2.261743702547392e-06,0.0
1805,1.7966987115869415e-06,0.0
1806,1.8644399233380682e-06,0.0
1807,1.7423365079594078e-06,0.0
1808,1.695023343017965e-06,0.0
1809,2.315506208105944e-06,0.0
1810,1.8838020423572743e-06,0.0
1811,1.4415691111935303e-06,0.0
1812,1.9577307739382377e-06,0.0
1813,1.8778592902890523e-06,0.0
1814,1.5418718248838559e-06,0.0
1815,1.5886646451690467e-06,0.0
1816,2.3685911401116755e-06,0.0
1817,2.1375872165663168e-06,0.0
1818,1.8847381397790741e-06,0.0
1819,1.6551329053982045e-06,0.0
1820,1.585361928846396e-06,0.0
1821,1.6951898942352273e-06,0.0
1822,1.8146364482163335e-06,0.0
1823,1.8698043504628004e-06,0.0
1824,1.7246438801521435e-06,8.421112696055388e-10
1825,1.6536622524654376e-06,0.0
1826,1.4145622344585718e-06,0.0
1827,1.5697015669502434e-06,0.0
1828,1.9555345716071315e-06,0.0
1829,1.615186420167447e-06,0.0
1830,1.6605006294412306e-06,0.0
1831,1.7290647065237863e-06,0.0
1832,1.6046543578340788e-06,0.0
1833,1.5556812513750629e-06,0.0
1834,1.4300501334219007e-06,0.0
1835,1.5481640502912342e-06,0.0
1836,1.4530261296386016e-06,0.0
1837,1.5328233757827547e-06,0.0
1838,1.401299982717319e-06,0.0
1839,1.6660685560054844e-06,6.9914749545318955e-09
1840,1.4172557030178723e-06,1.2739377330817092e-09
1841,1.4247196986616473e-06,6.420548537278137e-10
1842,1.349702984043688e-06,1.341653010911159e-09
1843,1.4536908565787598e-06,2.3627644285539873e-09
1844,1.3661028788192198e-06,0.0
1845,1.2081193290214287e-06,1.1160455892778032e-09
1846,1.422058403477422e-06,0.0
1847,1.4227324527382734e-06,0.0
1848,1.2687314665527083e-06,0.0
1849,1.0683753544071806e-06,0.0
1850,1.251211983799294e-06,0.0
1851,1.2950473546879948e-06,0.0
1852,1.518259182375914e-06,0.0
1853,1.4464019386650762e-06,0.0
1854,1.3810075643050368e-06,0.0
1855,1.3341640396902221e-06,5.306937111981824e-10
1856,1.3533173159885337e-06,0.0
1857,1.3316756621861714e-06,0.0
1858,1.2136316627220367e-06,0.0
1859,1.2536930853457307e-06,0.0
1860,1.1511617685755482e-06,0.0
1861,1.297833250646363e-06,0.0
1862,1.1886821766893263e-06,0.0
1863,1.1842246294690995e-06,3.496234635136375e-09
1864,1.2068330761394463e-06,0.0
1865,1.2510791975728353e-06,0.0
1866,1.0913569212789298e-06,0.0
1867,1.2636720612135832e-06,0.0
1868,1.3219103038863977e-06,0.0
1869,1.2501809578679968e-06,0.0
1870,1.2941748082084814e-06,0.0
1871,1.2787897958332906e-06,0.0
1872,1.2046299389112392e-06,0.0
1873,1.2552651469377452e-06,0.0
1874,1.2863333722634707e-06,0.0
1875,1.3096575912641129e-06,0.0
1876,1.2763136965077138e-06,1.209202959984168e-09
1877,1.277782985198428e-06,0.0
1878,1.198759150611295e-06,0.0
1879,1.323890842286346e-06,0.0
1880,1.1725404647222604e-06,0.0
1881,1.185326254926622e-06,6.972507571312292e-10
1882,1.2472191883716732e-06,0.0
1883,1.1071481367253e-06,0.0
1884,1.2034893188683782e-06,0.0
1885,1.2839706187151023e-06,0.0
1886,1.0938621244349633e-06,0.0
1887,1.152355139311112e-06,0.0
1888,1.0512738981560688e-06,0.0
1889,1.1145677945023635e-06,0.0
1890,1.0998260222550016e-06,0.0
1891,1.1945288633796736e-06,0.0
1892,1.098870257010276e-06,0.0
1893,1.21197638236481e-06,6.158416554491453e-10
1894,1.1078105899287038e-06,0.0
1895,1.0388129112470779e-06,0.0
1896,1.1009752824975294e-06,0.0
1897,1.1280517355771735e-06,0.0
1898,1.1107350701422547e-06,0.0
1899,1.09888253518875e-06,0.0
1900,1.1430698805270367e-06,0.0
1901,1.102099304262083e-06,0.0
1902,1.0792804232551134e-06,4.910283846193408e-10
1903,1.0741038067862974e-06,0.0
1904,1.0539639561102376e-06,0.0
1905,1.1312383776385104e-06,0.0
1906,1.1862489373015705e-06,0.0
1907,1.0393686125098611e-06,0.0
1908,1.0952397815344739e-06,0.0
1909,1.0220827562079648e-06,0.0
1910,1.1099800758529454e-06,0.0
1911,1.0757796644611517e-06,0.0
1912,1.034591036841448e-06,0.0
1913,1.0706736475185608e-06,0.0
1914,1.0292894785379758e-06,0.0
1915,8.517490641679615e-07,0.0
1916,1.1844483651657356e-06,0.0
1917,1.0944492032649578e-06,0.0
1918,1.023436084324203e-06,0.0
1919,9.843189445746248e-07,0.0
1920,9.949912964657415e-07,0.0
1921,1.142727569458657e-06,0.0
1922,9.938079301718972e-07,7.377935484775833e-10
1923,9.320802405454742e-07,0.0
1924,9.59136855271936e-07,0.0
1925,8.402607818425167e-07,0.0
1926,1.043278530232783e-06,0.0
1927,9.409945960214827e-07,0.0
1928,8.432418212578341e-07,0.0
1929,1.011548874885193e-06,0.0
1930,9.253674875253637e-07,1.0503603542488804e-09
1931,1.0207794503003242e-06,0.0
1932,9.743027931108372e-07,0.0
1933,9.061823220690712e-07,0.0
1934,9.225816484104143e-07,0.0
1935,8.557323099012137e-07,0.0
1936,9.942266387952259e-07,1.2124714565686645e-09
1937,8.524186796421418e-07,0.0
1938,8.86820657797216e-07,0.0
1939,8.656432441966899e-07,0.0
1940,7.658064191673475e-07,0.0
1941,8.293722544294724e-07,0.0
1942,7.464161058123864e-07,0.0
1943,9.232288107341446e-07,0.0
1944,1.0217931958322879e-06,0.0
1945,8.583305657339224e-07,0.0
1946,9.062638923751365e-07,0.0
1947,8.809523706077016e-07,0.0
1948,8.469200452054793e-07,0.0
1949,8.51134643653495e-07,0.0
1950,9.178316986435675e-07,0.0
1951,1.0416189297757228e-06,0.0
