year,bon_ADJ acte_NOUN,bon_ADJ tact_NOUN
1800,6.288328968651058e-09,0.0
1801,1.6668277424969347e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,5.851017448321727e-09,1.1702034896643454e-08
1804,3.460591457837836e-08,0.0
1805,1.421438877713399e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,3.9857372513552036e-08,0.0
1808,6.798221985349073e-09,4.5321479902327155e-09
1809,0.0,0.0
1810,3.510190182964834e-08,0.0
1811,5.0141535368197765e-09,0.0
1812,2.6672083208723052e-08,0.0
1813,5.751483289628823e-09,1.4378708002027452e-08
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,1.1588019432906549e-08,0.0
1817,7.784366928831332e-09,3.113746815941454e-09
1818,2.384235475716423e-09,0.0
1819,3.1053151161586356e-09,0.0
1820,3.20394981656591e-08,0.0
1821,5.029358973729359e-08,0.0
1822,1.303330066093622e-08,0.0
1823,2.7671523739059012e-08,1.9765373782121287e-09
1824,1.1789557774477544e-08,0.0
1825,1.7610886970942374e-08,0.0
1826,1.4092774947016551e-08,0.0
1827,2.6730091917670507e-08,4.608636583469661e-09
1828,1.559291185060374e-08,4.586150570418113e-09
1829,1.8860987438529264e-08,8.573175946935407e-09
1830,1.5655253093882493e-08,0.0
1831,1.091384405071949e-08,1.5591206103948707e-09
1832,9.470978667991403e-09,2.705993873419743e-09
1833,3.4750886612755494e-08,0.0
1834,1.3068342852307069e-08,0.0
1835,1.739510224751939e-08,0.0
1836,1.5457725766054864e-08,0.0
1837,1.530736071231331e-08,0.0
1838,1.64116205070286e-08,0.0
1839,7.690622361167243e-09,0.0
1840,5.732719632334238e-09,0.0
1841,8.346713542550788e-09,0.0
1842,1.8112315203211438e-08,0.0
1843,1.2995204023980023e-08,0.0
1844,5.488561161115513e-09,5.488561272137815e-10
1845,6.696273757711424e-09,0.0
1846,2.2247105491146613e-08,0.0
1847,2.9123407685460734e-08,5.393223645455691e-10
1848,8.84974404868899e-09,8.045221711050488e-10
1849,9.217356655710773e-09,0.0
1850,2.7155984128057753e-08,0.0
1851,2.7732586005413395e-08,0.0
1852,1.4323200403509873e-08,6.510545436100301e-10
1853,1.4929829816878737e-08,0.0
1854,3.896748168585873e-08,0.0
1855,2.1227748447927297e-08,0.0
1856,1.65670055451983e-08,0.0
1857,1.0739319655783675e-08,4.881509085841174e-10
1858,3.1808895073481835e-08,1.468102750479261e-09
1859,2.1387128512628806e-08,0.0
1860,2.197048232233101e-08,0.0
1861,5.187560159214399e-09,0.0
1862,2.5300723294208183e-08,4.517986262886353e-10
1863,1.7980635647063536e-08,0.0
1864,1.7740493518658695e-08,0.0
1865,1.2708479601997169e-08,0.0
