year,en_ADP empire_NOUN,en_ADP vampire_NOUN
1800,1.1318992321207588e-07,0.0
1801,1.4287095240206327e-07,0.0
1802,2.3721105435470236e-07,0.0
1803,1.3067272774947014e-07,0.0
1804,4.2021465418429216e-08,0.0
1805,1.9331567990832355e-07,0.0
1806,1.6137346747768788e-07,0.0
1807,4.0996152961270127e-07,0.0
1808,7.931259027316173e-08,0.0
1809,1.942766267859497e-07,0.0
1810,1.638088740207877e-07,0.0
1811,9.526891986411101e-08,0.0
1812,1.1735716398675322e-07,0.0
1813,1.6679301495514665e-07,0.0
1814,4.940283204746265e-07,0.0
1815,1.6992509088709085e-07,0.0
1816,1.4832664874120383e-07,0.0
1817,2.1936346259465722e-06,0.0
1818,2.527289542086919e-07,0.0
1819,1.0454560239736566e-07,0.0
1820,1.1747816230922581e-07,0.0
1821,6.409967312492881e-08,0.0
1822,2.90742860897808e-08,0.0
1823,1.6306433181512148e-07,0.0
1824,5.221089871554341e-08,0.0
1825,6.5160277173959e-08,0.0
1826,5.989429441299876e-08,0.0
1827,1.0046827725318508e-07,0.0
1828,1.146537678131665e-07,0.0
1829,9.773420561742796e-08,0.0
1830,1.6594569429706496e-07,0.0
1831,2.775234690943762e-07,0.0
1832,6.61615476293953e-07,0.0
1833,3.1623306995243183e-07,0.0
1834,5.0406468332653276e-08,0.0
1835,1.0437061348511634e-07,0.0
1836,8.333729795140243e-08,0.0
1837,2.268272396577231e-07,0.0
1838,1.0288824014992315e-07,0.0
1839,7.550792979760246e-08,0.0
1840,7.579929217627068e-08,1.2739377330817092e-09
1841,8.796151540479968e-08,0.0
1842,9.056157779241403e-08,0.0
1843,8.978504517642705e-08,5.906911071384968e-10
1844,8.342613444511926e-08,0.0
1845,3.2532729221657064e-07,5.580227946389016e-10
1846,7.142491398326456e-08,0.0
1847,8.413428886910879e-08,0.0
1848,3.12154597281733e-07,8.045221711050488e-10
1849,1.080944542763973e-07,0.0
1850,7.264225665437607e-08,0.0
1851,1.2963372242325022e-07,0.0
1852,1.0156450747089707e-07,0.0
1853,1.2063302534670584e-07,0.0
1854,5.247621137627334e-08,0.0
1855,1.1197637306281649e-07,5.306937111981824e-10
1856,8.904765280703941e-08,0.0
1857,5.369660005527521e-08,0.0
1858,8.025628606134205e-08,0.0
1859,8.198398937508955e-08,5.092173349652285e-10
1860,1.1168328484245649e-07,9.154367819341758e-10
1861,8.347255686658173e-08,0.0
1862,1.5677412967818327e-07,4.517986262886353e-10
1863,6.293222387654396e-08,4.994620828036034e-10
1864,7.959248549127551e-08,0.0
1865,9.93144197991569e-08,4.706844358715045e-10
1866,1.0120474769337306e-07,4.865612912574591e-10
1867,9.60856638698715e-08,0.0
1868,9.484558205485882e-08,4.93987406535723e-10
