year,pleurant_VERB en_ADP,pleurant_VERB dans_ADP
1800,6.288328968651058e-09,9.746909768182377e-08
1801,9.524730337773235e-09,3.5717739876872656e-08
1802,2.0140561218795483e-08,8.951360541686881e-08
1803,1.5602713787643552e-08,7.80135707145746e-08
1804,0.0,3.9549615138412264e-08
1805,4.264316544322355e-08,7.675770063997334e-08
1806,5.76333825108577e-09,3.7461699520235925e-08
1807,1.9928686256776018e-08,1.7081731584767113e-08
1808,1.1330369531492579e-08,2.2660739951163578e-09
1809,1.129515236897305e-08,3.840352036377226e-08
1810,1.8721014072298203e-08,8.190443878675069e-08
1811,1.2535384286138651e-08,2.0056614147279106e-08
1812,1.3336041604361526e-08,5.067695596494559e-08
1813,8.627225156487839e-09,4.601186631703058e-08
1814,3.4613449884091096e-08,3.776012391654149e-08
1815,0.0,1.0519171667056071e-07
1816,0.0,1.3905623319487859e-08
1817,1.401186100480345e-08,2.8023721343473085e-08
1818,1.7881765401739358e-08,2.026600220972341e-08
1819,6.210630232317271e-09,2.3807414706311647e-08
1820,9.493184904840746e-09,4.034603762193001e-08
1821,1.7750679148775816e-08,3.4515210245444905e-08
1822,2.3058916553964082e-08,2.5064039732569654e-08
1823,2.9648061783404955e-09,4.941343334508019e-08
1824,2.6947560627377243e-08,2.4421225930382207e-08
1825,1.2327619813845558e-08,4.0505039322624725e-08
1826,3.8755132436563144e-08,4.4039922819649746e-08
1827,4.608636583469661e-09,3.594736597278825e-08
1828,1.8344602503717056e-09,6.237164740241496e-08
1829,1.0287811491593857e-08,7.544394586833647e-08
1830,6.262101504006523e-09,5.844628248041772e-08
1831,3.1182412207897414e-09,4.8332740476553226e-08
1832,6.764984572527055e-09,7.847381944259268e-08
1833,4.6334514003376626e-09,5.9076506575550525e-08
1834,1.3068342852307069e-08,7.094243414940138e-08
1835,3.781543966852041e-09,5.445423312266939e-08
1836,2.016225053580456e-08,8.804182272115213e-08
1837,2.0177884252348122e-08,6.888311787633938e-08
1838,2.5879863585487328e-08,5.9334322344284374e-08
1839,1.677954131196202e-08,4.194885150354821e-08
1840,1.9109066662359453e-08,8.216898378377024e-08
1841,1.7977535904378783e-08,1.0337083278244563e-07
1842,1.6770663080478698e-08,8.251166150330391e-08
1843,1.0041748765843295e-08,9.332919148619112e-08
1844,1.3172547497219966e-08,8.562155784375136e-08
1845,1.0044410636567136e-08,9.542189616240648e-08
1846,4.6836010625384006e-09,8.079211966105504e-08
1847,3.775256551818984e-09,8.197699941092651e-08
1848,9.65426583121598e-09,5.8730117435956686e-08
1849,1.9272654583346593e-08,7.373885324568619e-08
1850,8.146795238417326e-09,6.653216377827675e-08
1851,1.3543821175687754e-08,4.772584816237213e-08
1852,2.6042181744401205e-09,6.119912399071836e-08
1853,1.851298847554972e-08,5.5538965426649156e-08
1854,1.4028294081924741e-08,6.28675422831293e-08
1855,1.326734277995456e-08,6.899018245576372e-08
1856,8.283502495043393e-09,5.901995692170203e-08
1857,1.3180074864838076e-08,9.56775778604424e-08
1858,2.0553439838977283e-08,1.0374593273354549e-07
1859,1.8841042281891873e-08,1.0744485456903874e-07
1860,1.373155189554609e-08,8.330474798867726e-08
1861,1.1789909493131745e-08,7.592701933845092e-08
1862,2.349352892783152e-08,7.228778287071691e-08
1863,1.0988166210257333e-08,8.590748024062123e-08
1864,9.109983323263293e-09,1.1363505025840936e-07
1865,1.4591217623038943e-08,6.49544552588921e-08
1866,2.1408697037372804e-08,8.417510599656453e-08
1867,9.7056229719783e-09,7.570385918143074e-08
1868,9.87974857480367e-09,6.668830110356794e-08
1869,4.883519366671862e-09,8.253147443237907e-08
1870,4.587239033071455e-09,7.740965912717002e-08
1871,1.0621176826930423e-08,8.709365317827178e-08
1872,1.5723081503438152e-08,7.317280648067026e-08
1873,7.183205141814142e-09,5.686704174223678e-08
1874,2.270351479038979e-08,4.600449088343339e-08
1875,4.005069165202713e-09,5.8359578503086595e-08
1876,7.255217759905008e-09,5.441413364337677e-08
1877,2.3502300550148902e-08,8.225805459005642e-08
1878,1.872117572077059e-08,4.468925496325937e-08
1879,1.3440516033469407e-08,8.125402373160284e-08
1880,1.4761046607247863e-08,6.610381575455904e-08
1881,2.161477319351235e-08,6.48443219120054e-08
1882,1.0648616211028639e-08,7.454031147879903e-08
1883,1.074287619973191e-08,6.445725936332636e-08
1884,1.0562715146988921e-08,7.459917839014452e-08
1885,3.2228177904158883e-09,5.607703112975315e-08
1886,1.0325542199041138e-08,7.873225982280019e-08
1887,1.828098916689669e-08,6.594213841637497e-08
1888,1.521747527988282e-08,8.115986571688438e-08
1889,1.628935564212952e-08,8.833843140321207e-08
1890,9.176140736144589e-09,7.40645695884723e-08
1891,1.7210393998823292e-08,6.055509049751606e-08
1892,1.002961980134387e-08,6.26851246465776e-08
1893,7.390100087434348e-09,5.727327256899173e-08
1894,1.1342770500633037e-08,6.805662566833348e-08
1895,1.3842813562092715e-08,6.19917273070314e-08
1896,2.948514543632541e-09,6.840553301579178e-08
1897,8.157399200570126e-09,6.409384956107544e-08
1898,7.921697076085366e-09,4.35693334743803e-08
