year,connaissant_VERB en_ADP,connaissant_VERB dans_ADP
1800,1.5720821977538435e-08,3.144164484325529e-09
1801,1.1905912700171939e-08,3.5717739876872656e-08
1802,2.0140561218795483e-08,8.951360541686881e-09
1803,0.0,1.9503391568420625e-08
1804,1.2359254952798437e-08,9.887403784603066e-09
1805,5.685755422035754e-09,1.1371510844071508e-08
1806,5.76333825108577e-09,2.881669125542885e-09
1807,2.562259560079383e-08,0.0
1808,2.039466551195801e-08,3.3991109926745366e-08
1809,1.3554183553310395e-08,1.5813214071513926e-08
1810,0.0,3.510190227373755e-08
1811,7.019815129183371e-08,6.267691787797958e-08
1812,5.3344164641089264e-09,6.401299756930712e-08
1813,5.751483289628823e-09,5.751483289628823e-09
1814,0.0,2.5173416684509675e-08
1815,0.0,0.0
1816,4.6352077731626196e-09,4.6352077731626196e-09
1817,1.5568733857662664e-08,3.113746815941454e-09
1818,9.536941902865692e-09,2.2650237241350624e-08
1819,4.554461874306526e-08,4.140420006848444e-09
1820,2.610625848831205e-08,1.0679833017945839e-08
1821,5.9168927535324656e-09,1.7750679148775816e-08
1822,1.303330066093622e-08,3.909990198280866e-08
1823,3.360113609574e-08,9.882686891060644e-10
1824,1.0105335235266466e-08,1.6000114122505238e-08
1825,1.4969252948304757e-08,2.905796181451592e-08
1826,1.056958154332932e-08,1.6735169472426037e-08
1827,2.1199728195142598e-08,3.6869092223668076e-08
1828,2.2930752408001354e-08,4.5861506592359547e-08
1829,3.000611653591889e-08,1.971830476676928e-08
1830,3.235419043789989e-08,7.305785310052215e-09
1831,0.0,0.0
1832,1.4882966192786284e-08,3.6530916958099624e-08
1833,2.0850531079474877e-08,5.791814139399776e-09
1834,1.4001796166951408e-08,2.6136686592792557e-08
1835,3.6302822081779595e-08,8.31939672707449e-09
1836,3.36037508930076e-08,6.720749901045764e-09
1837,1.6003149472254563e-08,4.174734669071256e-09
1838,2.6511079775914936e-08,1.2624323808552163e-09
1839,2.1673573158409454e-08,3.4957376993105527e-09
1840,3.567025697037707e-08,2.293087897342616e-08
1841,5.393260948949319e-08,1.4767261191650505e-08
1842,3.89079368723344e-08,1.475818312002275e-08
1843,4.312044954435379e-08,6.497602011990011e-09
1844,4.445734469449292e-08,1.5916826967554698e-08
1845,3.9619619418562735e-08,1.785672942844485e-08
1846,3.5712458990033724e-08,4.6836010625384006e-09
1847,3.883121024728098e-08,1.5101026207275936e-08
1848,4.183515311950714e-08,1.287235473768078e-08
1849,3.5193544078993e-08,1.508294644736452e-08
1850,2.987158342904195e-08,6.788996032014438e-09
1851,3.031236261996639e-08,1.9348316282474798e-08
1852,4.6224872818356744e-08,1.0416872697760482e-08
1853,3.4637203327747557e-08,7.1663179834757784e-09
1854,4.208488119106235e-08,1.0391328519876453e-08
1855,3.131092896069276e-08,1.751289246954002e-08
1856,4.2970670577346937e-08,1.0872097611080989e-08
1857,3.124165814938351e-08,1.4644526924456613e-08
1858,2.88726890174118e-08,2.300027723833864e-08
1859,3.564521411369981e-08,1.2221215595076274e-08
1860,3.3413441791196874e-08,1.0985241161165504e-08
1861,1.2733102572326516e-08,3.254015012998934e-08
1862,5.1053245631038635e-08,7.680576730173527e-09
1863,4.644997364522396e-08,1.39849385405455e-08
1864,3.88372978221696e-08,2.109680352635479e-08
1865,5.3658026966108e-08,2.2122168596983016e-08
1866,4.5736760601045034e-08,1.0217787060895489e-08
1867,2.1837651686951176e-08,1.1161466417775046e-08
1868,4.989272639477349e-08,1.432563490055827e-08
1869,4.0044856319809696e-08,1.6115612622158437e-08
1870,2.8096838633473453e-08,9.17447806614291e-09
1871,3.3987767267262825e-08,1.3807530230280918e-08
1872,3.3260365017717675e-08,1.5723081503438152e-08
1873,3.531742737150623e-08,8.380406590902112e-09
1874,3.883495969247974e-08,7.169530746864439e-09
1875,4.6344369564188526e-08,8.010138330405425e-09
1876,2.781166830168047e-08,1.269663130187837e-08
1877,3.5871932979603116e-08,8.658742500777805e-09
1878,3.01954443671093e-08,9.662541822219595e-09
1879,3.909968249171669e-08,9.774920095573236e-09
1880,4.941741682529255e-08,7.059630879879819e-09
1881,4.6018549859638824e-08,1.9523021199674417e-08
1882,4.19289278852375e-08,1.0648615988984034e-08
1883,5.6874050913258145e-08,3.4756364009069785e-08
1884,3.828984418419168e-08,2.5086449362277108e-08
1885,3.867381448419138e-08,8.379326565943757e-09
1886,3.0331279932127586e-08,5.162771044009418e-09
1887,2.807437621266118e-08,1.1752064710268684e-08
1888,5.072491715552019e-08,1.3949352783981794e-08
1889,3.82173350743642e-08,2.4434033019105073e-08
1890,2.8183861022768042e-08,1.704140528691056e-08
1891,3.82453193559229e-08,1.2111017744231845e-08
1892,3.196941333882819e-08,2.2566644553023707e-08
1893,2.2786141196107224e-08,2.2786141196107224e-08
1894,2.142523314319078e-08,1.3233232731835187e-08
1895,4.213030280197927e-08,9.629783193076946e-09
1896,4.245860840690341e-08,1.8280790214930676e-08
1897,2.505486884629704e-08,1.631479840114025e-08
1898,2.9423445457865682e-08,1.697506502029711e-08
1899,4.477338322317337e-08,1.3818945987509323e-08
1900,4.3085740308868026e-08,1.9206897405865675e-08
1901,2.6825946353170593e-08,2.1237207992186313e-08
1902,2.3078334354664776e-08,1.0311595688428099e-08
1903,2.700110202091821e-08,9.720396931811592e-09
1904,2.794805009642687e-08,2.2573424907079698e-08
1905,3.1480629492097734e-08,1.8062657147766004e-08
1906,2.3148830408104004e-08,1.491813489407079e-08
1907,3.034277540336916e-08,8.742834012309686e-09
1908,4.371136297365297e-08,1.1296195312482382e-08
1909,4.8408657082887885e-08,1.6502951338814853e-08
1910,3.5271394693836555e-08,1.2825961293039256e-08
1911,4.0434842141223726e-08,1.0108710868372839e-08
1912,3.64659484830554e-08,1.667014770667663e-08
1913,2.8105844984693817e-08,1.2196876397752021e-08
1914,2.2768928631400343e-08,1.4732836284281348e-08
1915,3.416420901736217e-08,1.8849218963445935e-08
1916,4.1752354462687435e-08,1.0987462051303964e-09
1917,3.180263075108769e-08,9.869782324756216e-09
1918,1.72295644418341e-08,1.9526839700745313e-08
1919,4.1435319175775476e-08,1.1970202717925815e-08
1920,2.877448102012181e-08,1.514446301698058e-08
1921,2.726189118895661e-08,2.4232791773215467e-08
1922,3.3200709181890886e-08,2.8036154731125862e-08
1923,3.927900893430092e-08,1.1677542932631013e-08
1924,4.1253199078994385e-08,1.804827398643738e-08
1925,1.9796720263087764e-08,2.1996356736053713e-08
1926,2.452150482668003e-08,1.4489979882625903e-08
1927,4.4596900394822114e-08,6.689535148041159e-09
1928,3.884853994051696e-08,1.3711249025050165e-08
1929,2.6736974412244763e-08,2.4508894691521732e-08
1930,2.8359729675742074e-08,2.3107928015519974e-08
1931,4.5621428412800924e-08,1.4826963656844327e-08
1932,2.7398840751757803e-08,1.0959536389520963e-08
1933,2.6382522833046096e-08,5.735331320977366e-09
1934,3.1152108448395666e-08,2.036868629318178e-08
1935,3.710167906234574e-08,2.992071124197082e-08
1936,3.273672977144315e-08,2.182448666232517e-08
1937,1.6368453259474336e-08,2.14049007407624e-08
1938,3.3709557811789637e-08,1.8151300351654243e-08
1939,4.129393804674919e-08,6.117620188206274e-09
1940,3.803674530900025e-08,2.2822046474857416e-08
1941,3.246652724442356e-08,3.541802984230458e-08
1942,4.2478965012193726e-08,2.730790527039062e-08
1943,4.3548528338988035e-08,1.4516176261025748e-08
1944,8.996921252446555e-08,3.213186161588055e-08
1945,2.832055301382752e-08,3.267756021330115e-08
1946,3.3410650246423756e-08,1.80974355501462e-08
1947,2.98021776146129e-08,1.0728784083369192e-08
1948,4.2400363886585524e-08,2.5005342685346932e-08
1949,4.613994031288371e-08,3.239612667016445e-08
1950,4.1477910883713776e-08,1.7016577702477775e-08
1951,3.0918064997109695e-08,1.1727541715522705e-08
1952,4.323369484637851e-08,1.5817205323287453e-08
1953,4.740484005338885e-08,1.2928592529881655e-08
1954,3.0294862618518437e-08,3.12721171180641e-08
1955,3.754243138587299e-08,2.2525458387434583e-08
1956,3.924513669595342e-08,1.308171282410342e-08
1957,4.064117509194887e-08,1.590306802912167e-08
1958,4.384289153946952e-08,2.3989505326671434e-08
1959,3.487836619520124e-08,2.325224335297804e-08
1960,3.5296250477934166e-08,1.6610000486139143e-08
1961,3.335116316449671e-08,1.3896318928896534e-08
1962,4.249110752141405e-08,2.2196847748734427e-08
1963,3.362347733570914e-08,1.4871922360271128e-08
1964,3.285343014303166e-08,1.4601524211954597e-08
1965,3.830430489459857e-08,1.860494691641179e-08
1966,3.046491148239738e-08,1.495550217001096e-08
1967,2.7116845213726037e-08,2.5144711646163387e-08
1968,3.862617448113781e-08,2.1558796470255714e-08
1969,2.6342194647810402e-08,1.4533625303236875e-08
1970,3.862929043307872e-08,1.3336302950861523e-08
1971,3.494110289992136e-08,1.0790634275004152e-08
1972,2.0007572931746154e-08,1.9494558856081312e-08
1973,3.804110582095177e-08,1.8744893248712202e-08
1974,4.78173600715337e-08,1.4626486688484874e-08
1975,2.1132476213381324e-08,1.9419033048251322e-08
1976,1.9997344002931072e-08,2.0568696745826287e-08
1977,3.349765753668521e-08,2.7033196681180982e-08
1978,3.5643549445296685e-08,1.7227714366185864e-08
1979,3.3941446986318624e-08,1.404473604083023e-08
1980,4.8892295101410355e-08,2.61516928112826e-08
1981,3.099519318983113e-08,1.2018543993352893e-08
1982,3.103751089472695e-08,2.3588509368011046e-08
1983,3.220811173321181e-08,1.705135410645653e-08
1984,3.363425005176168e-08,2.66754396349711e-08
1985,2.8273123287014812e-08,1.8648229627160617e-08
1986,2.3977941632224997e-08,2.8174081734277934e-08
1987,4.0331391226722246e-08,2.261002274295265e-08
1988,2.998276826815527e-08,2.6384837314985532e-08
1989,2.5245361356951435e-08,2.0306051284890714e-08
1990,3.0512445459152104e-08,2.288433365027487e-08
1991,4.0444110283033297e-08,2.4032007495122798e-08
1992,2.5345743781546304e-08,1.76318211142501e-08
1993,3.323524566667402e-08,2.3818591543545153e-08
1994,3.059457376330954e-08,2.37371702294098e-08
1995,2.2232047758308227e-08,1.9520822291951845e-08
1996,2.6690460064315857e-08,1.4412848692302305e-08
1997,2.4453961633419397e-08,1.1028257529410723e-08
1998,1.9072516788121163e-08,1.2873948573854932e-08
1999,2.605014595702393e-08,1.64527242940693e-08
2000,2.8717204836326005e-08,1.8555731395863972e-08
2001,2.453478642472362e-08,3.023036077021146e-08
2002,3.6364139865963097e-08,2.3658595971198793e-08
2003,3.208530596765513e-08,2.2918075881506184e-08
2004,2.3785873048964845e-08,1.5857249208162116e-08
2005,3.1526247834534615e-08,1.7564623533417034e-08
2006,2.141302735125805e-08,1.8365788995167165e-07
2007,4.034424139209847e-08,1.9572949844226528e-08
2008,3.1079309792403365e-08,1.4049550856043425e-08
2009,2.527142073383004e-08,2.145686650578682e-08
2010,2.5508482437430757e-08,1.4643758206034363e-08
2011,2.6003009412356448e-08,1.3383901958929911e-08
2012,1.940424065871582e-08,1.736168897537027e-08
2013,1.4503450607161739e-08,1.1993237625240738e-08
2014,1.9489006297668254e-08,1.1260315124772546e-08
2015,2.4825644651116363e-08,1.5959342652971387e-08
2016,2.050626646266096e-08,1.3670844678514982e-08
2017,3.647636437342783e-08,1.0062445682246235e-08
2018,2.1942466066349198e-08,1.9102853188179836e-08
2019,2.474458093981724e-08,1.2499839996404916e-08
