year,regardant_VERB en_ADP,regardant_VERB dans_ADP
1800,1.5406406106421855e-07,1.1318991832709457e-07
1801,1.6668278135512082e-07,1.7144515140898875e-07
1802,1.5888664961494214e-07,1.4769744893783354e-07
1803,1.560271414291492e-07,1.326230716358623e-07
1804,2.7190359297435407e-07,1.8538882784469024e-07
1805,2.388017321663938e-07,1.5635827899096455e-07
1806,1.210301041609796e-07,1.267934441884222e-07
1807,1.4234775846944103e-07,4.839823830593559e-08
1808,1.4502872947019796e-07,1.9035022091884457e-07
1809,5.1957703028904234e-08,1.0391540428145163e-07
1810,1.497681063611367e-07,2.0359102848033217e-07
1811,2.0307322312618226e-07,1.4039629547824006e-07
1812,1.360276229434021e-07,1.2535878113340004e-07
1813,3.105801056335622e-07,2.3005932803243923e-07
1814,7.237357380063258e-08,6.922689976818219e-08
1815,1.9420009778059466e-07,1.6453063600430085e-07
1816,1.6918508372043561e-07,9.733935968370133e-08
1817,1.479029760886874e-07,1.2610674104962527e-07
1818,2.837240344888414e-07,1.418620172444207e-07
1819,1.3145833577254962e-07,1.2524770554023235e-07
1820,1.5189096291834403e-07,1.5663755359440756e-07
1821,1.6863144702838895e-07,2.5146795379349385e-07
1822,1.5339192316332628e-07,2.035200026284656e-07
1823,1.5416991061556473e-07,2.1346603862326674e-07
1824,1.6589592011229115e-07,1.9452770771977157e-07
1825,1.6554232318277684e-07,1.796310411528168e-07
1826,1.6206691100251192e-07,1.4973573569943e-07
1827,1.2443317964905276e-07,9.862482031053332e-08
1828,1.5042574352808202e-07,1.9353555025247715e-07
1829,2.134720876734164e-07,1.3374154450573883e-07
1830,1.9412515128713892e-07,1.9203778300891372e-07
1831,3.414474010199342e-07,1.9489006941597609e-07
1832,2.421864562229814e-07,1.5424164701016707e-07
1833,2.316725726814184e-07,1.227864689923308e-07
1834,3.6684706206102646e-07,1.8575717053437302e-07
1835,3.3050694980829576e-07,2.011781390365286e-07
1836,2.587488725502851e-07,2.0027835212488299e-07
1837,2.790114344008998e-07,1.989956732728615e-07
1838,1.7421566500530616e-07,1.7295324217236896e-07
1839,2.307186806049799e-07,1.1186360371340243e-07
1840,2.751705507897384e-07,1.7261856721795255e-07
1841,3.4285729810790144e-07,2.0802577438416847e-07
1842,1.8514811150893706e-07,1.7508571303892495e-07
1843,3.012524745216183e-07,1.7248180705919935e-07
1844,2.563158192359083e-07,1.6575455075162893e-07
1845,2.8738173796227784e-07,2.1204865863211353e-07
1846,1.8734404494402668e-07,1.4402073378327884e-07
1847,2.1303232955460771e-07,9.384209320728587e-08
1848,2.059576788560058e-07,1.2148284156410227e-07
1849,3.159039403399788e-07,1.4663975722584155e-07
1850,2.9056904260471583e-07,1.5139460973756513e-07
1851,1.9799777195572688e-07,1.1544495137627564e-07
1852,2.3242646651766563e-07,1.5625309579547775e-07
1853,2.5201550979403464e-07,2.2335025740005676e-07
1854,2.234135717538166e-07,2.0938528244585086e-07
1855,3.555647900554959e-07,2.2289135159780926e-07
1856,2.6817840009796257e-07,1.977686245879795e-07
1857,2.8263936968642156e-07,1.903788557910957e-07
1858,3.5870646275526497e-07,2.525136877373768e-07
1859,4.6491542882165504e-07,2.6377457862380993e-07
1860,4.137774283208273e-07,1.9727662037283267e-07
1861,3.796350780405078e-07,2.070308016133282e-07
1862,3.343309773473635e-07,1.7529786344727682e-07
1863,2.682111488461203e-07,1.8530043899289694e-07
1864,3.092599420995157e-07,2.584358282931021e-07
1865,2.852347797954735e-07,2.028649914720404e-07
1866,3.478913286336649e-07,1.951110712994364e-07
1867,3.168886024695894e-07,2.601106885435911e-07
1868,3.3591143999700535e-07,2.178484521664359e-07
1869,4.0533207901205515e-07,2.451526603941545e-07
1870,2.6605986969130413e-07,1.955310691137413e-07
1871,3.9510779492601955e-07,1.6781459866166415e-07
1872,3.2595159282777786e-07,3.3865100634855594e-07
1873,3.220470540798992e-07,2.1609475897577113e-07
1874,4.265870887643075e-07,2.2763260565383803e-07
1875,3.9592966594170775e-07,2.5174719553433533e-07
1876,4.619155347107551e-07,2.9927774036764276e-07
1877,4.125272283772574e-07,3.704704738538567e-07
1878,3.88313402321927e-07,2.826293616919884e-07
1879,3.1401932520935816e-07,2.3643088287172986e-07
1880,3.1190732308061797e-07,2.355349622007452e-07
1881,2.761113062632603e-07,2.489185266796312e-07
1882,3.880089485264193e-07,2.622221870751673e-07
1883,3.2670983429738953e-07,2.6730803348584686e-07
1884,3.749763832772146e-07,2.825526319583105e-07
1885,3.6224473420887193e-07,2.9521010214139665e-07
1886,2.5942924164468195e-07,2.8008034114179736e-07
1887,3.0359499048060457e-07,2.174131894516762e-07
1888,2.942045176368424e-07,2.5742895104485797e-07
1889,2.838106900604487e-07,2.5185850560660583e-07
1890,2.897038928750817e-07,2.398905385447847e-07
1891,2.740914606391698e-07,2.3520872050042385e-07
1892,3.403802140145018e-07,2.7393399992803324e-07
1893,2.6850696643876404e-07,2.8082379888161313e-07
1894,3.075151120413011e-07,2.2181418390943008e-07
1895,2.407445816032805e-07,2.1125337079652695e-07
1896,2.771603626050556e-07,2.52982543358371e-07
1897,2.639501248680176e-07,2.0510031362164227e-07
1898,2.817860755843782e-07,2.048324470038665e-07
1899,2.636654894416779e-07,2.559268814650295e-07
1900,2.1646691639176652e-07,2.419030740163919e-07
1901,2.822313123207465e-07,2.1237207947777392e-07
1902,2.4796932951431927e-07,9.413013977166429e-07
1903,2.106085861264262e-07,2.3274950056162425e-07
1904,2.348711269917203e-07,2.472327595981483e-07
1905,2.3481454336504726e-07,2.1055896903821036e-07
1906,2.746994596236618e-07,1.9496459024992419e-07
1907,1.7382810035826424e-07,2.1908513470059177e-07
1908,2.411492010523375e-07,2.588302052686231e-07
1909,2.4699416822926423e-07,2.1398826621776834e-07
1910,2.7201726116032887e-07,2.4583093338748085e-07
1911,2.4633331507928347e-07,2.606983429132015e-07
1912,2.2452604997447168e-07,2.2296322832460191e-07
1913,2.7522515644307077e-07,2.4234663609234985e-07
1914,3.201043385914204e-07,2.0224165320215093e-07
1915,2.085194910073085e-07,1.3783490881991156e-07
1916,1.856881133299737e-07,1.8458936468235265e-07
1917,1.9849228571899857e-07,1.9191242106586515e-07
1918,2.814162307629431e-07,1.8722793360126389e-07
1919,2.1454287124633709e-07,1.7310754391042238e-07
1920,2.0445025272763928e-07,1.9914969007217564e-07
1921,2.3021151651647642e-07,2.74890734619504e-07
1922,2.633922924211163e-07,3.150378353744543e-07
1923,2.0913417264623035e-07,2.059493988681993e-07
1924,2.5912165879660165e-07,2.99085697985646e-07
1925,1.8256974665398218e-07,2.2876209548883253e-07
1926,2.0063049444019043e-07,2.652780879408567e-07
1927,2.4639787143954095e-07,3.3670658083906346e-07
1928,2.1709478392750725e-07,2.605137472411201e-07
1929,1.9272903539757635e-07,2.55115303104958e-07
1930,1.8906486776160136e-07,2.3107927171750475e-07
1931,2.1898284163768267e-07,1.87047851873956e-07
1932,2.027514316438328e-07,2.0603929451468161e-07
1933,1.8926593270407466e-07,2.3514856817286045e-07
1934,1.8331817308592235e-07,2.8635975901636357e-07
1935,1.735401236047096e-07,2.369720206729653e-07
1936,1.3700926748683173e-07,2.243072225738274e-07
1937,1.6872098029807603e-07,1.52352531923583e-07
1938,2.0096082309351004e-07,2.5152515337190096e-07
1939,1.8046979377572825e-07,1.5905812222882787e-07
1940,1.8257636980045788e-07,1.749690170527174e-07
1941,1.947991652428982e-07,2.6563523825018365e-07
1942,2.5790801316816214e-07,2.5183958030083886e-07
1943,2.3516204894491466e-07,2.0032322822771675e-07
1944,1.4138019110987443e-07,2.2813622280182244e-07
1945,1.742803275028848e-07,3.245970958687394e-07
1946,1.7679802866155114e-07,2.1299290153820039e-07
1947,1.573554966327606e-07,2.682195847647506e-07
1948,2.315712084310917e-07,2.6201250236113083e-07
1949,1.5020022514633524e-07,1.9830356734473753e-07
1950,1.6591163243262486e-07,2.095166253823777e-07
1951,2.2388944032059044e-07,2.7826258908181245e-07
1952,1.4551829163877983e-07,2.182774405667942e-07
1953,1.60530024384542e-07,2.1655392956621e-07
1954,1.7786015860110638e-07,3.205391925220624e-07
1955,1.8301934856523872e-07,2.721826337648281e-07
1956,1.56108429294477e-07,3.157053356517281e-07
1957,1.493121359885663e-07,2.3236148721794692e-07
1958,1.4476425375109514e-07,2.3575894214644677e-07
1959,2.325224413013416e-07,2.774767606794626e-07
1960,1.6056333862479732e-07,2.6576001088685075e-07
1961,1.618921166013365e-07,2.772315488286381e-07
1962,1.959664590600596e-07,3.0314552557086927e-07
1963,1.3966674483611996e-07,2.838597259469111e-07
1964,1.6548393544368878e-07,2.39708355831425e-07
1965,1.6799173341297546e-07,2.1122087190406091e-07
1966,1.7614257696862978e-07,2.73630306857342e-07
1967,1.927761195119615e-07,2.598286830135521e-07
1968,1.7516522365923493e-07,2.6544268116879266e-07
1969,1.7077009806243382e-07,2.516133736918391e-07
1970,1.5681651843735267e-07,2.3039612173647583e-07
1971,1.7984391753600448e-07,2.435600525707571e-07
1972,1.226105066365335e-07,2.1854426091039159e-07
1973,1.3838141388333725e-07,2.1225834490046225e-07
1974,1.0801097616308653e-07,2.272730923458255e-07
1975,1.3193519210474847e-07,1.9133458950548743e-07
1976,9.48445437742862e-08,1.9768802372865935e-07
1977,1.3634133644302437e-07,2.3742198029808037e-07
1978,1.2891083756016997e-07,2.1801970406798432e-07
1979,1.2874341770441333e-07,2.25886168436773e-07
