year,menaçant_VERB en_ADP,menaçant_VERB dans_ADP
1800,1.5720821977538435e-08,1.5720821977538435e-08
1801,6.905429472681135e-08,3.095537337571841e-08
1802,6.489736392722989e-08,3.1329761895904085e-08
1803,1.950339267864365e-08,2.3404069793286908e-08
1804,2.4718509905596875e-08,9.887403784603066e-09
1805,6.538618890772341e-08,1.1371510844071508e-08
1806,3.7461699520235925e-08,1.152667650217154e-08
1807,1.4234775136401367e-08,1.7081731584767113e-08
1808,2.2660739062985158e-08,2.2660739951163578e-09
1809,4.292158095609011e-08,1.129515236897305e-08
1810,1.8721014072298203e-08,4.680253518074551e-09
1811,5.0141537144554604e-08,0.0
1812,2.6672082320544632e-09,2.6672082320544632e-09
1813,0.0,0.0
1814,5.034683425719777e-08,6.922689976818219e-08
1815,5.394447111228828e-09,5.394447111228828e-09
1816,4.6352077731626196e-09,3.244645441213834e-08
1817,1.8682481339737933e-08,3.7364962679475866e-08
1818,1.668964877410417e-08,1.3113295338484932e-08
1819,2.6912729822470283e-08,3.519356894798875e-08
1820,1.779972080839798e-08,4.390598107306687e-08
1821,2.9584464655840748e-08,2.7612166775270452e-08
1822,4.0102463572111446e-08,3.709477880420309e-08
1823,1.581229902569703e-08,3.9530747564242574e-09
1824,2.0210670470532932e-08,2.5263338088166165e-08
1825,3.78634048558979e-08,4.9310479255382234e-08
1826,2.025836387531399e-08,2.6423952803611428e-08
1827,2.7651818612639545e-08,4.055600300034712e-08
1828,1.559291185060374e-08,4.769596628761974e-08
1829,7.715858174606183e-09,3.3435387791769244e-08
1830,4.905312778191728e-08,4.4878394334091354e-08
1831,3.897801548191637e-08,2.9623292263636358e-08
1832,1.8941957335982806e-08,4.6001897402447867e-08
1833,2.4325620628928846e-08,4.054269808762001e-08
1834,2.7070139907436896e-08,4.0138484536100805e-08
1835,3.1764969321557146e-08,4.689114518896531e-08
1836,4.704525125021064e-08,4.166864897570122e-08
1837,1.7394727436226276e-08,2.435261770017405e-08
1838,1.9567702125300457e-08,2.9667161172142187e-08
1839,1.957613093850341e-08,1.1885507689157748e-08
1840,2.4841785517537573e-08,2.93005673057678e-08
1841,2.632424944692957e-08,3.0818632978935057e-08
1842,3.085801836277824e-08,2.817471411731276e-08
1843,3.5441466650354414e-08,2.658109998776581e-08
1844,5.4885614275690386e-08,4.281077892187568e-08
1845,4.296775557577348e-08,1.7298706467272496e-08
1846,3.922516000898213e-08,4.2152407786488766e-08
1847,3.9909856752728956e-08,2.480882876909618e-08
1848,2.172209789819135e-08,5.309846429213394e-08
1849,4.022119171054328e-08,6.452149392544015e-08
1850,3.2587180953669304e-08,4.073397619208663e-08
1851,4.385618268543112e-08,2.0638204034639784e-08
1852,2.7344290387532055e-08,2.018269107395554e-08
1853,2.388772735173461e-08,3.523439673358553e-08
1854,1.8704392701351935e-08,2.0263090760863633e-08
1855,4.7231740296638236e-08,3.874064091746732e-08
1856,3.209857268871019e-08,5.487820686767009e-08
1857,2.6848299583548396e-08,3.368241152656992e-08
1858,6.019221387987272e-08,2.7404585267731818e-08
1859,2.49516496353408e-08,3.6154432336843456e-08
1860,2.9751696217772405e-08,4.073693560258107e-08
1861,4.0557289082698844e-08,5.611996911625283e-08
1862,2.2138133104476765e-08,5.963742211179124e-08
1863,3.1965573299430616e-08,4.545104914654985e-08
1864,2.8768367243969806e-08,4.554991406280351e-08
1865,2.9653119071326728e-08,4.6127073716206723e-08
1866,2.092213513549268e-08,4.525020003143254e-08
1867,1.455843445796745e-08,4.2219461704462447e-08
1868,1.0373735648272486e-08,3.1615194018286275e-08
1869,2.539429999615095e-08,4.248661511496721e-08
1870,2.3509599600401998e-08,6.880858904878551e-08
1871,3.717412155879174e-08,4.5671061599250606e-08
1872,2.660829245826335e-08,3.9912439575573444e-08
1873,3.292302608315367e-08,2.993002112816612e-08
1874,3.943242177228967e-08,5.197910013521323e-08
1875,3.032409523484603e-08,5.263805036292979e-08
1876,2.478866001354163e-08,5.8646342893098335e-08
1877,2.9068635498674666e-08,4.143826615177204e-08
1878,1.8117265909722846e-08,1.9928991790152395e-08
1879,2.5659165459046562e-08,3.9099681714560575e-08
1880,2.888030792291829e-08,3.2089232604448625e-08
1881,2.719277958362909e-08,5.299105865219644e-08
1882,2.6621540527571597e-08,5.723631346654656e-08
1883,1.64302811356265e-08,4.802697617378726e-08
1884,1.9805090900604227e-08,1.8484751507230612e-08
1885,1.6758653131887513e-08,2.1915161241281567e-08
1886,2.710454793941608e-08,4.1947515683204983e-08
1887,2.546280519766242e-08,6.8553710264041e-08
1888,2.7264643875923866e-08,2.53624587998047e-08
1889,2.944614330147033e-08,2.5687061366852504e-08
1890,2.2940351840361473e-08,1.7041404731799048e-08
1891,1.3385862196457765e-08,3.824532157636895e-08
1892,3.447681962143179e-08,2.005923960268774e-08
1893,2.0938616174248637e-08,2.7097032173628577e-08
1894,1.5123694296903523e-08,3.150769600779313e-08
1895,1.9861428057765806e-08,3.49079627426363e-08
1896,1.8280790214930676e-08,4.1868904787634165e-08
1897,2.0393496669157685e-08,2.7968225069230357e-08
1898,1.810673566637888e-08,1.9238406423482957e-08
1899,3.205995469102163e-08,3.758753308602536e-08
1900,1.557315876254961e-08,3.73755817406618e-08
1901,1.5089595351014395e-08,2.794369535763508e-08
1902,2.1605249145295602e-08,2.356936334990678e-08
1903,2.2680925582108102e-08,3.6181475593366486e-08
1904,4.03096898082822e-08,1.666133897515465e-08
1905,1.5998352864698973e-08,2.9416327151920996e-08
1906,2.9321851613417493e-08,2.2634411678268407e-08
1907,1.3885677496716653e-08,2.5714216533856415e-08
1908,3.094175227147389e-08,3.487086175368859e-08
1909,1.4302557360679202e-08,2.7504917454734823e-08
1910,1.0153886620400954e-08,2.8858414324872683e-08
1911,1.3832972989291648e-08,2.979409430281521e-08
1912,1.927485904218429e-08,2.3963337980603683e-08
1913,1.856046338843953e-08,3.8711824856818566e-08
1914,2.8795998474606677e-08,2.1429579888376793e-08
1915,4.123266705846618e-08,2.9451904026700504e-08
1916,2.5271162940043723e-08,2.307367097387214e-08
1917,2.9609346086090227e-08,5.04455535121906e-08
1918,3.331049214239101e-08,3.2161853624756986e-08
1919,3.222746869369075e-08,4.880159565345821e-08
