year,disant_VERB en_ADP,disant_VERB dans_ADP
1800,1.1004575384276905e-07,1.477757365364596e-07
1801,2.0716288418043405e-07,1.0715321963061797e-07
1802,2.64065135979763e-07,1.0741632650024258e-07
1803,1.7162984988772223e-07,2.9255089017965474e-08
1804,1.5572661093976592e-07,9.145848167690929e-08
1805,2.388017246168772e-07,7.107194477384837e-08
1806,1.181484350354367e-07,9.221341201737232e-08
1807,1.395007984683616e-07,1.4519470425966574e-07
1808,1.948823609154715e-07,9.517511045942229e-08
1809,2.0557178004310117e-07,7.680704072754452e-08
1810,1.8955026348521642e-07,9.828532654410083e-08
1811,2.3065106802278024e-07,1.278609147448151e-07
1812,1.0668833283489221e-07,4.267533171287141e-08
1813,1.1502966401621961e-07,1.7542024011163448e-07
1814,1.0069366851439554e-07,6.293354459785405e-08
1815,1.1328339155625144e-07,9.440282155992463e-08
1816,2.0394914201915526e-07,1.2515060632267705e-07
1817,2.226328996712823e-07,1.3856173097792635e-07
1818,1.287487094714379e-07,1.6212801767778728e-07
1819,2.722326026827204e-07,1.480200211290139e-07
1820,2.2190319270976033e-07,1.0323838495196469e-07
1821,2.0511895426622573e-07,1.7257605122722453e-07
1822,3.0778640791595535e-07,1.2933044502005941e-07
1823,2.2137219313211887e-07,1.0574474629265751e-07
1824,3.4105507396020585e-07,8.926379280183028e-08
1825,2.817741744376434e-07,1.0390422744421812e-07
1826,4.3071044331099984e-07,1.1186140369545683e-07
1827,2.0370173814399095e-07,1.7328473234101693e-07
1828,1.733564971573287e-07,1.467568182533796e-07
1829,2.3061843990035413e-07,1.3974276669159735e-07
1830,1.6803305413759517e-07,1.3672254794983019e-07
1831,3.0091027269918413e-07,1.2317052267007966e-07
1832,1.6371262312464552e-07,1.0688675899928057e-07
1833,2.1545548856138907e-07,9.846084481068829e-08
1834,2.837697354873825e-07,8.401077877806529e-08
1835,3.1008659107101266e-07,1.2479094380069e-07
1836,3.864431203370877e-07,1.0282747808787462e-07
1837,3.5137349563285625e-07,1.1132625843401911e-07
1838,3.187641859359047e-07,1.4896701827638026e-07
1839,2.1673572447866718e-07,1.2654570014092315e-07
1840,1.8089915554408975e-07,1.3694830158783589e-07
1841,1.9004824025614653e-07,1.7463892731939268e-07
1842,1.891730772030087e-07,1.2410289684794407e-07
1843,1.9965359854268172e-07,1.2640789748274983e-07
1844,2.4204555870710465e-07,9.275668588770714e-08
1845,2.2320911341466854e-07,1.6573277150655485e-07
1846,2.8160150122857885e-07,1.469479826710085e-07
1847,2.604926940819041e-07,1.4777432966184278e-07
1848,1.850400965230925e-07,1.4883660526265885e-07
1849,1.8015742697663484e-07,1.4161211936425389e-07
1850,1.8669738643950495e-07,1.6700930416391202e-07
1851,2.2186069759122518e-07,1.1222023488244304e-07
1852,1.738315615895658e-07,1.354193415181726e-07
1853,2.08420426472955e-07,1.4452075447479729e-07
1854,2.7952674752640405e-07,1.402829354901769e-07
1855,2.3775078972221309e-07,1.422259146011129e-07
1856,2.3711527052938663e-07,1.889674052790724e-07
1857,2.9630760001175815e-07,2.084404400193307e-07
1858,2.8285447006837217e-07,1.419166011373818e-07
1859,1.996131966386372e-07,1.1915685860230951e-07
1860,2.2290885323683618e-07,1.4509673462725914e-07
1861,2.475880975794098e-07,1.5421201737808587e-07
1862,1.7213528047399507e-07,1.572259265003595e-07
1863,2.2875362892804674e-07,1.773090332335414e-07
1864,2.670663583614896e-07,1.332934402853425e-07
1865,2.729969842407698e-07,1.4920696855824644e-07
1866,2.510656362808561e-07,1.3039841917361628e-07
1867,1.921713366215272e-07,1.674220015956962e-07
1868,3.033082798253872e-07,1.2695475959390023e-07
1869,2.759188335588192e-07,1.4797062419802387e-07
1870,1.8119594358267932e-07,1.2098843171770568e-07
1871,1.7949789810067784e-07,1.4975860551658116e-07
1872,2.3342729082997948e-07,1.705349745861895e-07
1873,1.8377033050853697e-07,1.9693955266575358e-07
1874,2.2524275822277673e-07,1.7147128517081e-07
1875,2.1570157571204618e-07,1.109976253133027e-07
1876,1.8198504458943887e-07,9.06902215547234e-08
1877,2.0471740747041167e-07,1.2184086983779707e-07
1878,2.0472511153002415e-07,9.66254205536643e-08
1879,2.7125403612160426e-07,1.6128618085531343e-07
1880,2.3489317491076633e-07,1.3028227385802893e-07
1881,1.6873468644540424e-07,1.3387214892190968e-07
1882,1.956683171044915e-07,1.2179354769159545e-07
1883,1.819969575045377e-07,1.1501197150209919e-07
1884,1.92109381735861e-07,1.2609241650807235e-07
1885,1.7596585349943794e-07,1.2440077057362942e-07
1886,1.9489461178245904e-07,1.1487165352264128e-07
1887,1.3188427305799166e-07,1.0707436359780331e-07
1888,2.035337267614068e-07,8.496423475889969e-08
1889,1.9797832173651386e-07,9.773613385277713e-08
1890,2.0842949410848632e-07,1.2518877667844208e-07
1891,1.7847816202731792e-07,1.338586201882208e-07
1892,1.7739889801582365e-07,1.0781841552898186e-07
1893,1.976851680129954e-07,1.1824160139894957e-07
1894,1.4745601628618488e-07,1.0334524347399565e-07
1895,1.8778077381931269e-07,1.2940020610585634e-07
1896,1.3091404449383504e-07,1.2265820714674192e-07
1897,1.0546351703055734e-07,1.1478626049665763e-07
1898,1.833307038401344e-07,9.845537363162293e-08
1899,1.7467147372940417e-07,8.788849470420246e-08
1900,1.640372744304841e-07,1.0434016672888902e-07
1901,1.693387869927676e-07,1.0171504527534125e-07
1902,1.6400348457068503e-07,9.6732591714499e-08
1903,1.3554553390804358e-07,7.93832413137352e-08
1904,1.2630369283783693e-07,1.0856742704845601e-07
1905,1.439851735618447e-07,8.618467717269596e-08
1906,1.8621948016939172e-07,9.156648417274482e-08
1907,1.7537095287067928e-07,9.617117058269287e-08
1908,1.7337203406242452e-07,7.907336652124286e-08
1909,1.804322588006002e-07,1.0011790152475442e-07
1910,1.4589530938913242e-07,1.2131222604239156e-07
1911,1.6546363834635258e-07,9.417062329930559e-08
1912,1.448219115185445e-07,8.9081105159039e-08
1913,1.7181687073097862e-07,1.0181740606185485e-07
1914,1.4799804315401843e-07,7.232483056895944e-08
1915,1.4843760709482012e-07,1.2251992131950828e-07
1916,1.6810817271561973e-07,7.801097723358907e-08
1917,1.3159709144616727e-07,7.347504293875318e-08
1918,2.2513297892601258e-07,9.074237539152818e-08
1919,1.5285028986955496e-07,1.114149625891514e-07
1920,1.6053130780235847e-07,8.85951081386338e-08
1921,1.5145494636215062e-07,7.497020249047637e-08
1922,1.910885260580919e-07,9.22241909506738e-08
1923,1.5393124197515817e-07,8.386599148479945e-08
1924,1.4825368654936e-07,7.60605871619191e-08
1925,1.440761365767429e-07,7.808706214973427e-08
1926,1.7610898339626146e-07,8.136681373116517e-08
1927,1.5831899391471893e-07,1.1149224832252003e-07
1928,1.5882197934580233e-07,1.028343703524115e-07
1929,1.604218522466283e-07,5.570203143179242e-08
1930,1.691080200316719e-07,7.037414206934045e-08
1931,1.8248571098666844e-07,7.755642172924126e-08
1932,1.4904969536377877e-07,6.904507898752854e-08
1933,1.3879501947755557e-07,9.864769623391112e-08
1934,1.3898633710596187e-07,7.188948103475923e-08
1935,1.4960355443349727e-07,9.215578700150218e-08
1936,1.4185916086262296e-07,9.699771652549316e-08
1937,1.1080184236789137e-07,6.295559273894469e-08
1938,1.1409388411820487e-07,6.741911562357927e-08
1939,1.2235240376412548e-07,3.5176316970364496e-08
1940,2.992223906428393e-07,7.100192078723921e-08
1941,1.5642964434903206e-07,7.969057236323351e-08
1942,2.0025797198286455e-07,5.461581054078124e-08
1943,1.451617634984359e-07,8.419382169222445e-08
