year,arrivant_VERB en_ADP,arrivant_VERB dans_ADP
1800,4.0874138296231877e-07,8.394918964427234e-07
1801,2.5716771046013776e-07,9.57235454679406e-07
1802,3.938598638342228e-07,7.810062356838898e-07
1803,3.5106106111015833e-07,9.283614827992892e-07
1804,4.3998946352985513e-07,7.835767519281944e-07
1805,4.406460334394069e-07,1.0120644446942606e-06
1806,3.4003696214313095e-07,9.048441143022501e-07
1807,4.6974759015938616e-07,9.281073687361641e-07
1808,2.8552531716741214e-07,5.846470796377901e-07
1809,4.856915438722353e-07,7.951787699411739e-07
1810,4.2356295670842314e-07,1.0530570730971078e-06
1811,2.807925909564801e-07,9.326325720593331e-07
1812,3.787435787216964e-07,1.0002030421674135e-06
1813,3.0482860324809735e-07,8.914799185522071e-07
1814,4.405347908686963e-07,1.0793103069062226e-06
1815,5.421419473350397e-07,8.415337333644857e-07
1816,6.188002430462802e-07,8.459254399184601e-07
1817,3.3628464457535756e-07,6.570005552930525e-07
1818,5.436057097796265e-07,9.143543024947576e-07
1819,4.585515060995249e-07,7.732234484914002e-07
1820,4.758458942433208e-07,9.552517212796374e-07
1821,5.295619303069543e-07,8.707694421072887e-07
1822,5.524114214949805e-07,9.584489220060277e-07
1823,5.237824215464926e-07,8.746177737606331e-07
1824,3.621078450422033e-07,1.0324284707152742e-06
1825,4.279445420252159e-07,9.342575140180998e-07
1826,4.2190245608253463e-07,8.711096399771634e-07
1827,3.5855191526934505e-07,8.590498623561871e-07
1828,3.8615388575635734e-07,8.869615477635762e-07
1829,4.3723198150935616e-07,8.830371180934549e-07
1830,5.030554861562564e-07,9.372278499952813e-07
1831,2.868782007503512e-07,7.4681878814431e-07
1832,3.9372210514088124e-07,7.671492650018763e-07
1833,3.880515541121454e-07,8.826724986477075e-07
1834,3.9858446032603467e-07,8.027696754009384e-07
1835,3.5546511867323716e-07,7.00341921344716e-07
1836,4.3147214956462676e-07,7.809511561873705e-07
1837,4.3417240114251854e-07,8.426005813078064e-07
1838,4.3680159667047747e-07,9.241004761406657e-07
1839,3.8383199552072256e-07,9.725141731919962e-07
1840,4.229473287153951e-07,9.10228503236965e-07
1841,4.1926180749385367e-07,7.434995059618643e-07
1842,4.2530399113616113e-07,9.545861399118394e-07
1843,4.058048022059779e-07,9.073015450056232e-07
1844,3.6718475993069433e-07,8.644484075226444e-07
1845,3.3090750584108264e-07,8.147132849467553e-07
1846,3.518555189430117e-07,8.992513969019456e-07
1847,4.2498601349194587e-07,8.154554427264316e-07
1848,4.0145656754475567e-07,7.755593460223587e-07
1849,2.9411747792806864e-07,7.507956070185173e-07
1850,3.5506448536892776e-07,7.393216856499407e-07
1851,3.3601576721054016e-07,8.119843548648475e-07
1852,4.1993017152464063e-07,8.118650374200342e-07
1853,4.6760225025366253e-07,8.169602931928921e-07
1854,4.3695537987886723e-07,8.068866828025989e-07
1855,3.974895932401523e-07,7.127216612445864e-07
1856,4.4679141630865615e-07,7.625999582927534e-07
1857,4.813167997497203e-07,8.132593993792625e-07
1858,4.428776907428045e-07,8.17243917816679e-07
1859,4.3996376675181637e-07,9.15063559148166e-07
1860,4.970821816385751e-07,8.426595403676629e-07
1861,4.3386865566930055e-07,8.30952825658926e-07
1862,3.4833674800172076e-07,6.605295874706485e-07
1863,3.820884835192828e-07,7.981403853385416e-07
1864,3.902908671804539e-07,7.172912914743534e-07
1865,3.8125439116853954e-07,7.827481902644706e-07
1866,4.85588151022398e-07,8.193692189184532e-07
1867,4.619876499134534e-07,7.31318701596706e-07
1868,4.149494156058253e-07,7.706203390966948e-07
1869,3.6382218315811343e-07,7.691542744936442e-07
1870,4.43241981340492e-07,8.107945053126286e-07
1871,4.2697134006175474e-07,7.647247426412207e-07
1872,4.6987825896849245e-07,7.262854584411116e-07
1873,4.142315015442932e-07,7.943427959844485e-07
1874,5.072443354237066e-07,8.477970458997675e-07
1875,4.439904968123187e-07,6.551148459266187e-07
1876,4.679615441816054e-07,6.946870882984513e-07
1877,4.1438265896420745e-07,7.959858021600041e-07
1878,4.16093218325031e-07,8.315825277271927e-07
1879,4.215434566967602e-07,6.029903998339137e-07
1880,3.9854825062413113e-07,8.086486547043137e-07
1881,4.622772462603564e-07,7.572143465583991e-07
1882,4.3260003312894924e-07,7.300957665101748e-07
1883,4.1644444692678917e-07,7.943408864008461e-07
1884,4.693806499034281e-07,6.91857818146957e-07
1885,3.9705115839616667e-07,7.335133451746856e-07
1886,3.872078256916822e-07,6.931020175571234e-07
1887,4.1001646566840577e-07,6.97942018401676e-07
1888,5.211985198982916e-07,7.044422822843899e-07
1889,4.448247015176321e-07,7.273823525721923e-07
1890,4.94200753209384e-07,8.127439508065493e-07
1891,5.405338803221582e-07,7.425966592755628e-07
1892,5.215402074654207e-07,7.710270231164884e-07
1893,4.5510697166406544e-07,7.778079984532837e-07
1894,4.3165544671985856e-07,7.152246843666887e-07
1895,4.550072656428483e-07,7.432988926581174e-07
1896,4.1043320642142334e-07,8.025856355065031e-07
1897,3.5426417310802094e-07,7.545594244984244e-07
1898,4.204157808551656e-07,7.684045679745566e-07
1899,3.8306117922104477e-07,6.295912058362774e-07
1900,3.4468593401726366e-07,6.613401488664294e-07
1901,4.1300779374253693e-07,5.778755971519445e-07
1902,6.54540838418427e-07,9.835298351301702e-07
1903,3.7531530550083403e-07,6.831278573926625e-07
1904,4.159959843264005e-07,6.428051451123906e-07
1905,4.4692174316907085e-07,6.626414705834804e-07
1906,4.038184870935879e-07,5.720332962866337e-07
1907,3.836561166536967e-07,5.687984678814928e-07
1908,3.816149209967534e-07,5.94769208106527e-07
1909,4.4392936704440444e-07,6.161101389068335e-07
1910,3.650054942738734e-07,6.199214563906708e-07
1911,3.963678709695273e-07,5.964139537795177e-07
1912,3.453846346701539e-07,6.876435802993797e-07
1913,3.7651227469126525e-07,5.981772202012792e-07
1914,4.506908428680845e-07,6.08064308238454e-07
1915,4.3706625862949267e-07,6.043530791366436e-07
1916,4.845470877867797e-07,6.757288923964211e-07
1917,4.7484618903581577e-07,6.832082335428424e-07
1918,5.869538384217776e-07,5.961429376810656e-07
1919,4.972238167866294e-07,5.184018903037213e-07
1920,5.035534229591576e-07,5.452007041384377e-07
1921,3.809091910778051e-07,5.035877013170875e-07
1922,3.984085266139914e-07,5.570341166105663e-07
1923,3.7261978391711637e-07,5.860003193802754e-07
1924,3.867487290420968e-07,4.460502038838854e-07
1925,3.948345919102536e-07,5.070159998510348e-07
1926,3.87885618735595e-07,5.205246766948335e-07
1927,3.72384118652036e-07,5.396224898035484e-07
1928,3.48494263668897e-07,4.856067645775397e-07
1929,3.8100191179779586e-07,5.815292052346877e-07
1930,3.8443188099535064e-07,4.989211719319542e-07
1931,3.7865783930612906e-07,5.235058928576564e-07
1932,3.770080629905692e-07,4.6906816475456026e-07
1933,4.4850289748765704e-07,5.127385982461874e-07
1934,3.522584606230339e-07,5.439637593696034e-07
