year,furent_VERB à_ADP,furent_VERB a_ADP,furent_VERB bas_ADJ
1800,1.603523855919775e-06,3.144164484325529e-09,0.0
1801,1.6692090412107063e-06,1.1905913144261149e-08,0.0
1802,1.6380989791286993e-06,6.713520406265161e-09,0.0
1803,1.5017611758594285e-06,1.1702035340732664e-08,0.0
1804,1.1790729104177444e-06,7.4155528384522995e-09,0.0
1805,1.4328103361549438e-06,2.842877711017877e-09,0.0
1806,1.2448811048670905e-06,1.4408345627714425e-08,0.0
1807,1.4434062904911116e-06,2.8469551160981155e-09,0.0
1808,1.6519679775228724e-06,1.8128591960930862e-08,0.0
1809,1.8004473076871363e-06,9.036122294858728e-09,0.0
1810,1.471939754082996e-06,7.020380277111826e-09,0.0
1811,1.6521636325705913e-06,2.757784489659798e-08,0.0
1812,1.2695911664195592e-06,1.8670457180292033e-08,0.0
1813,1.420616399627761e-06,2.0130191291656274e-08,0.0
1814,1.7464058146288153e-06,7.237357380063258e-08,0.0
1815,1.7154342231151531e-06,1.618334155573109e-08,0.0
1816,1.6964860378720914e-06,3.476405829871965e-08,0.0
1817,1.4868140851831413e-06,3.113746738225842e-08,0.0
1818,1.7154574152300484e-06,1.3113294672351117e-08,0.0
1819,1.8642241457200726e-06,1.5526575580793178e-08,1.035105001712111e-09
1820,1.9971287201769883e-06,1.3053129244156025e-08,0.0
1821,1.8253614371133153e-06,7.889190523080458e-09,0.0
1822,2.1324485715012997e-06,6.015369535816717e-09,0.0
1823,2.3194666027848143e-06,1.0870955913233615e-08,6.917880934764753e-09
1824,2.9061259283480467e-06,4.6316119828304636e-08,0.0
1825,2.366903117945185e-06,1.937197513512956e-08,0.0
1826,3.0273042739281664e-06,1.3211976734872621e-08,0.0
1827,2.649966063472675e-06,1.1060727833633877e-08,0.0
1828,2.236207137684687e-06,2.659967268670016e-08,0.0
1829,1.7086340449168347e-06,1.4574399131994653e-08,0.0
1830,1.8588004877528874e-06,6.157733123401954e-08,0.0
1831,1.5107879107745248e-06,1.4032085271509231e-08,0.0
1832,1.355702920591284e-06,1.488296597074168e-08,0.0
1833,1.8545389366408926e-06,1.5058717495186613e-08,0.0
1834,1.9546507701306837e-06,1.2134890647885754e-08,0.0
1835,2.3385068743664306e-06,2.7227116561334697e-08,0.0
1836,2.974604058181285e-06,3.2931675331138166e-08,0.0
1837,2.2919293769518845e-06,1.4611571286238245e-08,0.0
1838,2.9338928015931742e-06,2.9667161172142187e-08,0.0
1839,2.177145461246255e-06,4.684288257283953e-08,0.0
1840,1.8733254592007142e-06,5.541629177763241e-08,0.0
1841,1.8613170595926931e-06,1.6693426196923156e-08,0.0
1842,1.8742892962109181e-06,1.2074877542289641e-08,0.0
1843,1.5511548099311767e-06,1.1813822142769936e-08,0.0
1844,1.5614956510034972e-06,2.03076760407761e-08,5.488561272137815e-10
1845,1.5423750028276118e-06,1.3392546627244428e-08,0.0
1846,1.5502719179494306e-06,2.1076204115288988e-08,0.0
1847,1.5311361494241282e-06,2.3190861675459473e-08,0.0
1848,1.4730801467521815e-06,1.367687652020777e-08,0.0
1849,1.406903720635455e-06,2.0948537349241292e-08,0.0
1850,1.6198544017242966e-06,2.647708541303473e-08,0.0
1851,1.4685372207168257e-06,2.2573035218798054e-08,0.0
1852,1.2929942840855801e-06,1.3672145193766028e-08,0.0
1853,1.4213197800927446e-06,3.3442819624696085e-08,0.0
1854,1.7275584696108126e-06,7.689583353398532e-08,4.1565315633818045e-09
1855,1.4249126252252609e-06,1.8574279891936385e-08,0.0
1856,1.3124174529366428e-06,2.1744194111938953e-08,0.0
1857,1.7549025415064534e-06,2.147863942258965e-08,4.881509085841174e-10
1858,1.3937188896306907e-06,3.0340791878913365e-08,4.893676019968041e-10
1859,1.413078052792116e-06,2.647930097410267e-08,1.018434669930457e-09
1860,1.5978948795236647e-06,1.6020143822625954e-08,0.0
1861,1.3784762131763273e-06,3.254014968590013e-08,0.0
1862,1.3992203093948774e-06,1.2650361702615243e-08,4.517986262886353e-10
1863,1.4239664096749038e-06,1.2486552236623538e-08,0.0
1864,1.4101294709689682e-06,3.0206784629172034e-08,0.0
1865,1.3861656498193042e-06,1.647395531101381e-08,0.0
1866,1.4003234127812902e-06,2.432806489593986e-08,0.0
1867,1.3481110272550723e-06,3.008743121313273e-08,0.0
1868,1.3718030231757439e-06,2.1735446775750233e-08,0.0
1869,1.3092715107632102e-06,1.90457244420017e-08,0.0
1870,1.4587419627787312e-06,2.2362789842134134e-08,0.0
1871,1.2904730510854279e-06,4.35468270332251e-08,0.0
1872,1.3793980997434119e-06,3.265563275345329e-08,0.0
1873,1.3408649692792096e-06,3.172582285770886e-08,5.986004469882289e-10
1874,1.3950711945653893e-06,1.2546678807012768e-08,0.0
1875,1.3800323586110608e-06,2.002534571499126e-08,0.0
1876,1.3881649465474766e-06,1.3905833595728723e-08,0.0
1877,1.394676019117469e-06,2.9068634499473944e-08,0.0
1878,1.410731101714191e-06,4.227362238040655e-08,0.0
1879,1.5988103996278369e-06,3.726688435623515e-08,0.0
1880,1.1404513315937947e-06,2.2462462556660512e-08,0.0
1881,1.3150149698049063e-06,2.37065260755287e-08,0.0
1882,1.0921487501036609e-06,2.861815540100565e-08,0.0
1883,1.267027414542099e-06,3.8547967762259105e-08,1.2638677882037541e-09
1884,1.191606315842364e-06,3.300848483434038e-08,3.300848483434038e-09
1885,1.2291827715671388e-06,4.963139632607749e-08,0.0
1886,1.1622688589341124e-06,6.130790708436251e-08,0.0
1887,1.0472394933458418e-06,3.656197755663726e-08,0.0
1888,1.1495534408823005e-06,3.106901136362694e-08,0.0
1889,1.1089291547250468e-06,5.200063668553412e-08,0.0
1890,9.543186934024561e-07,2.294035211791723e-08,0.0
1891,9.758930445968872e-07,4.716922674674606e-08,0.0
1892,1.187256202683784e-06,2.4447199153954102e-08,0.0
1893,9.705664751891163e-07,5.665743163518755e-08,0.0
1894,1.0989884913215064e-06,3.087754318897851e-08,6.301539290376468e-10
1895,1.221176830767945e-06,4.694519462056235e-08,1.2037228991346183e-09
1896,1.1245634823353612e-06,2.4767522144308884e-08,2.948514543632541e-09
1897,9.643210887588793e-07,2.2141510847006884e-08,0.0
1898,1.0507565093575977e-06,2.716010383263523e-08,1.13167097914868e-09
1899,9.772758176040952e-07,2.7637891975018647e-08,5.527578395003729e-10
1900,1.0584557230686187e-06,3.789468627779513e-08,1.5573159428683425e-09
