year,beaucoup_ADV été_VERB,beaucoup_ADV fêté_VERB
1800,4.087413785214267e-08,1.8864987794131594e-08
1801,0.0,0.0
1802,2.0140561218795483e-08,0.0
1803,2.9255089017965474e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,8.06867319624871e-08,0.0
1807,5.693910054560547e-08,0.0
1808,2.2660739951163578e-09,9.064295980465431e-09
1809,5.421673421324158e-08,0.0
1810,3.042164919975221e-08,0.0
1811,1.0028307073639553e-08,5.0141535368197765e-09
1812,2.6672082320544632e-09,0.0
1813,2.8757416448144113e-09,0.0
1814,3.4613449884091096e-08,0.0
1815,3.506390555685357e-08,0.0
1816,2.0858434979231788e-08,0.0
1817,1.0898113522728181e-08,0.0
1818,1.3113295338484932e-08,1.3113295338484932e-08
1819,1.2421260464634543e-08,3.1053151161586356e-09
1820,3.678609061807947e-08,0.0
1821,1.4792232327920374e-08,0.0
1822,3.0076847679083585e-09,1.0025615893027862e-09
1823,1.581229902569703e-08,0.0
1824,4.210556348027694e-09,0.0
1825,6.163809906922779e-09,0.0
1826,1.145037931138404e-08,0.0
1827,2.7651818612639545e-09,0.0
1828,5.319934714975716e-08,0.0
1829,2.914879893012312e-08,1.714635211591542e-09
1830,2.6092090266160994e-08,1.5655253093882493e-08
1831,2.3386808933878456e-08,0.0
1832,3.2471927369215337e-08,1.3529969367098715e-09
1833,5.6759780875381693e-08,3.4750886612755494e-09
1834,5.600718555598405e-09,0.0
1835,2.0420337421001022e-08,0.0
1836,2.419469957715137e-08,0.0
1837,3.339787468803479e-08,0.0
1838,2.5248647617104325e-08,0.0
1839,1.3982949909063791e-08,0.0
1840,1.7198159341091923e-08,0.0
1841,1.219904177673925e-08,6.420548537278137e-10
1842,1.9453969102301016e-08,0.0
1843,2.008349753168659e-08,1.7720733769266417e-09
1844,1.701453911095996e-08,0.0
1845,1.6182660544927785e-08,0.0
1846,6.439951683034906e-09,0.0
1847,1.0786447290911383e-08,8.089835468183537e-09
1848,5.63165514222419e-09,7.24069959545659e-09
1849,1.256912263158938e-08,0.0
1850,2.647708541303473e-08,0.0
1851,1.9348316726564008e-08,0.0
1852,9.114764054629632e-09,0.0
1853,2.508211416341055e-08,5.971931837933653e-10
1854,6.754363734984281e-09,0.0
1855,2.2289135870323662e-08,2.1227748447927297e-09
1856,2.2779632402603056e-08,4.141751386299575e-09
1857,1.6597130780837688e-08,4.881509085841174e-10
1858,2.1532175153993194e-08,0.0
1859,2.3933214521321133e-08,9.165912473463322e-09
1860,2.6089947979812678e-08,0.0
1861,1.9807048445841247e-08,4.715963730639317e-10
1862,1.2650361647104091e-08,9.035972525772706e-10
1863,1.2986014041871385e-08,4.994620828036034e-10
1864,8.151037178549814e-09,8.63051052846231e-09
1865,2.8241066374334878e-08,0.0
1866,2.238181906477621e-08,2.432806400776144e-09
1867,3.154327288257264e-08,9.7056229719783e-10
1868,3.013323279787983e-08,3.951899252285784e-09
1869,1.12320943657096e-08,4.395167341186834e-09
1870,1.204150201772336e-08,0.0
1871,9.559059321873065e-09,5.3105884134652115e-09
1872,1.814201766592305e-08,1.2094678591978436e-09
1873,1.3169209722718733e-08,3.591602570907071e-09
1874,2.6885741633009275e-08,0.0
1875,1.2587359599081083e-08,2.2886108563824337e-09
1876,2.6602464231473277e-08,9.069021977836655e-09
1877,1.855444864418132e-08,6.184815992682502e-10
1878,1.3285995414946683e-08,3.0195443923020093e-09
1879,2.443730195977878e-08,1.221865053580018e-09
1880,3.786529134686134e-08,1.9253538763308597e-09
1881,3.2073533162702006e-08,6.972507571312292e-10
1882,1.6638463051776853e-08,3.3276925659464496e-09
1883,1.0742875922176154e-08,1.0110942305630033e-08
1884,1.8484751507230612e-08,5.941527270181268e-09
1885,2.707166935067562e-08,6.445635691854079e-10
1886,2.774989482645651e-08,2.5813855497602844e-09
1887,7.834709769838355e-09,1.9586774424595887e-09
1888,2.789870379160675e-08,3.1703073499755874e-09
1889,2.0048437576747347e-08,1.2530273485467092e-09
1890,2.4251230357208442e-08,3.9326319978272295e-09
1891,3.250852387282066e-08,0.0
1892,1.8805536683430546e-08,1.8805537127519756e-09
1893,1.6011883374744684e-08,6.15841644346915e-09
1894,7.561847148451761e-09,0.0
1895,2.1065151400989635e-08,1.2037228991346183e-09
1896,2.889544248318998e-08,3.5382172747233653e-09
1897,1.3984112534615178e-08,2.9133566670225264e-09
1898,2.8291774256672397e-08,1.6975064687230201e-09
1899,3.979856444402685e-08,4.9748205555033564e-09
1900,2.387884379118077e-08,5.191053142894475e-10
1901,4.079779358789892e-08,1.1177477832191585e-09
1902,1.6694965410124496e-08,6.874397495693074e-09
1903,2.2680925582108102e-08,1.6200660812870638e-09
1904,1.9348650681649815e-08,1.6123875568041512e-09
1905,2.0126959654476195e-08,1.5482277682110634e-09
1906,1.9033482345776065e-08,5.144184522798412e-10
1907,1.542852956504248e-08,0.0
1908,2.9468335327464956e-08,2.9468334439286537e-09
1909,3.245580160182726e-08,3.300590023513905e-09
1910,2.672075360976578e-08,2.137660271017694e-09
1911,2.553779587799454e-08,1.5961122423746588e-09
1912,1.4586379215586476e-08,5.209421227725386e-10
1913,2.9166443482608884e-08,0.0
1914,1.2723813114234872e-08,6.696743715117748e-10
1915,3.7698438148936475e-08,0.0
1916,3.5159878564172686e-08,0.0
1917,2.7416060532914344e-08,0.0
1918,2.6418664589300533e-08,0.0
1919,2.301962176431971e-08,1.2890987832747669e-08
1920,1.9687803387569147e-08,3.786115865267448e-09
1921,2.196096815509918e-08,0.0
1922,1.623145884366295e-08,2.951174193910333e-09
1923,1.8047112249064412e-08,0.0
1924,3.0939897754933554e-08,2.578324886925998e-09
1925,1.8696901804560184e-08,1.0998177923937646e-09
1926,1.671920735191179e-08,1.1146138456652466e-09
1927,1.3379070296082318e-08,3.3447675740205796e-09
1928,2.5137291359556002e-08,2.2852082448565625e-09
1929,4.233354289340241e-08,0.0
1930,2.2057568216382606e-08,0.0
1931,2.167017854048936e-08,0.0
1932,2.520693342944469e-08,2.1919073223131136e-09
1933,2.408838994938378e-08,5.735331320977366e-09
1934,2.516131836216573e-08,2.3963160344919743e-09
1935,2.393656828303392e-08,3.590485242455088e-09
1936,3.031178508194898e-08,0.0
1937,1.3850230295986421e-08,0.0
1938,2.2040865133021725e-08,5.186085783037697e-09
1939,2.9058696782158222e-08,0.0
1940,1.7750480196809804e-08,0.0
1941,1.1806010391524069e-08,8.854508237732261e-09
1942,4.5513175450651033e-08,0.0
1943,2.9032351633873077e-08,0.0
1944,2.2492303131116387e-08,0.0
1945,1.5249527862692958e-08,2.178504043826024e-09
1946,2.7842208538686464e-08,0.0
1947,2.0265479960812627e-08,1.1920870957027319e-09
1948,1.7395020535104777e-08,1.0871887834440486e-09
1949,2.7487622844546422e-08,0.0
1950,2.1270722072586068e-08,4.2541445921528975e-09
1951,3.4116485636559446e-08,0.0
1952,4.323369751091377e-08,4.2179215675730575e-09
1953,1.8315507332999914e-08,0.0
1954,5.961246785091134e-08,0.0
1955,4.880516257799172e-08,3.754243138587299e-09
1956,4.0117249966442614e-08,0.0
1957,2.03205861026845e-08,0.0
1958,3.4743422361316334e-08,0.0
1959,4.4954337141689393e-08,7.750747821333448e-10
1960,4.498541628095154e-08,2.7683333403416555e-09
1961,3.543561177821175e-08,6.948159270159238e-10
1962,3.99543260698465e-08,1.9025869768540815e-09
1963,3.7503109950876024e-08,1.939815863494232e-09
1964,3.1636634645337836e-08,0.0
1965,3.009623839034248e-08,0.0
1966,3.932743197765376e-08,0.0
1967,4.289391952738697e-08,4.930335584241163e-10
1968,3.1439910230801615e-08,1.3474247273492779e-09
1969,2.679637134406221e-08,4.5417578031781147e-10
1970,4.598724956395017e-08,3.219107425067591e-09
1971,3.596878173084406e-08,1.0276794970565106e-09
1972,5.23274970021248e-08,1.1799337507056862e-08
1973,4.9067512719602746e-08,5.513203782392395e-10
1974,4.331690206527128e-08,5.625571675160757e-10
1975,5.9399393848025284e-08,2.2845920710778955e-09
1976,5.656391621755574e-08,1.142705374768127e-09
1977,5.876781727920388e-08,1.1753563677885381e-09
1978,4.930690877813504e-08,0.0
1979,5.969013017192992e-08,5.851973350345929e-10
1980,5.457744833847755e-08,1.1370301367108482e-09
1981,5.629739163737213e-08,1.2651099057237047e-09
1982,6.455802292748558e-08,1.2415004579935385e-09
1983,4.6101806816523094e-08,2.5261264191556165e-09
1984,6.842829947117934e-08,5.799008495621649e-10
1985,6.556957998782309e-08,6.015558051686298e-10
1986,9.171562709298087e-08,5.994485463567401e-10
1987,7.760737474882262e-08,0.0
1988,7.195864526465812e-08,1.798966087207532e-09
1989,8.012658270217798e-08,1.0976244357863152e-09
1990,7.573624571932669e-08,5.44865097484859e-10
1991,6.564840759892832e-08,1.1722930404189924e-09
1992,6.336436086940012e-08,5.509944167592096e-10
1993,5.982344220001323e-08,1.661762283333701e-09
1994,8.545381291469312e-08,0.0
1995,7.916778343997066e-08,3.253470381991974e-09
1996,8.701090337126516e-08,5.338092190498855e-10
1997,8.534912154800622e-08,4.79489448146353e-10
1998,7.247556510492359e-08,1.43043876743576e-09
1999,8.820488517358172e-08,9.140402323914998e-10
2000,9.05696424524649e-08,0.0
2001,1.0996841837140892e-07,4.3812117822561447e-10
2002,9.98918494587997e-08,3.066854992184176e-09
2003,1.0083953583261973e-07,8.333845835650777e-10
2004,1.1188169679599014e-07,8.809582507929292e-10
2005,1.0268549033298768e-07,0.0
2006,8.894642178347567e-08,0.0
2007,8.747910129613956e-08,1.1983438685803094e-09
2008,1.000498315306686e-07,1.7029758714315335e-09
2009,1.1252934228878075e-07,1.430457752249481e-09
2010,9.447585824773341e-08,1.4171379625338432e-09
2011,1.0133526018307748e-07,3.82397197240536e-10
2012,7.965951454025344e-08,1.7021263287730903e-09
2013,8.144245100538683e-08,2.789125042035323e-10
2014,7.319204797795464e-08,1.9489005964601347e-09
2015,7.713682492749285e-08,1.329945265027277e-09
2016,6.856135570387778e-08,1.86420612280358e-09
2017,9.005888301771847e-08,1.0062445321423752e-09
2018,9.267465372886363e-08,7.744400121190154e-10
2019,8.469279322298462e-08,7.65296326310505e-10
