year,leurs_DET arts_NOUN,leurs_DET bars_NOUN
1800,6.697070524808169e-07,0.0
1801,5.810085745849847e-07,0.0
1802,5.885519556159124e-07,0.0
1803,4.797834440850579e-07,0.0
1804,6.451530942808148e-07,0.0
1805,7.078765733581349e-07,0.0
1806,5.648071566000112e-07,0.0
1807,7.430552741993779e-07,0.0
1808,7.387401268488247e-07,0.0
1809,4.721373887406344e-07,2.259030518203531e-09
1810,3.9314130306777884e-07,0.0
1811,6.117267474792243e-07,0.0
1812,6.107906767027771e-07,0.0
1813,5.780240712738305e-07,0.0
1814,4.310947678831667e-07,0.0
1815,4.234641099998271e-07,0.0
1816,4.403447402268057e-07,0.0
1817,6.04066890730337e-07,0.0
1818,3.3379297725844026e-07,0.0
1819,5.247982581835231e-07,0.0
1820,6.111237560446625e-07,0.0
1821,4.4080853101036155e-07,0.0
1822,4.661911532366503e-07,0.0
1823,3.251403942750031e-07,0.0
1824,4.244240940920463e-07,0.0
1825,5.820398083500322e-07,0.0
1826,5.443334156751689e-07,0.0
1827,5.281497443831995e-07,0.0
1828,4.356843135155941e-07,0.0
1829,6.575626281812852e-07,0.0
1830,4.769634003309875e-07,0.0
1831,3.788663036630169e-07,0.0
1832,5.114328511801602e-07,0.0
1833,5.479056355284229e-07,0.0
1834,4.6579308410343856e-07,0.0
1835,3.5697774336540533e-07,7.563087933704082e-10
1836,3.884593628988853e-07,0.0
1837,4.606123740202861e-07,0.0
1838,3.017213447975564e-07,0.0
1839,2.740658295863341e-07,0.0
1840,3.293129053894006e-07,0.0
1841,4.0706278525703965e-07,0.0
1842,2.8174712429773763e-07,0.0
1843,4.1112101367701825e-07,0.0
1844,3.8255273260290323e-07,0.0
1845,2.6952499787569195e-07,0.0
1846,3.653208899834226e-07,0.0
1847,2.9932391143461246e-07,5.393223645455691e-10
1848,3.210043532653195e-07,0.0
1849,2.279200925769942e-07,0.0
1850,2.769910292244049e-07,0.0
1851,2.702314800817618e-07,0.0
1852,2.8776610538905345e-07,0.0
1853,2.974021926505088e-07,0.0
1854,2.317266301066212e-07,0.0
1855,2.589785346174267e-07,0.0
1856,2.0656985633138447e-07,0.0
1857,2.1332195121459563e-07,0.0
1858,2.437050765080606e-07,4.893676019968041e-10
1859,2.9789212807607157e-07,0.0
1860,2.0002293132925786e-07,0.0
1861,2.48531297430965e-07,0.0
1862,2.8553672315467793e-07,0.0
1863,2.3075148247730937e-07,0.0
1864,2.2535221533281913e-07,4.794727948009836e-10
1865,2.20280310436749e-07,0.0
1866,1.5034743816588758e-07,0.0
1867,2.3778775926075468e-07,0.0
1868,1.9067913648029844e-07,0.0
1869,1.7531834206607755e-07,0.0
1870,1.8578318261575077e-07,0.0
1871,1.1577083469660465e-07,0.0
1872,2.582214007063044e-07,0.0
1873,1.7898153714668297e-07,0.0
1874,1.6967889671093417e-07,0.0
1875,1.9167115306029103e-07,0.0
1876,1.831942544328058e-07,0.0
1877,2.0409892576012112e-07,0.0
1878,2.602847164467903e-07,0.0
1879,2.034405275352924e-07,0.0
1880,1.7264006357819994e-07,0.0
1881,1.9523021876910462e-07,0.0
1882,1.5972924272134037e-07,0.0
1883,1.6051121171090088e-07,5.687405213450347e-09
1884,1.6438224825776615e-07,5.941527270181268e-09
1885,1.7467672686066749e-07,0.0
1886,1.251972037152882e-07,6.453463874400711e-10
1887,1.9586774158142362e-07,1.9586774424595887e-09
1888,1.084245115912097e-07,6.340614699951175e-10
1889,1.7918290384777436e-07,3.759081934617825e-09
1890,1.2125615267422063e-07,0.0
1891,1.389580031041504e-07,0.0
1892,1.209822917402903e-07,0.0
1893,1.2994259190879376e-07,6.158416554491453e-10
1894,1.3359262940326744e-07,1.8904617871129403e-09
1895,1.2338159649516456e-07,1.2037228991346183e-09
1896,1.2501701873723903e-07,0.0
1897,8.332200496230513e-08,4.078699600285063e-09
1898,1.1939128796711884e-07,0.0
1899,1.5145565512852954e-07,5.527578395003729e-10
1900,8.720969102427034e-08,1.038210628578895e-09
1901,1.190401378581285e-07,0.0
1902,1.016428754496701e-07,3.437198747846537e-09
1903,9.50438781011087e-08,1.0800440541913758e-09
1904,1.3221578143429724e-07,5.374625189347171e-10
1905,1.2385822306670846e-07,5.160758931310738e-09
1906,1.301478673165768e-07,2.572092316910357e-09
1907,1.1622825968338191e-07,3.0857059130084963e-09
1908,1.1050625170483386e-07,0.0
1909,8.69155369898067e-08,2.2003934230241384e-09
1910,9.405705458931379e-08,1.068830135508847e-09
1911,7.448523731135026e-08,6.384448969498635e-09
1912,1.0002088524085906e-07,2.0837684910901544e-09
