year,premiers_ADJ arts_NOUN,premiers_ADJ bars_NOUN
1800,7.860410988769218e-08,0.0
1801,1.6906396815841163e-07,0.0
1802,7.161088433349505e-08,0.0
1803,4.4857802805609026e-08,0.0
1804,9.640219000850436e-08,0.0
1805,8.52863308864471e-08,0.0
1806,1.152667650217154e-07,0.0
1807,1.2526602333196024e-07,0.0
1808,2.1527702642742952e-07,0.0
1809,9.939734613162443e-08,0.0
1810,4.212228077449254e-08,0.0
1811,3.008491944456182e-08,0.0
1812,8.00162425207418e-09,0.0
1813,2.5881675469463516e-08,0.0
1814,4.090680150170556e-08,0.0
1815,2.1038343334112142e-07,0.0
1816,5.5622493277951435e-08,0.0
1817,1.6502858102285245e-07,0.0
1818,5.841377026527539e-08,0.0
1819,5.5895669093253275e-08,0.0
1820,9.730514616279606e-08,0.0
1821,4.437669787193954e-08,0.0
1822,6.51665033046811e-08,0.0
1823,9.882686990980716e-08,0.0
1824,3.621078548121659e-08,0.0
1825,8.629334047327575e-08,0.0
1826,6.165588928297439e-08,0.0
1827,4.516463647519231e-08,0.0
1828,6.604057034564903e-08,0.0
1829,5.486832677092934e-08,0.0
1830,6.992679857376061e-08,0.0
1831,4.677361786775691e-08,0.0
1832,4.6001897402447867e-08,0.0
1833,4.9809603552830595e-08,0.0
1834,5.507373290747353e-08,0.0
1835,5.8235777089521434e-08,0.0
1836,6.85516496901073e-08,0.0
1837,5.287997240088771e-08,0.0
1838,2.0830134062066463e-08,0.0
1839,5.383435919270596e-08,0.0
1840,3.4396318682183846e-08,0.0
1841,5.072233477676491e-08,0.0
1842,2.0124794275488966e-08,0.0
1843,3.898561473647533e-08,0.0
1844,6.586273570974299e-08,0.0
1845,5.0780073479472776e-08,0.0
1846,3.7468808500307205e-08,0.0
1847,2.8584086209093584e-08,0.0
1848,4.183515400768556e-08,0.0
1849,1.9272654583346593e-08,0.0
1850,2.647708541303473e-08,0.0
1851,1.5478653025979838e-08,0.0
1852,4.036538214791108e-08,0.0
1853,3.881755716861335e-08,0.0
1854,2.909572138776184e-08,0.0
1855,5.890700194299825e-08,0.0
1856,3.054541508618058e-08,0.0
1857,3.417056504417815e-08,0.0
1858,3.621320393554228e-08,0.0
1859,2.953460587207246e-08,0.0
1860,1.6935580049448618e-08,0.0
1861,3.442653473406665e-08,0.0
1862,3.9758280334645235e-08,0.0
1863,1.2986014041871385e-08,0.0
1864,5.4659899717535154e-08,0.0
1865,1.64739548669246e-08,0.0
1866,2.77339928800302e-08,0.0
1867,3.396968040192405e-08,0.0
1868,3.754304334080416e-08,0.0
1869,2.24641887314192e-08,0.0
1870,3.383088653663435e-08,0.0
1871,1.0621176826930423e-08,0.0
1872,4.5959779981785687e-08,0.0
1873,2.2746817762708815e-08,0.0
1874,1.9716210886144836e-08,0.0
1875,2.7463329388410784e-08,0.0
1876,2.7207066821688386e-08,0.0
1877,5.257093604882357e-08,0.0
1878,4.831271027683215e-08,0.0
1879,4.643087092581766e-08,0.0
1880,5.390990764908565e-08,6.417846254436199e-10
1881,3.207353416190273e-08,0.0
1882,1.0648616211028639e-08,0.0
1883,1.64302811356265e-08,0.0
1884,2.6406787867472303e-08,0.0
1885,1.740321664556177e-08,0.0
1886,7.744156427236248e-09,0.0
1887,2.219834371874896e-08,6.528924623161458e-10
1888,1.7119660356001987e-08,0.0
1889,3.759081934617825e-08,0.0
1890,2.4251230357208442e-08,0.0
1891,9.561330394092238e-09,0.0
1892,9.402768341715273e-09,0.0
1893,6.774258043407144e-09,0.0
1894,1.1972924873759894e-08,0.0
1895,4.814891596538473e-09,0.0
1896,9.435246361988447e-09,0.0
1897,5.2440420894583895e-09,0.0
1898,1.584339415217073e-08,0.0
1899,1.713549302451156e-08,0.0
1900,1.349673794948103e-08,0.0
1901,7.265360535413379e-09,0.0
1902,7.365425880312415e-09,0.0
1903,1.6200660368781428e-08,0.0
1904,1.0211787859759625e-08,0.0
1905,2.631987072732045e-08,0.0
1906,5.658602919567102e-09,0.0
1907,7.199980778249682e-09,0.0
1908,1.7680999997438107e-08,0.0
1909,7.151278680339601e-09,0.0
1910,8.550641084070776e-09,0.0
1911,5.852411444351446e-09,0.0
1912,5.730363294986773e-09,0.0
1913,1.2196876009173963e-08,0.0
1914,1.33934876522801e-08,0.0
1915,3.534228465440492e-09,0.0
1916,1.8678685265172135e-08,0.0
1917,0.0,0.0
1918,1.1486376294556067e-08,0.0
1919,1.5653341733923298e-08,0.0
1920,1.9687803387569147e-08,0.0
1921,1.8931869405491852e-08,0.0
1922,9.591316185719734e-09,0.0
1923,3.927900849021171e-08,0.0
1924,6.445812328337297e-09,0.0
1925,9.898360353588487e-09,0.0
1926,1.5604593173179637e-08,0.0
1927,1.7838759802657478e-08,5.574612327308159e-09
1928,1.3711249025050165e-08,0.0
1929,5.570202965543558e-09,1.1140406375176326e-09
