year,grands_ADJ os_NOUN,grands_ADJ boss_NOUN
1800,1.5091990235305275e-07,0.0
1801,1.1191558257905854e-07,0.0
1802,1.8126505096915935e-07,0.0
1803,1.4042441875972145e-07,0.0
1804,1.3100809326260787e-07,0.0
1805,1.250866148438945e-07,0.0
1806,2.1036184705280903e-07,0.0
1807,1.6512339584551228e-07,0.0
1808,4.078933102391602e-08,0.0
1809,9.03612189517844e-08,0.0
1810,9.594519667643908e-08,0.0
1811,4.763445815569867e-08,0.0
1812,3.654075158010528e-07,0.0
1813,1.35159851311073e-07,0.0
1814,6.608021863030444e-08,0.0
1815,8.631115377966125e-08,0.0
1816,1.4832664874120383e-07,0.0
1817,9.341240669868967e-09,0.0
1818,2.2769448548842774e-07,0.0
1819,5.796588098405664e-08,0.0
1820,5.3399165977907614e-08,0.0
1821,7.889190811738445e-08,0.0
1822,1.2732532184145384e-07,0.0
1823,1.0574474629265751e-07,0.0
1824,4.5474010335055937e-08,0.0
1825,1.4881199206229212e-07,0.0
1826,5.0205510859768765e-08,0.0
1827,1.308852830561591e-07,0.0
1828,1.2107437896702322e-07,0.0
1829,8.230249193275085e-08,0.0
1830,7.410153557430021e-08,0.0
1831,8.263339168479433e-08,0.0
1832,6.900284432731496e-08,0.0
1833,1.169946486356821e-07,0.0
1834,1.8108990218479448e-07,0.0
1835,1.005890695182643e-07,0.0
1836,1.1492482343555821e-07,0.0
1837,9.045258053674843e-08,0.0
1838,6.249040040984255e-08,0.0
1839,7.341049013120937e-08,0.0
1840,7.579929217627068e-08,0.0
1841,5.714288064950779e-08,0.0
1842,4.427455024824667e-08,0.0
1843,6.084118098215185e-08,0.0
1844,4.226192018563779e-08,0.0
1845,5.022205229465726e-08,0.0
1846,2.517435504501009e-08,0.0
1847,3.829188699455699e-08,0.0
1848,4.907585093860689e-08,0.0
1849,2.262441967104678e-08,0.0
1850,4.277067588986938e-08,0.0
1851,2.8377531435808123e-08,0.0
1852,8.007970819789989e-08,0.0
1853,6.628844317901894e-08,0.0
1854,5.7152309551611324e-08,0.0
1855,5.1477289986223695e-08,0.0
1856,3.727576114442854e-08,0.0
1857,3.0753508184488965e-08,0.0
1858,4.697928801533635e-08,0.0
1859,4.53203412575931e-08,0.0
1860,8.010071894659632e-08,0.0
1861,8.67737313114958e-08,0.0
1862,3.4788495639759276e-08,0.0
1863,3.596127129412707e-08,0.0
1864,1.0308664855074312e-07,0.0
1865,4.89511826629041e-08,0.0
1866,5.352174170525359e-08,0.0
1867,7.861554252031056e-08,0.0
1868,6.57003269566303e-08,0.0
1869,4.0044856319809696e-08,0.0
1870,5.160643823387545e-08,0.0
1871,1.0514965254060371e-07,0.0
1872,2.8422494580127022e-08,0.0
1873,7.48250528204153e-08,0.0
1874,6.691562504101967e-08,0.0
1875,4.1194994082616176e-08,0.0
1876,3.023007266733657e-08,0.0
1877,3.277952487223956e-08,0.0
1878,4.5293166550663955e-08,0.0
1879,6.659164597522249e-08,0.0
1880,3.273101611966922e-08,0.0
1881,4.462404845639867e-08,0.0
1882,5.989846840748214e-08,0.0
1883,3.791603475633565e-08,0.0
1884,2.772712726084592e-08,0.0
1885,1.1602143956679356e-07,0.0
