year,beaux_ADJ arts_NOUN,beaux_ADJ bars_NOUN
1800,5.099834709199058e-06,0.0
1801,4.302796945410137e-06,0.0
1802,4.54952885320381e-06,0.0
1803,4.201030520789573e-06,0.0
1804,4.140350267078929e-06,0.0
1805,4.736234316737864e-06,0.0
1806,5.0832645115406194e-06,0.0
1807,5.264020089157384e-06,0.0
1808,4.103860220538991e-06,0.0
1809,3.187492072953546e-06,0.0
1810,3.559332796498893e-06,0.0
1811,3.30182001562207e-06,0.0
1812,3.3606824079157605e-06,0.0
1813,3.215079146912103e-06,0.0
1814,3.329184380618244e-06,0.0
1815,2.1065316637702836e-06,0.0
1816,2.5006945030270344e-06,0.0
1817,2.5657273035051276e-06,0.0
1818,1.994412883732366e-06,0.0
1819,1.933576095680678e-06,0.0
1820,1.9805157851493504e-06,0.0
1821,2.258280872524665e-06,0.0
1822,1.7153828650862124e-06,0.0
1823,1.6296550739980376e-06,0.0
1824,1.6421169526381618e-06,0.0
1825,1.8068769396251128e-06,0.0
1826,1.4665294081339653e-06,0.0
1827,1.6839958103531671e-06,0.0
1828,1.7262270404216906e-06,0.0
1829,1.4428654768749993e-06,0.0
1830,1.336958693975987e-06,0.0
1831,1.44998212814329e-06,0.0
1832,2.57204720099935e-06,0.0
1833,9.683913355651441e-07,0.0
1834,1.1229440932680745e-06,0.0
1835,7.404263016042023e-07,0.0
1836,9.12677855957611e-07,0.0
1837,8.286848101057842e-07,0.0
1838,8.704471188281104e-07,0.0
1839,8.480659143828007e-07,0.0
1840,8.669146005502171e-07,0.0
1841,9.707869184083506e-07,0.0
1842,6.272228065817842e-07,0.0
1843,8.316930941720813e-07,0.0
1844,4.6158801358942014e-07,0.0
1845,5.144970032233687e-07,0.0
1846,6.451660565787165e-07,0.0
1847,4.438622918101487e-07,0.0
1848,5.382253465135989e-07,0.0
1849,4.591919378071907e-07,0.0
1850,8.336887145077299e-07,6.788996032014438e-10
1851,5.611011555384238e-07,0.0
1852,6.119912479007894e-07,0.0
1853,5.464317460734947e-07,0.0
1854,4.941076721109994e-07,0.0
1855,5.073432127744582e-07,0.0
1856,4.6698245981247055e-07,0.0
