year,dix_DET os_NOUN,dix_DET bosses_NOUN
1800,4.087413785214267e-08,3.144164484325529e-09
1801,2.1430643926123594e-08,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,1.3596443970698147e-08,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.556873407970727e-09,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,5.012807946513931e-09,0.0
1823,4.941343334508019e-09,0.0
1824,5.894778887238772e-09,0.0
1825,6.163809906922779e-09,8.805443041381977e-10
1826,8.807984341885344e-10,0.0
1827,0.0,0.0
1828,9.172301140836225e-09,0.0
1829,1.0287811491593857e-08,0.0
1830,1.878630406793036e-08,0.0
1831,7.795603274018958e-09,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,9.334530925997342e-10,0.0
1835,3.025235173481633e-09,0.0
1836,1.0753200108126748e-08,0.0
1837,5.5663127440652715e-09,0.0
1838,6.312161904276081e-10,0.0
1839,6.9914751765765e-10,0.0
1840,1.2739377330817092e-09,0.0
1841,1.6051371787284552e-08,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,5.488561272137815e-10,0.0
1845,4.464182357111213e-09,1.1160455892778032e-09
1846,0.0,0.0
1847,2.1572894581822766e-09,0.0
1848,8.045221711050488e-10,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,6.449438760824933e-09,0.0
1852,6.575650957074686e-08,1.9531636308300904e-09
1853,2.6873692604567623e-08,0.0
1854,5.195664454227256e-10,0.0
1855,1.5920811335945473e-09,5.306937111981824e-10
1856,4.141751386299575e-09,0.0
1857,0.0,0.0
1858,5.3830437884982985e-09,0.0
1859,0.0,5.092173349652285e-10
1860,9.154367819341758e-10,1.373155145145688e-09
1861,4.715963730639317e-10,0.0
