year,derniers_ADJ arts_NOUN,derniers_ADJ bars_NOUN
1800,2.515331631869344e-08,0.0
1801,2.6193008650921e-08,0.0
1802,1.1189200677108602e-08,0.0
1803,0.0,0.0
1804,4.943701892301533e-09,0.0
1805,0.0,0.0
1806,5.76333825108577e-09,0.0
1807,5.4092147649953404e-08,0.0
1808,0.0,0.0
1809,2.0331274441787173e-08,0.0
1810,0.0,0.0
1811,2.2563690915688994e-08,0.0
1812,5.601137331723294e-08,0.0
1813,2.8757416448144113e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,5.394447111228828e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,1.0898113522728181e-08,0.0
1818,1.0729059418679299e-08,0.0
1819,8.280840013696888e-09,0.0
1820,1.3053129244156025e-08,0.0
1821,2.9584463767662328e-09,0.0
1822,4.010246357211145e-09,0.0
1823,9.882686891060644e-10,0.0
1824,5.052667617633233e-09,0.0
1825,7.044354211060977e-09,0.0
1826,9.688783109140786e-09,0.0
1827,3.133872894522938e-08,0.0
1828,1.1923991571904935e-08,0.0
1829,7.715858174606183e-09,0.0
1830,1.0436835840010872e-09,0.0
1831,4.677361831184612e-09,0.0
1832,1.894195655882669e-08,0.0
1833,1.0425265983826648e-08,0.0
1834,7.467624740797874e-09,0.0
1835,3.932805725526123e-08,0.0
1836,2.688300027031687e-09,0.0
1837,2.2265250976261086e-08,0.0
1838,8.2058102535143e-09,0.0
1839,8.38977065598101e-09,0.0
1840,1.1465439264668476e-08,0.0
1841,1.926164561183441e-09,0.0
1842,7.379091560011375e-09,0.0
1843,8.860366662588604e-09,0.0
1844,7.1351298203126134e-09,0.0
1845,3.348136878855712e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,1.6179670936367074e-09,0.0
1848,8.04522137798358e-09,0.0
1849,0.0,0.0
1850,1.3577992064028876e-09,0.0
1851,2.257303499675345e-08,0.0
1852,3.906327261660181e-09,0.0
1853,3.5831591027601917e-09,0.0
1854,7.27393034694046e-09,0.0
1855,3.714855978387277e-09,0.0
1856,9.836659486950339e-09,0.0
1857,3.905207268672939e-09,0.0
1858,1.9574704079872163e-09,0.0
1859,9.675129142294736e-09,0.0
1860,4.577183909670879e-10,0.0
1861,2.357981809808507e-09,0.0
1862,3.162590411776023e-09,0.0
1863,7.491931519609807e-09,0.0
1864,4.794727948009836e-10,0.0
1865,1.2237795665726026e-08,0.0
1866,9.731225825149181e-10,0.0
1867,9.7056229719783e-10,0.0
1868,1.3831646938911035e-08,0.0
1869,1.12320943657096e-08,0.0
1870,6.880858549607183e-09,0.0
1871,0.0,0.0
1872,6.652073114565837e-09,0.0
1873,4.788803575905831e-09,0.0
1874,1.0754296120296658e-08,0.0
1875,3.432916173551348e-09,0.0
1876,3.627608879952504e-09,0.0
1877,1.2369631985365004e-09,0.0
1878,1.0870359723469392e-08,0.0
1879,6.10932526790009e-10,0.0
1880,3.2089231272180996e-09,0.0
1881,1.3945015142624584e-09,0.0
1882,2.6621540527571597e-09,0.0
1883,9.479008689083912e-09,0.0
1884,1.3203393933736152e-09,0.0
1885,1.2891271383708158e-09,0.0
1886,6.453463874400711e-10,0.0
1887,2.6115698492645834e-09,0.0
1888,4.4384300679212174e-09,0.0
1889,1.8795410228200637e-09,0.0
1890,5.898947996740844e-09,0.0
1891,7.0116419337296065e-09,0.0
1892,0.0,1.2537024751679837e-09
1893,1.847525021858587e-09,0.0
1894,2.520615716150587e-09,0.0
1895,4.213029924926559e-09,0.0
1896,1.179405795248556e-09,0.0
1897,2.330685422435863e-09,0.0
1898,4.52668391659472e-09,0.0
1899,2.7637891975018647e-09,0.0
1900,4.671947717582725e-09,0.0
1901,0.0,0.0
1902,4.910283846193408e-10,0.0
1903,2.1600881083827517e-09,0.0
1904,2.6873125946735854e-09,5.374625189347171e-10
1905,1.0321518084666081e-09,0.0
1906,2.0576738091193647e-09,0.0
