year,aux_ADP os_NOUN,aux_ADP boss_NOUN
1800,1.2230799484314048e-06,0.0
1801,1.7382633359375177e-06,0.0
1802,1.0674497161744512e-06,0.0
1803,1.4666551351183443e-06,0.0
1804,1.2927780517202336e-06,0.0
1805,1.9587428141676355e-06,0.0
1806,9.653591632741154e-07,0.0
1807,8.256170076492708e-07,0.0
1808,4.826737836083339e-07,0.0
1809,3.998484032763372e-07,0.0
1810,5.124877588968957e-07,0.0
1811,3.5349782478988345e-07,0.0
1812,2.2431220259022666e-06,0.0
1813,1.0784031019284157e-06,0.0
1814,9.093897119782923e-07,0.0
1815,1.8071398244501324e-06,0.0
1816,8.945950753513898e-07,0.0
1817,7.192755333562673e-07,0.0
1818,1.4531915439874865e-06,0.0
1819,1.1210187267352012e-06,0.0
1820,9.825446340983035e-07,0.0
1821,9.279660275751667e-07,0.0
1822,9.40402742344304e-07,0.0
1823,8.301457228299114e-07,0.0
1824,8.328480589625542e-07,0.0
1825,1.0196703215115122e-06,8.805443041381977e-10
1826,7.03757962128293e-07,0.0
1827,7.52129494685505e-07,0.0
1828,1.1236069212827715e-06,9.172301251858528e-10
1829,1.2148190080552013e-06,0.0
1830,8.850436756802083e-07,0.0
1831,8.63752802615636e-07,0.0
1832,9.200379054163932e-07,0.0
1833,1.1490959650473087e-06,0.0
1834,1.3619080618809676e-06,0.0
1835,1.409003289154498e-06,0.0
1836,1.0484369568075635e-06,0.0
1837,1.2934718824908487e-06,0.0
1838,1.0011088988903794e-06,0.0
1839,9.969843404178391e-07,0.0
1840,8.758321996538143e-07,0.0
1841,1.0773680969577981e-06,0.0
1842,6.050855176908954e-07,0.0
1843,6.928806897121831e-07,0.0
1844,6.240493917175627e-07,0.0
1845,9.971867029889836e-07,0.0
1846,6.071118150430266e-07,0.0
1847,4.940192752656003e-07,0.0
1848,6.959116944926791e-07,0.0
1849,7.868270586186554e-07,0.0
1850,6.884042136334756e-07,0.0
1851,6.784809443161066e-07,0.0
1852,8.567877785026212e-07,0.0
1853,7.894893769844202e-07,0.0
1854,5.865905450264108e-07,0.0
1855,9.57371412368957e-07,5.306937111981824e-10
1856,5.886464009563497e-07,0.0
1857,5.979848651804787e-07,0.0
1858,4.6930352937124553e-07,0.0
1859,5.855999347659235e-07,0.0
1860,6.138003527667024e-07,0.0
1861,6.050581191630044e-07,0.0
1862,5.254418056210852e-07,0.0
1863,4.220454741243884e-07,0.0
1864,5.298174414747336e-07,0.0
1865,5.318734110915102e-07,0.0
1866,4.996984444005648e-07,0.0
1867,9.142696626440738e-07,0.0
1868,8.111273359645566e-07,0.0
1869,8.175011316780001e-07,0.0
1870,7.0127418894117e-07,0.0
1871,7.817186542524723e-07,0.0
1872,5.636120476992801e-07,0.0
1873,6.267346748245473e-07,0.0
1874,7.910382464615395e-07,0.0
1875,6.179249112392426e-07,0.0
1876,6.021830927238625e-07,0.0
1877,6.778558372388943e-07,0.0
1878,5.272124212751805e-07,0.0
1879,5.901608233216393e-07,0.0
1880,3.780111512696749e-07,0.0
1881,4.246257105933182e-07,0.0
1882,5.038126573708723e-07,0.0
1883,4.303469722799491e-07,0.0
1884,4.1326623545501207e-07,0.0
1885,5.182291147320939e-07,0.0
1886,3.736555527211749e-07,0.0
1887,4.54413140005272e-07,0.0
1888,4.387705416775134e-07,0.0
1889,4.128725095142727e-07,0.0
1890,3.2444214070892485e-07,0.0
1891,3.805409392043657e-07,0.0
1892,3.372459786987747e-07,0.0
1893,3.849010283829557e-07,0.0
1894,3.446942002938158e-07,0.0
1895,2.979214173137734e-07,6.018614495673091e-10
1896,3.6620551213673025e-07,0.0
1897,4.0320858829545614e-07,0.0
1898,2.783910701964487e-07,3.3950129374460403e-09
1899,2.924088846611994e-07,0.0
1900,2.393075533291267e-07,4.15284251431558e-09
1901,2.989975200762274e-07,0.0
1902,2.474783116213075e-07,0.0
1903,3.007922657616291e-07,5.940242076007962e-09
1904,3.5203794368499075e-07,0.0
1905,2.5958618721233506e-07,0.0
1906,2.7109851430395793e-07,0.0
1907,2.4119935915223323e-07,0.0
1908,2.4998971070999687e-07,0.0
1909,3.075049903600302e-07,0.0
1910,2.645354584274173e-07,0.0
1911,2.6974296929438424e-07,0.0
1912,2.1775380787403265e-07,4.688478938419394e-09
1913,2.2643766328656056e-07,0.0
1914,2.2233189156395383e-07,0.0
1915,3.145463551845751e-07,0.0
1916,2.636990927840088e-07,0.0
1917,2.478412000073149e-07,0.0
