year,très_ADV eu_VERB,très_ADV bu_VERB
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,8.645007376628655e-09,0.0
1807,8.540865348294346e-09,0.0
1808,9.064295980465431e-09,0.0
1809,2.0331274441787173e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,5.0141535368197765e-09,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0
1813,1.4378708002027452e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,2.697223555614414e-09,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,3.5763532135746345e-09,0.0
1819,7.24573512300708e-09,0.0
1820,7.119888678630559e-09,0.0
1821,7.88919063410276e-09,0.0
1822,5.012807946513931e-09,0.0
1823,5.929612356680991e-09,0.0
1824,4.210556348027694e-09,0.0
1825,7.044354433105582e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,1.3825909306319772e-08,0.0
1828,9.172301251858528e-10,0.0
1829,3.429270423183084e-09,0.0
1830,6.262101504006523e-09,0.0
1831,6.236482441579483e-09,0.0
1832,6.764984572527055e-09,0.0
1833,6.950177322551099e-09,0.0
1834,4.667265462998671e-09,0.0
1835,1.3613558280667348e-08,0.0
1836,1.1425274948351216e-08,0.0
1837,2.7831563720326358e-09,0.0
1838,2.5248647617104325e-09,6.312161904276081e-10
1839,6.9914749545318955e-09,0.0
1840,5.732719632334238e-09,0.0
1841,2.5682194149112547e-09,0.0
1842,4.024959032733477e-09,0.0
1843,9.451057714215949e-09,5.906911071384968e-10
1844,7.1351298203126134e-09,0.0
1845,8.37034175305007e-09,0.0
1846,5.854501106128396e-09,0.0
1847,5.3932236454556914e-09,0.0
1848,7.24069959545659e-09,0.0
1849,8.379414939696517e-10,0.0
1850,6.1100964288129944e-09,0.0
1851,3.8696632564949596e-09,0.0
1852,4.557382027314816e-09,0.0
1853,2.388772735173461e-09,0.0
1854,3.117398783558656e-09,0.0
1855,2.653468555990912e-09,0.0
1856,4.141751386299575e-09,0.0
1857,2.4407544874094356e-09,0.0
1858,2.936205500958522e-09,0.0
1859,1.5276520048956854e-09,0.0
1860,5.950338888283113e-09,0.0
1861,2.8295783494058924e-09,0.0
1862,4.066187636597718e-09,0.0
1863,3.995696662428827e-09,0.0
1864,2.3973640850272204e-09,0.0
1865,4.23615986733239e-09,0.0
1866,4.865612801552288e-09,0.0
1867,6.308654931785895e-09,0.0
1868,1.4819622196071691e-09,0.0
1869,2.441759683335931e-09,4.883519144627257e-10
1870,2.2936195165357276e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,3.0236697590169115e-09,0.0
1873,5.38740402289406e-09,0.0
1874,5.974609140757536e-09,0.0
1875,2.8607636259891933e-09,0.0
1876,1.209202959984168e-09,0.0
1877,1.2369631985365004e-09,6.184815992682502e-10
1878,3.6234530931267273e-09,0.0
1879,1.832797580370027e-09,0.0
1880,7.701415505323439e-09,0.0
1881,1.1853263259808955e-08,0.0
1882,5.989846840748214e-09,0.0
1883,6.319338829996468e-09,6.319338941018771e-10
1884,1.1222884843675729e-08,6.601696966868076e-10
1885,1.2246707647989297e-08,0.0
1886,1.936039190075789e-08,6.453463874400711e-10
1887,1.3057849523878673e-08,0.0
1888,1.2681229177857745e-08,0.0
1889,1.3783300722991498e-08,0.0
1890,1.3108773011527575e-08,6.554386478008212e-10
1891,2.039750413018737e-08,6.374220040683554e-10
1892,1.5044429702015805e-08,0.0
1893,7.390100087434348e-09,6.158416554491453e-10
1894,1.2603078580752936e-08,0.0
1895,1.745398225949657e-08,0.0
1896,1.7101383420481397e-08,0.0
1897,1.2236098356765979e-08,0.0
1898,1.4711722617910539e-08,0.0
1899,1.1607914629507832e-08,0.0
1900,9.34389543516545e-09,0.0
1901,1.2854099118442264e-08,0.0
1902,1.4730851927158284e-08,0.0
1903,1.1340462791054051e-08,5.400220270956879e-10
1904,1.2361637935498493e-08,0.0
1905,1.1353670004154992e-08,0.0
1906,9.773950260250075e-09,5.144184522798412e-10
1907,1.2857107989372452e-08,0.0
1908,5.40252820258047e-09,4.911389073214423e-10
1909,1.5402754349747028e-08,5.500983557560346e-10
1910,1.336037680488289e-08,0.0
1911,1.170482277768059e-08,5.320374141248863e-10
1912,1.2502610502451716e-08,0.0
1913,8.484783153850373e-09,0.0
1914,1.4063161857258422e-08,0.0
1915,1.6493066246070498e-08,1.1780761921542648e-09
1916,8.789969641043172e-09,0.0
1917,1.4256351654751143e-08,0.0
1918,1.2635013924011673e-08,0.0
1919,1.1970203106503874e-08,0.0
1920,1.1358347151713133e-08,0.0
1921,7.572747762196741e-09,0.0
1922,1.2542490324118916e-08,4.426761179843197e-09
1923,5.307974060286824e-09,0.0
1924,1.675911143195208e-08,0.0
1925,6.598906754362588e-09,1.0998177923937646e-09
1926,1.0031524944054127e-08,1.1146138456652466e-09
1927,6.689535148041159e-09,0.0
1928,1.0283437212876834e-08,0.0
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,8.402882833991043e-09,0.0
1931,1.2545892325022123e-08,0.0
1932,4.383814644626227e-09,1.0959536611565568e-09
1933,1.0323596200123575e-08,0.0
1934,3.5944740517379614e-09,0.0
1935,3.590485242455088e-09,0.0
1936,1.091224355320719e-08,0.0
1937,6.295559074054324e-09,0.0
1938,6.482607339819424e-09,0.0
1939,3.058810094103137e-09,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,5.806470415592457e-09,0.0
1944,0.0,0.0
1945,6.535512131478072e-09,0.0
1946,2.7842208538686464e-09,0.0
1947,3.5762612871081956e-09,0.0
1948,6.523132700664291e-09,0.0
1949,3.9268033269479474e-09,0.0
1950,4.2541445921528975e-09,0.0
1951,2.1322803522849654e-09,0.0
1952,6.326882129314981e-09,0.0
1953,4.3095309543161875e-09,0.0
1954,7.818028890937967e-09,0.0
1955,4.6928039232341234e-09,0.0
1956,3.488456634670456e-09,8.72114158667614e-10
1957,1.7670075402875796e-09,8.835037701437898e-10
1958,4.1361216673863055e-09,0.0
1959,5.4255236969780185e-09,0.0
1960,3.4604166754270693e-09,0.0
1961,4.16889545107324e-09,0.0
1962,2.5367825617905737e-09,0.0
1963,2.5864212993553792e-09,0.0
1964,3.041984220075733e-09,0.0
1965,4.924839203113152e-09,5.472043373977442e-10
1966,4.985167390003653e-09,0.0
1967,4.437302025817047e-09,4.930335584241163e-10
1968,7.186265332803643e-09,4.4914158503495116e-10
1969,6.812636621500445e-09,4.5417578031781147e-10
1970,3.6789800095249348e-09,0.0
1971,4.624557625731995e-09,0.0
1972,1.0260293725750103e-09,0.0
1973,2.2052815684681093e-09,0.0
1974,2.8127858375803783e-09,0.0
1975,2.8557400888473694e-09,0.0
1976,5.713526984862938e-09,5.713526873840635e-10
1977,1.1753563677885381e-09,5.876781838942691e-10
1978,1.1881182704343018e-09,0.0
1979,1.1703946700691858e-09,0.0
1980,3.97960553399912e-09,0.0
1981,1.2651099057237047e-09,6.325549528618524e-10
1982,1.2415004579935385e-09,0.0
1983,3.157658134966823e-09,0.0
1984,1.1598016991243298e-09,0.0
1985,1.2031116103372597e-09,0.0
1986,2.3977941854269602e-09,0.0
1987,2.4443267410134695e-09,0.0
1988,5.996553809062277e-10,0.0
1989,1.0976244357863152e-09,0.0
1990,2.724325487424295e-09,0.0
1991,1.7584396161396398e-09,0.0
1992,0.0,0.0
1993,1.1078414852150331e-09,0.0
1994,1.0549853213248639e-09,0.0
1995,4.337960657352369e-09,5.422450821690461e-10
1996,2.135236876199542e-09,1.067618438099771e-09
1997,4.79489448146353e-10,0.0
1998,1.9072516899143466e-09,0.0
1999,3.1991407301035224e-09,0.0
2000,0.0,0.0
2001,3.066848330846028e-09,0.0
2002,5.257465574004527e-09,0.0
2003,1.6667691671301554e-09,0.0
2004,4.404791253964646e-10,0.0
