year,serais_VERB aux_ADP,serais_VERB beau_ADV
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,7.4155526164076946e-09,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,2.6672082320544632e-09,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.3486118000116676e-08,0.0
1816,0.0,0.0
1817,3.113746815941454e-09,0.0
1818,1.7881765401739358e-08,0.0
1819,0.0,0.0
1820,1.898636980968149e-08,0.0
1821,0.0,9.86148829262845e-10
1822,9.023054303725075e-09,0.0
1823,0.0,9.882686891060644e-10
1824,0.0,0.0
1825,4.4027217427355936e-09,4.4027217427355936e-09
1826,0.0,0.0
1827,1.8434546111834038e-09,9.217273055917019e-10
1828,9.172301251858528e-10,9.172301140836225e-09
1829,0.0,8.57317605795771e-10
1830,3.1310507520032616e-09,1.0436835840010872e-09
1831,9.354723218280014e-09,4.677361609140007e-09
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,6.050470346963266e-09,0.0
1836,5.376600054063374e-09,0.0
1837,6.957890930081589e-10,0.0
1838,2.5248647617104325e-09,0.0
1839,7.690622361167243e-09,6.9914751765765e-10
1840,3.821813088222825e-09,6.369688665408546e-10
1841,1.2841097074556274e-09,1.2841097074556274e-09
1842,6.708265054555795e-10,8.049918065466954e-09
1843,3.5441467538532834e-09,0.0
1844,9.879410178825765e-09,1.097712254427563e-09
1845,2.2320911785556063e-09,0.0
1846,2.3418005312692003e-09,0.0
1847,2.6966118227278457e-09,0.0
1848,6.43617736884039e-09,0.0
1849,2.513824481908955e-09,0.0
1850,5.431196825611551e-09,0.0
1851,1.0319102017319892e-08,0.0
1852,1.3021090872200602e-09,0.0
1853,6.569124799682413e-09,0.0
1854,9.352196350675968e-09,0.0
1855,9.021793090369101e-09,5.306937111981824e-10
1856,6.212626857404757e-09,0.0
1857,5.369659827891837e-09,0.0
1858,9.297984604472731e-09,0.0
1859,1.1202780925145817e-08,1.5276520048956854e-09
1860,8.696649622663699e-09,4.577183909670879e-10
1861,4.2443675241088386e-09,0.0
1862,1.1294965851504912e-08,0.0
1863,2.4973103585068657e-09,0.0
1864,4.794727948009836e-10,9.589455896019672e-10
1865,6.118897832863013e-09,1.4120533631256649e-09
1866,3.4059290943133647e-09,0.0
1867,2.426405742994575e-09,7.279217228983725e-09
1868,5.433861360870651e-09,0.0
1869,5.371870948067681e-09,9.767038289254515e-10
1870,2.2936195165357276e-09,0.0
1871,1.0621177271019633e-09,0.0
1872,1.8142017887967654e-09,0.0
1873,1.1972008939764578e-09,5.986004469882289e-10
1874,2.9873046258899194e-09,4.779687312606029e-09
1875,8.58229043387837e-09,0.0
1876,6.04601479992084e-10,0.0
1877,3.0924081073635534e-09,1.2369631985365004e-09
1878,8.4547240319921e-09,0.0
1879,8.55305515301552e-09,4.887460214320072e-09
1880,1.9253538763308597e-09,0.0
1881,4.8807553554297556e-09,0.0
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,1.8958017378167824e-09,0.0
1884,3.300848483434038e-09,0.0
1885,6.445635691854079e-10,0.0
1886,4.5174246565693466e-09,0.0
1887,5.876032105334161e-09,0.0
1888,5.706553452000662e-09,0.0
1889,9.397704836544563e-09,0.0
1890,3.2771931834929546e-09,0.0
1891,3.1871101313640793e-09,6.374220040683554e-10
1892,5.014809900671935e-09,6.268512375839919e-10
1893,4.926733243593162e-09,0.0
1894,3.780923574225881e-09,1.8904617871129403e-09
1895,6.018614495673091e-10,0.0
1896,8.845543852942228e-09,0.0
1897,2.330685422435863e-09,5.826713556089658e-10
1898,1.3580051749784161e-08,1.13167097914868e-09
1899,3.3165470370022376e-09,1.1055156790007459e-09
1900,4.671947717582725e-09,1.038210628578895e-09
1901,5.588738916095792e-10,2.235495566438317e-09
1902,0.0,0.0
1903,1.1880484152015924e-08,5.400220270956879e-10
1904,3.2247751136083025e-09,5.374625189347171e-10
1905,3.096455536422127e-09,1.5482277682110634e-09
1906,2.572092316910357e-09,0.0
1907,4.114274698707732e-09,0.0
1908,7.367083831866239e-09,0.0
1909,6.0510818578052294e-09,0.0
1910,2.137660271017694e-09,1.6032452032632705e-09
1911,2.128149656499545e-09,1.0640748282497725e-09
1912,5.209421227725386e-10,0.0
1913,3.71209285532359e-09,5.30298971401777e-10
1914,0.0,0.0
1915,1.1780762143587253e-08,0.0
1916,8.789969641043172e-09,0.0
1917,6.57985488317081e-09,0.0
1918,1.4932290071101306e-08,3.44591288836682e-09
1919,1.8415696745321952e-09,0.0
1920,3.786115865267448e-09,0.0
1921,2.2718242842501013e-09,0.0
1922,7.377935484775833e-10,7.377935484775833e-10
1923,0.0,0.0
1924,0.0,0.0
1925,1.0998177923937646e-09,0.0
1926,5.57306911730393e-09,1.1146138456652466e-09
1927,3.3447675740205796e-09,0.0
1928,0.0,0.0
1929,3.342121912552898e-09,1.1140406375176326e-09
1930,3.1510811737689437e-09,0.0
1931,0.0,1.1405356659111021e-09
1932,5.4797681947604815e-09,0.0
1933,6.882397318719313e-09,0.0
1934,2.3963160344919743e-09,0.0
1935,2.393656828303392e-09,0.0
1936,1.2124714565686645e-08,0.0
1937,0.0,0.0
1938,2.5930428915188486e-09,0.0
1939,0.0,7.647025235257843e-09
1940,0.0,0.0
1941,1.1806010391524069e-08,0.0
1942,3.034211770724937e-09,0.0
1943,5.806470415592457e-09,0.0
1944,0.0,0.0
1945,6.535512131478072e-09,0.0
1946,2.7842208538686464e-09,0.0
1947,0.0,2.3841741914054637e-09
1948,0.0,1.0871887834440486e-09
1949,2.945102384188658e-09,0.0
1950,3.190608444114673e-09,0.0
1951,0.0,1.0661401761424827e-09
1952,4.2179215675730575e-09,3.1634410646574906e-09
1953,4.3095309543161875e-09,1.0773827385790469e-09
1954,4.886268278880834e-09,1.9545072227344917e-09
1955,9.385607846468247e-10,1.8771215692936494e-09
1956,8.72114114258693e-09,0.0
1957,4.417518795207798e-09,0.0
1958,3.3088973783179654e-09,2.4816730892496253e-09
1959,5.425523585955716e-09,7.750747821333448e-10
1960,4.152500121534786e-09,6.920833350854139e-10
1961,8.33779090214648e-09,6.948159270159238e-10
1962,1.9025869768540815e-09,0.0
1963,6.466053248388448e-10,0.0
1964,5.475571551727398e-09,1.8251904432275978e-09
1965,5.47204326295514e-09,0.0
1966,1.6617224263271169e-09,0.0
1967,1.9721342336964653e-09,0.0
1968,4.491415683816058e-09,4.4914158503495116e-10
1969,1.8167031212712459e-09,1.3625273131978588e-09
1970,1.3796175313274261e-09,9.197450023812337e-10
1971,5.138397263237948e-09,5.138397485282553e-10
1972,4.6171320100540925e-09,0.0
1973,1.102640756478479e-09,5.513203782392395e-10
1974,1.1251143350321513e-09,5.625571675160757e-10
1975,1.7134440533084216e-09,0.0
1976,1.142705374768127e-09,0.0
1977,3.526069214387917e-09,5.876781838942691e-10
1978,2.970295565063452e-09,0.0
1979,3.5111840102075575e-09,0.0
1980,4.548120546843393e-09,0.0
1981,1.5813874654213578e-08,6.325549528618524e-10
1982,4.966001831974154e-09,6.207502289967692e-10
1983,3.78918940668882e-09,6.315316047889041e-10
1984,3.479405208395292e-09,0.0
1985,1.8046674155058895e-09,0.0
1986,2.3977941854269602e-09,0.0
1987,6.110816741511371e-09,0.0
1988,5.996553809062277e-10,2.398621523624911e-09
1989,3.2928733073589456e-09,1.0976244357863152e-09
1990,4.90378582185258e-09,0.0
1991,2.9307325455363298e-09,3.5168792322792797e-09
1992,5.509944056569793e-09,0.0
1993,5.539207315052863e-09,1.1078414852150331e-09
1994,3.164955852952289e-09,0.0
1995,2.7112254663563817e-09,1.626735190995987e-09
1996,2.6690460952494277e-09,0.0
1997,3.3564262480467733e-09,4.79489448146353e-10
1998,1.9072516899143466e-09,9.536258449571733e-10
