year,serons_VERB aux_ADP,serons_VERB beaux_ADJ
1800,3.144164395507687e-08,0.0
1801,4.524246932646747e-08,0.0
1802,2.4616241489638924e-08,2.2378401354217203e-09
1803,3.315576790896557e-08,0.0
1804,4.943701981119375e-08,0.0
1805,5.685755510853596e-08,0.0
1806,6.339671898558663e-08,2.881669125542885e-09
1807,2.8469550272802735e-08,0.0
1808,3.172503681980743e-08,0.0
1809,8.132509776714869e-08,0.0
1810,1.8721014072298203e-08,0.0
1811,6.518399686683551e-08,0.0
1812,5.3344164641089264e-09,0.0
1813,4.601186631703058e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,5.394447111228828e-09,0.0
1816,6.952811659743929e-09,2.3176038865813098e-09
1817,3.89218364205135e-08,0.0
1818,3.814776761146277e-08,0.0
1819,4.5544620519422097e-08,0.0
1820,3.322614716694261e-08,1.1866481131050932e-09
1821,1.3806083387635226e-08,0.0
1822,3.909990198280866e-08,0.0
1823,6.917880934764753e-09,9.882686891060644e-10
1824,8.58953512761218e-08,0.0
1825,1.3208164340028361e-08,0.0
1826,2.6423952803611428e-08,0.0
1827,2.2121454890111636e-08,0.0
1828,2.659967357487858e-08,0.0
1829,7.715858174606183e-08,8.57317605795771e-10
1830,2.5048406016026092e-08,0.0
1831,1.7150327380477393e-08,0.0
1832,4.19429042608499e-08,2.705993873419743e-09
1833,8.108539617524002e-09,0.0
1834,2.42697808516823e-08,9.334530925997342e-10
1835,3.2521278114927554e-08,0.0
1836,3.49478987970997e-08,0.0
1837,2.852735292435682e-08,0.0
1838,3.408567295082321e-08,6.312161904276081e-10
1839,2.866504900111977e-08,0.0
1840,2.229391071750797e-08,0.0
1841,3.146068650039524e-08,6.420548537278137e-10
1842,3.5553803456878086e-08,1.341653010911159e-09
1843,4.902736350231862e-08,1.1813822142769936e-09
1844,1.5916826967554698e-08,6.586273748609983e-09
1845,2.7343116215661212e-08,0.0
1846,5.034871009002018e-08,1.1709002656346001e-09
1847,2.9123407685460734e-08,5.393223645455691e-10
1848,1.850401076808339e-08,1.6090443422100975e-09
1849,2.262441967104678e-08,0.0
1850,1.9009188889640427e-08,6.788996032014438e-10
1851,2.7087642351375507e-08,6.449438760824933e-09
1852,1.3021090872200602e-08,0.0
1853,1.2541057081705276e-08,0.0
1854,2.5458755104068587e-08,1.558699391779328e-09
1855,2.4942604426314574e-08,0.0
1856,2.847454005916461e-08,0.0
1857,1.2203773103180993e-08,3.905207268672939e-09
1858,3.2787628612140907e-08,4.893676019968041e-10
1859,3.411756210880412e-08,1.5276520048956854e-09
1860,2.7920821210614122e-08,4.577183909670879e-10
1861,2.9238975685075275e-08,4.715963730639317e-10
1862,3.252950264709398e-08,0.0
1863,3.0467187883687075e-08,9.989241656072068e-10
1864,1.0548401263577034e-08,0.0
1865,1.1767110841276462e-08,0.0
1866,3.2113046444237625e-08,9.731225825149181e-10
1867,2.91168689159349e-08,4.85281148598915e-10
1868,1.7289560005906424e-08,0.0
1869,1.3185501579471293e-08,0.0
1870,1.548193218070537e-08,0.0
1871,1.5931766128574054e-08,0.0
1872,2.3584624031514068e-08,6.047339295989218e-10
1873,1.0774807712721213e-08,0.0
1874,8.961913877669758e-09,5.974609140757536e-10
1875,2.0025344937835143e-08,0.0
1876,1.3301232115736639e-08,3.02300739996042e-09
1877,6.184816214727107e-09,0.0
1878,1.69094480639842e-08,0.0
1879,2.504823370941267e-08,6.10932526790009e-10
1880,1.5402831010646878e-08,3.8507077526617195e-09
1881,2.5798277292210514e-08,4.183504653809678e-09
1882,1.1314154946262533e-08,0.0
1883,1.0742875922176154e-08,6.319338941018771e-10
1884,9.902545450302114e-09,0.0
1885,1.353583467533781e-08,6.445635691854079e-10
1886,9.680196200179125e-09,0.0
1887,2.8074376601239237e-08,1.3057849246322917e-09
1888,2.53624587998047e-08,0.0
1889,2.5687061366852504e-08,0.0
1890,1.9663159989136147e-08,0.0
1891,1.6572972327821844e-08,0.0
1892,2.1312942521944933e-08,0.0
1893,3.079208221734575e-09,6.158416554491453e-10
1894,1.3233232287745977e-08,0.0
1895,1.444467478961542e-08,0.0
1896,7.66613794667137e-09,5.89702897624278e-10
1897,1.5149455023788505e-08,1.1653427112179315e-09
1898,1.640922953072277e-08,0.0
1899,1.6029977345510815e-08,1.1055156790007459e-09
1900,9.863001082521805e-09,3.114631885736685e-09
1901,8.941982265753268e-09,2.235495566438317e-09
1902,8.838511256215043e-09,0.0
1903,1.4580594509538969e-08,0.0
1904,6.987012746151322e-09,1.0749250378694342e-09
1905,1.857873321853276e-08,0.0
1906,6.6874399351490865e-09,0.0
1907,8.228549397415463e-09,0.0
1908,2.0136695866312948e-08,0.0
1909,1.3752458727367411e-08,5.500983557560346e-10
1910,1.1222716089775986e-08,4.275320542035388e-09
1911,1.0108711201439746e-08,5.320374141248863e-10
1912,1.1981668990301841e-08,2.0837684910901544e-09
1913,9.545381374209683e-09,4.242391771214216e-09
1914,5.357394972094198e-09,0.0
1915,1.6493066468115103e-08,0.0
1916,9.888715624128963e-09,0.0
1917,1.0966424213165737e-08,0.0
1918,2.6418664589300533e-08,0.0
1919,1.1970202606903513e-08,0.0
1920,9.086678076641874e-09,0.0
1921,1.1359120755116692e-08,0.0
1922,1.1804696775641332e-08,0.0
1923,9.554353752605493e-09,6.369568872344189e-09
1924,1.2891624656674594e-08,0.0
1925,6.598906754362588e-09,0.0
1926,1.5604593173179637e-08,0.0
1927,1.1149224654616319e-08,7.804457524684949e-09
1928,5.713020723163709e-09,0.0
1929,1.5596569369336066e-08,0.0
1930,1.2604324695075775e-08,0.0
1931,1.2545892325022123e-08,0.0
1932,1.53433514782364e-08,1.0959536611565568e-09
1933,1.0323596200123575e-08,0.0
1934,1.0783422155213884e-08,0.0
1935,5.98414207075848e-09,1.196828414151696e-09
1936,9.699771652549316e-09,0.0
1937,1.3850230295986421e-08,0.0
1938,1.2965214679638848e-08,1.2965214457594243e-09
1939,2.4470480752825097e-08,0.0
1940,2.5357829613881222e-08,0.0
1941,8.854508237732261e-09,0.0
1942,1.2136847082899749e-08,3.034211770724937e-09
1943,4.935499831049128e-08,0.0
1944,9.639558484764166e-09,0.0
1945,1.089252066321933e-08,2.178504043826024e-09
1946,6.960552134671616e-09,1.3921104269343232e-09
1947,1.549713246618012e-08,0.0
1948,9.784699273041042e-09,0.0
1949,2.0615717133409817e-08,0.0
1950,7.444753258312176e-09,0.0
1951,2.4521224162299404e-08,1.0661401761424827e-09
1952,1.0544804140977249e-08,0.0
1953,5.386913581872932e-09,0.0
1954,7.818028890937967e-09,0.0
1955,3.754243138587299e-09,1.8771215692936494e-09
1956,1.1337483840634377e-08,0.0
1957,7.068030161150318e-09,8.835037701437898e-10
1958,1.3235589513271862e-08,0.0
1959,1.1626121398933265e-08,7.750747821333448e-10
1960,1.7302083321624195e-08,6.920833350854139e-10
1961,1.459113452284555e-08,0.0
1962,1.331810839388936e-08,0.0
1963,2.198458126656533e-08,1.2932106496776896e-09
1964,1.764350798794112e-08,1.2167936658258327e-09
1965,9.302473458205895e-09,5.472043373977442e-10
1966,1.2185964237687585e-08,2.215629901769489e-09
1967,1.2818872185960117e-08,0.0
1968,1.661823922916028e-08,0.0
1969,1.9075383050903838e-08,0.0
1970,1.3796174869185052e-08,1.3796175313274261e-09
1971,1.5415192677892264e-08,1.0276794970565106e-09
1972,1.3851396474251487e-08,0.0
1973,1.1577728109557484e-08,1.102640756478479e-09
1974,1.0688586016271984e-08,3.3753431161187564e-09
1975,9.138368284311582e-09,0.0
1976,1.428381679602353e-08,1.7140580066410394e-09
1977,1.23412418062685e-08,0.0
1978,1.128712323605896e-08,0.0
1979,5.851973128301324e-09,1.1703946700691858e-09
1980,1.193881615790815e-08,1.7055452605774235e-09
1981,1.5181319312773667e-08,1.8976649140967083e-09
1982,8.690503427999374e-09,0.0
1983,1.136756910824488e-08,6.315316047889041e-10
1984,1.2177918229383522e-08,5.799008495621649e-10
1985,1.4437339324047116e-08,0.0
1986,1.3787316177626963e-08,3.5966913891627428e-09
1987,3.0554083707556856e-09,1.2221633705067347e-09
1988,5.99655392008458e-09,0.0
1989,1.2073869015694072e-08,5.488122178931576e-10
1990,4.358920779878872e-09,1.089730194969718e-09
1991,1.992898113201136e-08,5.861465202094962e-10
1992,6.61193322315512e-09,1.1019888335184191e-09
1993,1.3294098266669607e-08,1.661762283333701e-09
1994,7.912389854425328e-09,1.0549853213248639e-09
1995,5.964695848348356e-09,1.626735190995987e-09
1996,5.871901187504136e-09,2.135236876199542e-09
1997,1.102825741838842e-08,0.0
1998,1.6688451509594415e-08,0.0
1999,1.1425503210205079e-08,1.8280804647829996e-09
2000,9.277866475088103e-09,4.4180314962005696e-10
2001,7.886181485616817e-09,1.3143635069212678e-09
2002,8.324320788233308e-09,8.76244299341522e-10
2003,1.0417307017007715e-08,1.2500769308587678e-09
2004,1.6297727611913615e-08,1.3214374039449694e-09
2005,1.8465373230469595e-08,4.5037495954858286e-10
2006,5.7650457740976435e-09,4.1178899179428186e-10
2007,1.4779574009082808e-08,1.1983438685803094e-09
2008,1.6178271167177627e-08,4.257439678578834e-10
2009,1.2874119548200724e-08,2.860915504498962e-09
2010,1.2754241218715379e-08,9.447586046817946e-10
2011,1.6825476123472072e-08,1.1471915639660324e-09
2012,1.6340413466764403e-08,1.0212758416727752e-09
2013,1.9802786965783525e-08,2.789125042035323e-10
2014,2.1221362445089653e-08,2.165445156521173e-09
2015,2.0835809522168347e-08,2.438232948875907e-09
2016,2.5063213726639333e-08,1.6570720351438695e-09
2017,1.5345229087415646e-08,2.515611330355938e-10
2018,2.2716907466246994e-08,1.8070267504555204e-09
2019,2.0918099252753564e-08,1.53059265262101e-09
