year,seriez_VERB au_ADP,seriez_VERB beau_ADV
1800,2.2009151834367913e-08,0.0
1801,8.810375362600098e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,1.3652374342143503e-08,0.0
1804,6.179627121127851e-08,0.0
1805,2.842877755426798e-08,2.842877711017877e-09
1806,4.3225035994964855e-08,0.0
1807,2.8469551160981155e-09,0.0
1808,3.3991110370834576e-08,0.0
1809,2.259030518203531e-09,0.0
1810,1.1700633351097167e-08,0.0
1811,2.0056614147279106e-08,0.0
1812,2.9339290108509886e-08,0.0
1813,3.163315653864629e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,8.091670444798638e-09,2.697223555614414e-09
1816,9.270415546325239e-09,0.0
1817,4.203558034987509e-08,0.0
1818,3.2187177367859476e-08,0.0
1819,3.726378139390363e-08,0.0
1820,4.390598107306687e-08,0.0
1821,2.859831660373402e-08,0.0
1822,1.7043547018147365e-08,0.0
1823,2.4706716672540097e-08,0.0
1824,3.705289586264371e-08,0.0
1825,5.0191026446100295e-08,0.0
1826,2.6423952803611428e-08,0.0
1827,1.1982455028203276e-08,0.0
1828,2.2930752408001354e-08,0.0
1829,3.3435387791769244e-08,0.0
1830,2.2961039292113128e-08,0.0
1831,1.091384405071949e-08,0.0
1832,2.976593194148336e-08,0.0
1833,2.7800709290204395e-08,0.0
1834,1.9602515166639023e-08,0.0
1835,9.832014313815307e-09,0.0
1836,2.8899226123257904e-08,0.0
1837,2.5744196108234974e-08,0.0
1838,1.1361890983607736e-08,0.0
1839,1.6080392128969834e-08,0.0
1840,1.7835128929277744e-08,6.369688665408546e-10
1841,9.630822361827995e-09,0.0
1842,2.2808102073668124e-08,0.0
1843,3.0125246297529884e-08,0.0
1844,1.6465683927435748e-08,0.0
1845,2.511102614732863e-08,4.464182357111213e-09
1846,2.985795788390533e-08,0.0
1847,1.5101026207275936e-08,0.0
1848,6.43617736884039e-09,4.02261068899179e-09
1849,8.379414495607307e-09,7.54147322368226e-09
1850,1.1541293254424545e-08,0.0
1851,1.0319102017319892e-08,6.449438760824933e-10
1852,1.9531636752390114e-08,0.0
1853,1.5527023222716707e-08,5.971931837933653e-10
1854,2.8056588163849483e-08,0.0
1855,4.086341576226005e-08,0.0
1856,1.9155599773057475e-08,0.0
1857,6.8341128311999455e-09,0.0
1858,8.31924928945682e-09,0.0
1859,7.638259802433822e-09,1.018434669930457e-09
1860,1.830873586072812e-08,0.0
1861,1.744906619194353e-08,4.715963730639317e-10
1862,2.5300723294208183e-08,0.0
1863,1.39849385405455e-08,0.0
1864,2.2535221688713136e-08,0.0
1865,2.165148416111151e-08,0.0
1866,1.556996132023869e-08,4.865612912574591e-10
1867,1.455843445796745e-08,9.7056229719783e-10
1868,7.903798504571569e-09,0.0
1869,3.613804011592947e-08,0.0
1870,1.6628741050794815e-08,0.0
1871,1.0621176826930423e-08,3.18635318130589e-09
1872,1.69325495846806e-08,0.0
1873,2.21482157058972e-08,0.0
1874,2.6885741633009275e-08,0.0
1875,1.5448122780981066e-08,0.0
1876,1.6928840551599933e-08,0.0
1877,2.3502300550148902e-08,6.184815992682502e-10
1878,1.872117572077059e-08,0.0
1879,3.0546626561545054e-08,0.0
1880,2.2462462112571302e-08,0.0
1881,1.1853263259808955e-08,0.0
1882,1.1979693681496428e-08,6.655385131892899e-10
1883,2.401348808689363e-08,0.0
1884,1.1222884843675729e-08,6.601696966868076e-10
1885,1.2891271161663553e-08,0.0
1886,7.744156427236248e-09,0.0
1887,1.1099172247952538e-08,0.0
1888,1.1413106904001324e-08,0.0
1889,6.265136742733546e-10,6.265136742733546e-10
1890,3.9326319978272295e-09,0.0
1891,1.784781566982474e-08,0.0
1892,8.775916882086676e-09,0.0
1893,4.926733243593162e-09,0.0
1894,8.822155450616265e-09,0.0
1895,1.1435367319734269e-08,0.0
1896,1.2973464080801023e-08,0.0
1897,5.2440420894583895e-09,0.0
1898,1.13167097914868e-09,0.0
1899,1.1607914629507832e-08,0.0
1900,1.245852754294674e-08,0.0
1901,1.1736351446245408e-08,5.588738916095792e-10
1902,2.455141867585553e-09,9.820567692386817e-10
1903,9.1803746826713e-09,0.0
1904,5.374625189347171e-10,1.6123875568041512e-09
1905,1.2901897328276846e-08,0.0
1906,1.1317205839134203e-08,5.144184522798412e-10
1907,1.2342823652033985e-08,0.0
1908,4.4202499438483756e-09,0.0
1909,6.0510818578052294e-09,5.500983557560346e-10
1910,1.2825961626106164e-08,0.0
1911,8.51259862599818e-09,0.0
1912,1.40654377034366e-08,0.0
1913,1.1666577037772186e-08,0.0
1914,6.696743604095445e-09,0.0
1915,4.712304768617059e-09,0.0
1916,3.2962386153911893e-09,0.0
1917,6.57985488317081e-09,0.0
