year,pas_ADV ôté_VERB,pas_ADV oté_VERB,pas_ADV fauté_VERB
1800,1.6978488304175698e-07,0.0,0.0
1801,2.09544069207368e-07,9.524730337773235e-09,0.0
1802,9.622712582313397e-08,2.2378401354217203e-09,2.2378401354217203e-09
1803,1.2092102963379148e-07,0.0,0.0
1804,2.4224138428508013e-07,0.0,0.0
1805,3.439882050315646e-07,0.0,0.0
1806,1.181484350354367e-07,0.0,0.0
1807,1.5942949005420815e-07,0.0,0.0
1808,1.450287356874469e-07,0.0,0.0
1809,1.965356517530381e-07,2.259030518203531e-09,0.0
1810,2.7145469516653975e-07,0.0,0.0
1811,1.6797415014480066e-07,2.5070767684098882e-09,0.0
1812,2.0004061695999553e-07,0.0,0.0
1813,1.581657897986588e-07,0.0,0.0
1814,1.9194730782601255e-07,3.1466771410748606e-09,0.0
1815,1.4565007688815967e-07,2.697223555614414e-09,2.697223555614414e-09
1816,9.502176112619054e-08,4.6352077731626196e-09,0.0
1817,1.4478922594207688e-07,1.556873407970727e-09,1.556873407970727e-09
1818,1.8000977775045612e-07,1.1921177378582115e-09,0.0
1819,1.9149442209709377e-07,0.0,0.0
1820,2.1478331291291397e-07,1.1866481131050932e-09,0.0
1821,3.0077538326622744e-07,0.0,1.97229765852569e-09
1822,2.817197923832282e-07,2.0051231786055723e-09,0.0
1823,2.67820809085606e-07,1.9765373782121287e-09,0.0
1824,1.6000113589598186e-07,8.421112696055388e-10,0.0
1825,1.9988355859368312e-07,8.805443041381977e-10,0.0
1826,2.30769188647173e-07,7.927186018719112e-09,0.0
1827,1.9448445698344585e-07,1.8434546111834038e-09,0.0
1828,2.5040381501639786e-07,9.172301251858528e-10,0.0
1829,1.7489279002802505e-07,1.714635211591542e-09,8.57317605795771e-10
1830,2.066493465235908e-07,0.0,0.0
1831,1.5903030714525812e-07,7.795603051974354e-09,0.0
1832,1.5559464827674674e-07,0.0,0.0
1833,2.1777221093088883e-07,0.0,0.0
1834,1.978920494138947e-07,9.334530925997342e-10,0.0
1835,1.6033746419452655e-07,7.563087933704082e-10,7.563087933704082e-10
1836,1.276942498407152e-07,1.3441500135158435e-09,0.0
1837,1.1550098832913136e-07,6.957890930081589e-10,1.3915781860163179e-09
1838,1.3318661729044834e-07,4.418513332993257e-09,6.312161904276081e-10
1839,1.6080393550055305e-07,2.0974426639952526e-09,0.0
1840,1.2611982924681797e-07,1.2739377330817092e-09,0.0
1841,1.1171754721317484e-07,6.420548537278137e-10,6.420548537278137e-10
1842,1.0599058697380315e-07,6.708265054555795e-10,0.0
1843,1.281799768548808e-07,1.1813822142769936e-09,5.906911071384968e-10
1844,1.2733461574043758e-07,5.488561272137815e-10,1.097712254427563e-09
1845,1.3950570121323835e-07,1.674068439427856e-09,0.0
1846,1.3933713205460663e-07,2.3418005312692003e-09,0.0
1847,1.5478552484182728e-07,1.6179670936367074e-09,0.0
1848,1.198738033281188e-07,4.02261068899179e-09,0.0
1849,1.1563592750007956e-07,5.027648741773305e-09,0.0
1850,1.3645882290802547e-07,2.0366988096043315e-09,0.0
1851,1.0577079478935048e-07,5.8044946626978344e-09,0.0
1852,1.3476828542025032e-07,1.9531636308300904e-09,0.0
1853,1.4392355751624564e-07,2.9859659189668264e-09,0.0
1854,1.1170678249072807e-07,1.0391328908454511e-09,5.195664454227256e-10
1855,1.422259146011129e-07,1.0613874223963649e-09,0.0
1856,1.0147290652184893e-07,5.177189232874468e-10,0.0
1857,1.2740738952743413e-07,1.9526036343364694e-09,0.0
1858,1.2283126693546365e-07,1.468102750479261e-09,4.893676019968041e-10
1859,9.67512931993042e-08,1.018434669930457e-09,5.092173349652285e-10
1860,1.6157459015175846e-07,6.408057362516928e-09,0.0
1861,1.3016060051995737e-07,4.715963730639317e-10,0.0
1862,1.3870217685507669e-07,3.162590411776023e-09,0.0
1863,1.238665987557397e-07,4.994620828036034e-10,0.0
1864,1.2753976363910624e-07,1.4384183844029508e-09,0.0
1865,1.25672741546623e-07,2.353422234868674e-09,0.0
1866,9.536601197623895e-08,9.731225825149181e-10,4.865612912574591e-10
1867,1.1937916610804677e-07,1.455843445796745e-09,4.85281148598915e-10
1868,7.903798859842937e-08,1.4819622196071691e-09,0.0
1869,1.1671610877783678e-07,0.0,1.4650557433881772e-09
1870,8.658413719331293e-08,1.7202146374017957e-09,0.0
1871,7.222400455475508e-08,1.0621177271019633e-09,0.0
1872,9.131482414659331e-08,6.047339295989218e-10,6.047339295989218e-10
1873,8.919146665675726e-08,1.7958013409646867e-09,0.0
1874,7.229277088072195e-08,3.5847653734322193e-09,0.0
1875,6.350894921069994e-08,5.1493745933939294e-09,0.0
1876,1.1185127135604489e-07,1.209202959984168e-09,6.04601479992084e-10
1877,9.091679231687522e-08,3.7108897066318036e-09,1.8554447978047506e-09
1878,7.911206267863236e-08,1.2078177347163432e-09,6.039088673581716e-10
1879,6.720257772485638e-08,4.887460214320072e-09,6.10932526790009e-10
1880,7.508879917850209e-08,0.0,0.0
1881,1.1295462343241525e-07,3.486253785656146e-09,0.0
1882,1.3843201429608598e-07,3.3276925659464496e-09,1.3310770263785798e-09
1883,9.289428248848708e-08,1.8958017378167824e-09,0.0
1884,6.271611852071146e-08,1.3203393933736152e-09,5.941527270181268e-09
1885,6.574548194748786e-08,2.5782542767416317e-09,0.0
1886,5.420909587883216e-08,2.5813854942491332e-09,3.872078213618124e-09
1887,7.63884173693441e-08,1.3057849246322917e-09,1.9586774424595887e-09
1888,5.326116436776829e-08,1.268122939990235e-09,1.268122939990235e-09
1889,6.515742256851809e-08,1.2530273485467092e-09,0.0
1890,4.9813337454907014e-08,2.6217545912032847e-09,0.0
1891,5.5455714687013824e-08,2.5496880162734215e-09,0.0
1892,5.4536059224119526e-08,4.387958441043338e-09,6.268512375839919e-10
1893,3.510297474917934e-08,6.158416554491453e-10,0.0
1894,4.4740929183717526e-08,1.8904617871129403e-09,1.8904617871129403e-09
1895,3.7315409429083957e-08,3.611168697403855e-09,6.018614495673091e-10
1896,4.1868904787634165e-08,2.948514543632541e-09,0.0
