year,avez_VERB été_VERB,avez_VERB eté_VERB,avez_VERB fêté_VERB
1800,3.4114184472855413e-06,3.144164484325529e-09,0.0
1801,4.46471722170827e-06,2.3811825844433088e-09,0.0
1802,3.2180141715798527e-06,6.713520406265161e-09,0.0
1803,3.4033419069601223e-06,0.0,0.0
1804,7.336453563766554e-06,2.4718509461507665e-09,0.0
1805,4.460475338419201e-06,0.0,0.0
1806,5.371431143430527e-06,1.4408345627714425e-08,0.0
1807,3.678266011775122e-06,5.693910232196231e-09,0.0
1808,2.898308594012633e-06,2.2660739951163578e-09,0.0
1809,3.4020999919448514e-06,0.0,0.0
1810,4.581968369166134e-06,0.0,0.0
1811,2.8355038921290543e-06,0.0,0.0
1812,3.1046304229676025e-06,2.6672082320544632e-09,0.0
1813,2.86999011223088e-06,0.0,0.0
1814,4.395908035803586e-06,3.1466771410748606e-09,0.0
1815,3.875910351780476e-06,0.0,0.0
1816,4.9480840971227735e-06,2.3176038865813098e-09,2.3176038865813098e-09
1817,3.677334916574182e-06,1.556873407970727e-09,0.0
1818,4.0663135223439895e-06,0.0,0.0
1819,4.046225512865931e-06,0.0,0.0
1820,4.557915417535696e-06,0.0,0.0
1821,6.281768037297297e-06,4.930744257336528e-09,0.0
1822,5.309566404321231e-06,0.0,0.0
1823,4.809903657587711e-06,9.882686891060644e-10,0.0
1824,3.854343503917335e-06,8.421112696055388e-10,0.0
1825,4.272400929039577e-06,0.0,0.0
1826,3.3258947951253504e-06,0.0,0.0
1827,3.3283572520304006e-06,9.217273055917019e-10,0.0
1828,4.0422332858724985e-06,3.668920500743411e-09,0.0
1829,3.6204521620675223e-06,0.0,0.0
1830,3.96182304029935e-06,0.0,0.0
1831,4.3437098611320835e-06,1.5591206103948707e-09,0.0
1832,4.251116479281336e-06,0.0,2.705993873419743e-09
1833,3.666218390208087e-06,0.0,2.3167257001688313e-09
1834,4.2733481677714735e-06,1.8669061851994684e-09,0.0
1835,5.298699306877097e-06,7.563087933704082e-10,0.0
1836,4.4188932406541426e-06,2.688300027031687e-09,0.0
1837,3.975043000536971e-06,2.0873671680021744e-09,0.0
1838,3.955831743951421e-06,0.0,0.0
1839,3.689401410156279e-06,2.0974426639952526e-09,0.0
1840,3.938378540624399e-06,6.369688665408546e-10,0.0
1841,4.051365976920351e-06,0.0,0.0
1842,3.77205742552178e-06,0.0,1.341653010911159e-09
1843,3.972397735196864e-06,5.906911071384968e-10,0.0
1844,4.204237939120503e-06,0.0,5.488561272137815e-10
1845,3.974238552473253e-06,1.1160455892778032e-09,5.580227946389016e-10
1846,3.7462953059730353e-06,2.9272506640865004e-09,0.0
1847,3.3982701097556856e-06,1.6179670936367074e-09,5.393223645455691e-10
1848,3.5744919841818046e-06,8.045221711050488e-10,0.0
1849,3.730515572897275e-06,0.0,4.1897072478036534e-09
1850,3.3714154596964363e-06,0.0,0.0
1851,3.547836286088568e-06,0.0,0.0
1852,3.6022847780259326e-06,0.0,6.510545436100301e-10
1853,3.7676918509532697e-06,5.971931837933653e-10,0.0
1854,4.14614032706595e-06,0.0,0.0
1855,3.6644401006924454e-06,5.306937111981824e-10,0.0
1856,4.3457325773488265e-06,0.0,0.0
1857,3.68846826859226e-06,4.881509085841174e-10,0.0
1858,4.196816462354036e-06,9.787352039936081e-10,9.787352039936081e-10
