year,quelques_DET îles_NOUN,quelques_DET iles_NOUN,quelques_DET fils_NOUN
1800,7.671761608207817e-07,3.458580977167003e-08,2.1380317960506545e-07
1801,1.1096311389735547e-06,6.667311325259107e-08,2.809795489611133e-07
1802,6.467358275585866e-07,4.699464284385613e-08,2.0811913259422e-07
1803,8.015894454871386e-07,5.460949736857401e-08,3.5886240712379447e-07
1804,8.552604526812502e-07,9.145848367531073e-08,1.408955092596642e-07
1805,4.832891951078722e-07,2.2743021688143017e-08,1.9331568146263578e-07
1806,3.1410192491421185e-07,1.4408345627714425e-08,1.440834545007874e-07
1807,6.177892508674176e-07,8.540865792383556e-09,1.0249038240317532e-07
1808,7.749973276460764e-07,9.064295980465431e-09,6.118399653587403e-08
1809,7.138536375350668e-07,2.936739762482432e-08,5.1957702140725814e-08
1810,3.8846104333245535e-07,3.510190094146992e-08,2.106114038724627e-08
1811,3.6603321529327104e-07,3.008491944456182e-08,3.760615285841595e-08
1812,4.214188962237131e-07,5.3344164641089264e-09,6.401299401659344e-08
1813,6.527933322786339e-07,2.0130190847567064e-08,1.00650957790549e-07
1814,2.769075950759259e-07,1.5733386149463513e-08,1.1013369771717407e-07
1815,3.7761128623969853e-07,2.4275012222574333e-08,1.0249449267085708e-07
1816,3.337349721022065e-07,2.3176038865813098e-08,4.4266235477152804e-07
1817,7.58197328032395e-07,5.2933695871004716e-08,2.724528371800261e-07
1818,5.626795589463995e-07,2.3842354535119625e-08,1.6570436400797917e-07
1819,4.864993479181123e-07,1.9666995143552413e-08,7.038713845108902e-08
1820,5.921374075512631e-07,2.966620371580575e-08,1.1154492529641402e-07
1821,4.5461460462803416e-07,9.861488403650753e-09,7.79057545141626e-08
1822,3.458837483094612e-07,2.3058916553964082e-08,1.303330066093622e-07
1823,4.0123709332817725e-07,4.150728605267773e-08,7.609668983832307e-08
1824,4.606348618096945e-07,3.705289497446529e-08,4.463189640091514e-08
1825,5.371320384028877e-07,2.377469621173134e-08,1.0918749016042284e-07
1826,7.759834321774406e-07,2.113916308665864e-08,1.1978858616146226e-07
1827,5.90827221258472e-07,4.4242909502667516e-08,9.493790997794349e-08
1828,5.796894502196892e-07,5.411657844067719e-08,9.630916270042533e-08
1829,4.946722569343365e-07,7.372931309923558e-08,1.208817792530681e-07
1830,5.395843976074843e-07,5.114049561605327e-08,1.4089729072352952e-07
1831,4.1940343287194537e-07,1.5591206325993312e-08,1.3720261904381914e-07
1832,4.356650065151513e-07,5.0060886991332154e-08,1.8130158707663213e-07
1833,8.305461882684995e-07,1.0077756618098732e-07,1.2626155410089268e-07
1834,4.2845498171573126e-07,5.8807546166050884e-08,1.894909757993446e-07
1835,4.931133474883609e-07,4.9160071569076536e-08,9.983276072489389e-08
1836,4.758291147766158e-07,4.032449923974113e-08,1.4852857921354712e-07
1837,4.2999767391194155e-07,4.5226292488820263e-08,1.530736062349547e-07
1838,4.532132287238255e-07,6.249040485073465e-08,1.4013000004808873e-07
1839,4.1039959697286577e-07,5.8728391039153394e-08,1.3074058546891365e-07
1840,3.9937946816337444e-07,6.560779208797385e-08,1.2930468473726364e-07
1841,3.158909738232296e-07,5.585877094205216e-08,1.476726101401482e-07
1842,3.300466300260041e-07,3.6224632182779715e-08,1.871605910253038e-07
