year,jeunes_ADJ oies_NOUN,jeunes_ADJ fois_NOUN
1800,2.2009151834367913e-08,0.0
1801,4.524246932646747e-08,0.0
1802,3.8043282302169246e-08,0.0
1803,1.950339223455444e-09,0.0
1804,7.4155526164076946e-09,0.0
1805,2.842877711017877e-09,0.0
1806,5.76333825108577e-09,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,6.952811659743929e-09,0.0
1817,0.0,0.0
1818,4.768470951432846e-09,0.0
1819,0.0,0.0
1820,1.0679833017945839e-08,0.0
1821,2.9584464655840748e-08,0.0
1822,1.0025615893027862e-08,0.0
1823,5.929612356680991e-09,0.0
1824,0.0,0.0
1825,4.4027217427355936e-09,0.0
1826,1.7615968683770689e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,5.503380862137419e-09,0.0
1829,2.571952872898464e-09,0.0
1830,7.305785310052215e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.705993873419743e-09,0.0
1833,4.6334514003376626e-09,1.1583628500844156e-09
1834,1.3068342852307069e-08,9.334530925997342e-10
1835,6.806779140333674e-09,0.0
1836,6.048674894287842e-09,0.0
1837,3.478945576063097e-09,0.0
1838,4.418513332993257e-09,0.0
1839,2.7965900706306e-09,0.0
1840,5.732719632334238e-09,0.0
1841,7.0626033910059505e-09,0.0
1842,8.720744570922534e-09,0.0
1843,4.1348376944583265e-09,0.0
1844,3.2931368743049916e-09,0.0
1845,2.7901139176833567e-09,0.0
1846,7.610851726624901e-09,0.0
1847,9.168480197274675e-09,0.0
1848,1.6090443422100975e-09,0.0
1849,2.3462361831150247e-08,0.0
1850,7.467895635215882e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,1.1067927019325907e-08,0.0
1853,7.1663179834757784e-09,0.0
1854,3.117398783558656e-09,0.0
1855,7.429711956774554e-09,0.0
1856,1.5531567143511893e-08,0.0
1857,2.440754598431738e-09,4.881509085841174e-10
1858,1.4681028059904122e-09,0.0
1859,5.092173349652285e-09,0.0
1860,3.204028820036342e-09,0.0
1861,1.4619487842537637e-08,0.0
1862,1.671654947799084e-08,0.0
1863,1.4983863039219614e-09,0.0
1864,3.835782358407869e-09,0.0
1865,6.118897832863013e-09,0.0
