year,trois_DET eaux_NOUN,trois_DET faux_ADJ
1800,9.432493897065797e-09,1.8864987794131594e-08
1801,8.096020565062645e-08,0.0
1802,1.1189200677108602e-08,4.475680270843441e-09
1803,2.3404069793286908e-08,7.801356893821776e-09
1804,1.730295728918918e-08,2.4718509461507665e-09
1805,2.842877755426798e-08,5.685755422035754e-09
1806,5.76333825108577e-09,1.4408345627714425e-08
1807,1.9928686256776018e-08,1.4234775136401367e-08
1808,2.2660739062985158e-08,0.0
1809,5.421673421324158e-08,0.0
1810,9.594519667643908e-08,9.360507036149102e-09
1811,7.019814773912003e-08,4.011322829455821e-08
1812,1.600324850414836e-08,3.467370746079723e-08
1813,3.738464116054274e-08,1.1502966579257645e-08
1814,4.090680150170556e-08,0.0
1815,3.506390555685357e-08,2.6972236000233352e-08
1816,2.3176038865813098e-09,3.244645441213834e-08
1817,2.1796227045456362e-08,3.113746815941454e-09
1818,2.6226590676969863e-08,1.907388358368678e-08
1819,1.2421260464634543e-08,1.8631890696951814e-08
1820,3.5599443393152796e-09,2.3732962262101864e-09
1821,5.9168927535324656e-09,6.903041693817613e-09
1822,2.7069162911175226e-08,1.604098542884458e-08
1823,7.609668595254249e-08,1.4824030003524058e-08
1824,5.221090049190025e-08,2.105278174013847e-08
1825,3.874394849390228e-08,3.698286188402733e-08
1826,2.906634755106552e-08,8.80798456392995e-09
1827,2.949527377893446e-08,8.295545583791863e-09
1828,4.219258542548232e-08,2.4765213879618386e-08
1829,2.8291481157793896e-08,3.1720752247110795e-08
1830,5.844628248041772e-08,1.982998876215447e-08
1831,4.053713453799901e-08,1.7150327380477393e-08
1832,3.111892965534935e-08,1.2176972319366541e-08
1833,5.21263281427764e-08,1.1583628278799551e-08
1834,3.733812370398937e-09,8.401078055442213e-09
1835,6.806779140333674e-09,9.832014313815307e-09
1836,1.6129799718100912e-08,8.06490002558391e-09
1837,5.5663127440652715e-09,1.3219992878177322e-08
1838,1.2624323364462953e-08,1.3886756633496589e-08
1839,1.8876983531868063e-08,9.088918062616358e-09
1840,5.732719632334238e-09,7.006657365415947e-09
1841,0.0,5.1364388298225094e-09
1842,1.8783142152756227e-08,1.542900918138912e-08
1843,4.843666989717832e-08,1.3585895519696578e-08
1844,1.8112252364588244e-08,2.7991662321369404e-08
1845,1.5066614622583074e-08,1.2834524221183585e-08
1846,1.6978054517835517e-08,1.9319854605015507e-08
1847,2.9662729161827883e-08,2.8584085320915165e-08
1848,2.333114323960217e-08,1.287235473768078e-08
1849,4.189707314417035e-08,1.1731181359664333e-08
1850,2.2403686017469226e-08,2.851378333446064e-08
1851,1.096404567135778e-08,1.9348316948608613e-08
1852,4.427170807730363e-08,1.6276363590250753e-08
1853,5.971931837933653e-09,1.3138249599364826e-08
1854,4.208488119106235e-08,1.4028294081924741e-08
1855,5.837630823180007e-08,1.1675261646360013e-08
1856,5.3842768188427925e-08,1.2942972915652717e-08
1857,2.0502338549110988e-08,1.1715622250108026e-08
1858,2.6425849952715907e-08,1.027671986397749e-08
1859,4.226503946824778e-08,1.4258085156981792e-08
1860,5.0806741119791e-08,1.1442959552132592e-08
1861,5.234719679947375e-08,2.263662679524714e-08
1862,5.737842562192341e-08,2.7559716397895784e-08
1863,4.9946207170137313e-08,1.8480096231066057e-08
1864,3.068625842317374e-08,4.2193607718843396e-08
1865,2.729969672543575e-08,2.0239431075541603e-08
1866,1.0217787504984699e-08,4.2330831284687065e-08
1867,4.610170911689693e-08,5.82337378318698e-09
1868,5.532658775564414e-08,1.6301584526701163e-08
1869,4.2974966696363026e-08,1.3185501579471293e-08
1870,3.268407855472333e-08,2.1789386295267832e-08
1871,1.3807530230280918e-08,5.310588635509816e-09
1872,4.898344840853497e-08,2.3584624031514068e-08
1873,8.021245889722195e-08,1.0176207432266438e-08
1874,3.823749850084823e-08,2.0313670745508716e-08
1875,3.833423067867159e-08,2.2886108452802034e-08
1876,7.37613781165436e-08,1.6928841217733748e-08
1877,8.844287080478352e-08,5.0097008097438334e-08
1878,6.03908887342186e-08,4.5897075418022126e-08
1879,5.742765785132775e-08,3.726688291294522e-08
1880,4.941741771347097e-08,2.0537108458285047e-08
1881,4.3229546664580454e-08,9.761510710859511e-09
1882,5.856738738430067e-08,2.861815628918407e-08
1883,4.170763850952497e-08,4.107570461542309e-08
1884,4.68720466884065e-08,3.366865364284877e-08
1885,6.896829862768072e-08,2.2559724865978126e-08
1886,4.711028545045792e-08,9.680196200179125e-09
1887,3.003305382165422e-08,2.285123557044244e-08
1888,2.346027505595316e-08,2.3460274833908557e-08
1889,7.2675589102289e-08,1.1903759755682586e-08
1890,5.636772321127026e-08,3.1461055094439416e-08
1891,7.585322059355804e-08,7.649063604731055e-09
1892,6.017771747579559e-08,1.2537024751679837e-08
1893,4.310891554837326e-08,9.853466487186324e-09
1894,4.348062221382065e-08,1.3233232287745977e-08
1895,2.1667012850556944e-08,1.3240951446391591e-08
1896,3.3613064720494634e-08,9.435246750566506e-09
1897,4.078699333831537e-08,1.689746942368231e-08
1898,1.4711722839955144e-08,2.3765089895988467e-08
1899,2.7085134135518274e-08,1.879376654301268e-08
1900,4.204752979131143e-08,2.5436160733249835e-08
1901,1.676621691482083e-08,2.1237207548097103e-08
1902,3.830021244599635e-08,2.6515532880466708e-08
1903,1.836074892125339e-08,4.320176216765503e-09
1904,3.117282698639201e-08,1.2361637935498493e-08
1905,2.4255568054076804e-08,1.3417973399043603e-08
1906,1.4403717052413612e-08,7.2018581098731715e-09
1907,1.7999951751335175e-08,8.742834012309686e-09
1908,2.2592390180875555e-08,1.3260750719723546e-08
1909,2.6954820153690662e-08,1.5402754627302784e-08
1910,1.6566866989364826e-08,1.3360376693860587e-08
1911,1.1704823332792103e-08,1.5429085564733214e-08
1912,2.7609931674277277e-08,1.0418842677495377e-08
1913,1.3787773367468503e-08,2.7575547179026216e-08
1914,1.004511551716547e-08,1.2723813391790628e-08
1915,5.890381071793627e-09,5.890381071793627e-09
1916,8.789969641043172e-09,3.076489463182952e-08
1917,1.7546279096336548e-08,1.9739564316445524e-08
1918,1.9526838812566893e-08,2.412139110674616e-08
1919,1.6574126959767455e-08,5.524709190130039e-09
1920,2.4231140649533245e-08,1.3630017559052021e-08
1921,1.8931869016913794e-08,1.817459427400081e-08
1922,3.3938504784281065e-08,1.6969252392140532e-08
1923,1.3800732556745743e-08,1.8047112249064412e-08
1924,1.2891624545652292e-08,1.1602462102189293e-08
1925,1.3197813952814386e-08,1.6497267552040284e-08
1926,2.452150482668003e-08,1.560459372829115e-08
1927,1.3379070296082318e-08,2.5643216883253217e-08
1928,9.14083297942625e-09,1.1426041335305115e-08
1929,3.119313873867213e-08,7.798284684668033e-09
1930,2.520864939015155e-08,1.2604324695075775e-08
1931,2.3951248984133144e-08,1.710803587684495e-08
