year,autres_ADJ âmes_NOUN,autres_ADJ ames_NOUN,autres_ADJ femmes_NOUN
1800,1.8864987794131594e-08,3.144164395507687e-08,1.3802881539959344e-06
1801,2.3811825844433088e-09,2.3811825400343878e-08,1.904946088870929e-06
1802,1.3427040812530322e-08,1.0070280609397742e-07,1.8820235254679574e-06
1803,5.851017448321727e-09,3.510610468993036e-08,1.5661223642382538e-06
1804,9.887403784603066e-09,3.460591457837836e-08,1.975008899535169e-06
1805,8.528632911009026e-09,2.55858996212055e-08,1.5351539559560479e-06
1806,2.305335300434308e-08,2.5935023018064385e-08,2.0748018414451508e-06
1807,1.7081731584767113e-08,3.131650672116848e-08,1.531661837361753e-06
1808,2.2660739951163578e-09,5.891792298484688e-08,1.8219235471406137e-06
1809,0.0,9.262024946998793e-08,1.7620437802179367e-06
1810,1.4040760554223652e-08,1.0530570282440976e-07,1.6521295265192748e-06
1811,2.5070768572277302e-08,5.766276700569506e-08,2.0783666059287498e-06
1812,2.1337665856435706e-08,1.0935553973467904e-07,1.701678797871864e-06
1813,2.5881675469463516e-08,8.052076339026826e-08,2.0158950064796954e-06
1814,6.293354282149721e-09,5.034683425719777e-08,9.440031476515287e-07
1815,1.6183340889597275e-08,7.282503844407984e-08,1.28387841868971e-06
1816,2.1785476178592944e-07,5.5622493277951435e-08,1.5203481780190486e-06
1817,4.514932783195036e-08,8.251429051142622e-08,1.128733174482477e-06
1818,2.6226590676969863e-08,7.033494608954527e-08,1.709496814328304e-06
1819,8.280839836061205e-08,6.003609342997152e-08,1.4770948837394826e-06
1820,9.8491796052258e-08,6.407899544313977e-08,1.7989585785471718e-06
1821,4.832129363308013e-08,8.480879720718093e-08,2.1320538508007303e-06
1822,1.1529458276982041e-07,5.213320264374488e-08,1.91589515452506e-06
1823,5.5343047478118024e-08,4.15072847204101e-08,1.5357695701823104e-06
1824,6.231623217445303e-08,2.4421225930382207e-08,1.5275898022082401e-06
1825,9.245714949202011e-08,5.723537910284904e-08,1.8878870378102874e-06
1826,2.7304752237000685e-08,3.170874407487645e-08,1.5008805576144368e-06
1827,5.346018383534101e-08,4.2399456390285195e-08,1.3116180070937844e-06
1828,4.4027046897099353e-08,4.861319524707142e-08,1.563877390253765e-06
1829,4.4580517055692326e-08,5.658296231558779e-08,1.4377216075445176e-06
1830,4.905312778191728e-08,3.444155893816969e-08,1.6323210729751736e-06
1831,5.456922025359745e-08,1.138158063351824e-07,1.4686916074424516e-06
1832,4.6001897402447867e-08,4.6001897402447867e-08,1.4937086234567687e-06
1833,6.255159235024621e-08,7.29768601104297e-08,1.8093627431881032e-06
1834,9.427876079826092e-08,1.2134890314818847e-07,1.5327299252021476e-06
1835,6.882410019670715e-08,7.865611451052246e-08,1.993629894059268e-06
1836,1.25005954032531e-07,9.677879830860547e-08,1.7635247786529362e-06
1837,9.949783930096601e-08,4.87052354003481e-08,1.686592781879881e-06
1838,8.584540012179787e-08,1.64116205070286e-08,1.740263087413041e-06
1839,8.040196775027653e-08,5.1037767900830033e-08,1.559798079142638e-06
1840,1.0382592563473736e-07,2.8663599493938818e-08,1.683508685346169e-06
1841,1.8105946253399452e-07,7.640452803769904e-08,1.4664533409813885e-06
1842,2.2741018312899541e-07,3.8237111255057243e-08,1.7106075347328442e-06
1843,2.002442869297738e-07,2.953455624510326e-08,1.4253375866246643e-06
1844,1.9758820712922898e-07,3.0187087551869496e-08,1.589487396813638e-06
1845,2.4329793291144597e-07,1.7298706134205588e-08,1.6539795524295187e-06
1846,2.534999055114895e-07,3.219975797108532e-08,1.5754462765471544e-06
1847,9.707802917091612e-08,2.6966118227278457e-09,1.1865091664731153e-06
1848,1.078059739256787e-07,2.413566591030758e-08,1.5261786074916017e-06
1849,1.944024319300297e-07,2.0948537127196687e-08,1.1044069196941564e-06
1850,1.0862393651223101e-07,1.3577992064028876e-08,1.1799274943768978e-06
1851,1.3221350059211545e-07,5.159551008659946e-09,1.3234248399385251e-06
1852,2.1159272023396625e-07,1.0416872697760482e-08,1.3118749393470353e-06
1853,2.0662884026023676e-07,4.180352286553557e-09,1.815467271626403e-06
1854,2.3276577110209473e-07,1.0910894965299178e-08,1.4303664102044422e-06
1855,2.297903733960993e-07,3.1841622671890946e-09,1.8043585896521108e-06
