year,anciens_ADJ airs_NOUN,anciens_ADJ fers_NOUN
1800,3.144164484325529e-09,9.432493897065797e-09
1801,9.524730337773235e-09,0.0
1802,4.475680270843441e-09,2.2378401354217203e-09
1803,4.290746247193056e-08,1.5602713787643552e-08
1804,1.4831105232815389e-08,7.4155526164076946e-09
1805,5.685755422035754e-09,0.0
1806,5.76333825108577e-09,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,1.8128591960930862e-08,0.0
1809,0.0,0.0
1810,6.786367379163494e-08,0.0
1811,7.521229861140455e-09,0.0
1812,2.6672083208723052e-08,1.3336041604361526e-08
1813,1.4378708002027452e-08,0.0
1814,3.1466772298927026e-08,0.0
1815,2.697223555614414e-09,5.394447111228828e-09
1816,6.952811659743929e-09,0.0
1817,2.1796227045456362e-08,7.784366928831332e-09
1818,1.5497530370112145e-08,0.0
1819,5.175524897538253e-09,0.0
1820,2.4919611263385377e-08,0.0
1821,1.3806083387635226e-08,6.903041693817613e-09
1822,1.9048670196752937e-08,0.0
1823,1.087095569118901e-08,0.0
1824,2.7789671008804362e-08,1.6000115010683658e-08
1825,2.1133063299316746e-08,1.7610886082763955e-09
1826,1.9377566218281572e-08,2.642395191543301e-09
1827,1.1060727445055818e-08,1.1982455028203276e-08
1828,1.559291185060374e-08,9.172301251858528e-10
1829,1.8860987438529264e-08,5.143905745796928e-09
1830,5.322786122974321e-08,0.0
1831,4.677361609140007e-09,0.0
1832,4.058990921151917e-09,0.0
1833,1.2741991128883967e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,3.554651328840919e-08,9.832014313815307e-09
1836,1.8146025126952736e-08,4.704525213838906e-09
1837,2.2265251753417203e-08,1.3915781860163179e-09
1838,5.870310459954453e-08,5.049729523420865e-09
1839,4.4046294611632675e-08,4.194885327990505e-09
1840,6.369688665408546e-09,7.64362617644565e-09
1841,1.0914932957462042e-08,6.420548537278137e-09
1842,6.037438549100216e-09,5.366612043644636e-09
1843,1.7720733325177207e-08,5.906911071384968e-10
1844,2.5796238034558883e-08,5.488561272137815e-10
1845,1.1160455670733427e-08,2.7901139176833567e-09
1846,2.1661655580373917e-08,6.439951683034906e-09
1847,9.168480197274675e-09,8.089835468183537e-09
1848,8.84974404868899e-09,8.04522137798358e-09
1849,7.54147322368226e-09,6.703531951757213e-09
1850,1.3577992064028876e-08,6.1100964288129944e-09
1851,2.1283147688677673e-08,3.2247193804124663e-09
1852,1.9531636752390114e-08,0.0
1853,2.329053394589664e-08,1.1943863675867306e-09
1854,3.221311928314208e-08,5.195664343204953e-09
1855,7.429711956774554e-09,1.2205955357558196e-08
1856,1.2425253714809514e-08,1.5531567809645708e-08
1857,2.001418764052687e-08,2.928905395993553e-09
1858,1.7127865348243176e-08,9.29798454896158e-09
1859,2.2405561850291633e-08,6.619825576592575e-09
1860,2.013960886948496e-08,5.034902272882391e-09
1861,8.017138064531082e-09,7.545541969022906e-09
1862,2.2589931703009825e-08,1.1746764505549123e-08
1863,2.996772441310469e-09,1.9978483312144135e-09
1864,1.2945765348604255e-08,2.301469448351412e-08
1865,5.177528628053096e-09,3.247722724086799e-08
1866,2.0435575009969398e-08,1.8002767276925624e-08
1867,2.814630661873707e-08,1.164674756637396e-08
1868,2.420538258718352e-08,9.38576083520104e-09
1869,2.0999133099053324e-08,1.1720445947105418e-08
1870,9.747882501187632e-09,6.880858549607183e-09
1871,1.2745412503178954e-08,4.248470908407853e-09
1872,1.3304146229131675e-08,6.047339518033823e-09
1873,8.979006316245375e-09,1.3767810003173508e-08
1874,3.465273329394947e-08,1.0156835372754358e-08
1875,4.577221712764867e-09,9.7265964171811e-09
1876,3.264847947548333e-08,1.1487427897804992e-08
1877,3.772737733331866e-08,1.9791411176584006e-08
1878,3.019544392302009e-08,1.0266450800600069e-08
1879,1.9549840857280287e-08,1.221865097988939e-08
1880,7.059631101924424e-09,1.2193907661384173e-08
1881,1.1853263259808955e-08,4.8807553554297556e-09
1882,1.1979693681496428e-08,5.324308105514319e-09
1883,2.717315822353683e-08,2.5277355764075082e-09
1884,2.178559910248623e-08,7.2618666635548834e-09
1885,1.6114089618213256e-08,1.0313017162477678e-08
1886,4.58195934527339e-08,1.2906927859823725e-08
1887,2.6768591565584643e-08,1.0446279397058333e-08
1888,1.7119660356001987e-08,1.268122939990235e-08
1889,1.4409814674820609e-08,2.3181005281980305e-08
1890,1.2453334363726754e-08,1.8352281472289178e-08
1891,8.286486163910922e-09,1.2748440081367107e-09
1892,5.01480967862733e-09,1.3790727226847821e-08
1893,5.542574899042307e-09,6.7742583209629e-09
1894,3.150769600779313e-08,1.0082462864602348e-08
1895,7.824199066419624e-09,9.629782748987736e-09
1896,7.076434549446731e-09,5.897029087265082e-09
1897,1.4566783779201842e-08,6.992056378329892e-09
1898,7.3558613644664206e-09,1.4145887239358501e-08
1899,2.3768587098516036e-08,9.949641111006713e-09
1900,9.34389543516545e-09,4.671947717582725e-09
1901,1.1736351446245408e-08,7.824234427022958e-09
1902,9.820567470342212e-09,2.11142202610759e-08
1903,9.180374460626695e-09,2.3220947387159185e-08
1904,6.449550227216605e-09,6.449550227216605e-09
1905,1.3934049469810361e-08,1.8062656703676794e-08
1906,9.773950537805831e-09,8.230695347499761e-09
1907,2.3657079850636364e-08,1.2857108044883603e-08
1908,7.367083831866239e-09,1.5716445034286153e-08
1909,1.320236009405562e-08,8.25147539185167e-09
1910,2.3514263869373053e-08,8.550640973048473e-09
1911,1.5429085564733214e-08,3.7242618988742038e-09
1912,1.4586379215586476e-08,1.146072631241779e-08
1913,2.333315407554437e-08,9.545381596254288e-09
1914,2.0090231700464756e-08,5.357394972094198e-09
1915,1.4136913861761968e-08,2.0027294933555595e-08
1916,9.888715624128963e-09,5.493731025651982e-09
1917,6.57985488317081e-09,1.0966424435210342e-08
1918,8.040463406189247e-09,5.743188147278033e-09
1919,8.287063479883727e-09,3.6831394045755417e-09
1920,1.8930579770426448e-08,1.5144463905159e-08
1921,1.5145495524393482e-08,6.8154727417280014e-09
1922,1.2542490601674672e-08,4.426761346376651e-09
1923,1.1677542488541803e-08,9.554353308516284e-09
1924,7.734974438733389e-09,5.156649662829693e-09
1925,1.6497267552040284e-08,7.698724324711748e-09
1926,1.0031524944054127e-08,3.3438415369957397e-09
1927,2.4528294062520217e-08,5.574612327308159e-09
1928,1.9424270192303084e-08,4.570416489713125e-09
1929,8.912325322185666e-09,2.2280812750352652e-09
1930,1.575540553577781e-08,6.3021621254932825e-09
1931,2.737285687004487e-08,5.7026783295555106e-09
1932,1.6439305028370654e-08,5.4797684168050864e-09
1933,1.1470662641954732e-08,2.2941324395731044e-09
1934,9.585264137967897e-09,1.1981580172459871e-09
1935,9.574627313213568e-09,4.787313656606784e-09
1936,9.699771208460106e-09,0.0
1937,8.813782592653752e-09,5.0364472592434595e-09
1938,7.779128452511941e-09,6.482607339819424e-09
1939,1.070583532936098e-08,6.117620188206274e-09
1940,7.607348528892999e-09,2.5357829169792012e-09
1941,2.6563522936839945e-08,0.0
1942,1.517105907566929e-08,1.2136847082899749e-08
1943,1.7419411690866582e-08,5.806470415592457e-09
1944,1.2852744646352221e-08,0.0
1945,8.714016175304096e-09,2.178504043826024e-09
1946,2.7842208538686464e-09,8.352662561605939e-09
1947,2.3841741914054637e-09,5.960435700558264e-09
1948,2.174377566888097e-09,3.2615663503321457e-09
1949,8.835307596655184e-09,4.908504158684934e-09
1950,9.571825110299415e-09,2.1270722960764488e-09
1951,9.595261474260042e-09,7.462981121975076e-09
1952,7.381362854275153e-09,4.2179215675730575e-09
1953,1.0773827385790469e-09,1.0773827163745864e-08
1954,1.07497895029951e-08,5.863521668203475e-09
1955,4.6928039232341234e-09,1.8771215692936494e-09
1956,5.232684729961079e-09,2.616342476002842e-09
1957,1.0602045130703175e-08,5.301022731885041e-09
1958,6.617794756635931e-09,8.272243445794913e-10
1959,6.975672928177801e-09,1.5501495642666896e-09
1960,1.1765417085030094e-08,3.460416619915918e-09
1961,7.64297514166401e-09,6.948159270159238e-10
1962,9.512934440181198e-09,1.9025869768540815e-09
1963,9.052474325699222e-09,6.466053248388448e-10
1964,1.2776333768727e-08,2.433587276140514e-09
1965,1.2585700037703873e-08,2.736021686988721e-09
1966,7.200797291773142e-09,1.1078149508847446e-09
1967,4.437302081328198e-09,1.9721342336964653e-09
1968,1.392338955241712e-08,6.287982134978165e-09
1969,1.317109776799441e-08,6.812636621500445e-09
1970,7.3579600190498695e-09,4.598724956395017e-09
1971,1.2332153964678128e-08,2.0553589941130213e-09
1972,1.898154339263769e-08,3.0780880067027283e-09
1973,5.513203671370093e-09,2.756601946707349e-09
1974,4.500457340128605e-09,1.6876715580593782e-09
1975,3.4268881066168433e-09,3.4268881066168433e-09
1976,5.713526984862938e-09,4.570821499072508e-09
1977,5.876781727920388e-09,3.526069214387917e-09
1978,1.4257419356233925e-08,1.1881182704343018e-09
1979,2.3407893401383717e-09,2.925986564150662e-09
1980,2.2740602734216964e-09,2.2740602734216964e-09
1981,1.8976649140967083e-09,0.0
1982,3.724501262958313e-09,6.2075020679230875e-09
1983,4.4207211225000265e-09,3.157658134966823e-09
1984,5.799008495621649e-09,2.8995041922996734e-09
1985,1.0226448909911312e-08,1.8046674155058895e-09
1986,5.994485352545098e-09,1.1988970927134801e-09
1987,4.888653482026939e-09,6.110816852533674e-10
1988,2.398621523624911e-09,1.798966087207532e-09
1989,8.232182935330457e-09,4.390497743145261e-09
1990,5.448650863826288e-09,2.179460389939436e-09
1991,4.103025752488776e-09,5.861465202094962e-10
1992,2.7549720282848966e-09,2.7549720282848966e-09
1993,3.323524400133948e-09,1.1078414852150331e-09
1994,3.6924485691258724e-09,2.637463358823311e-09
1995,8.133675954979935e-09,5.964695848348356e-09
1996,9.074756945892659e-09,2.6690460952494277e-09
1997,4.315405033317177e-09,4.79489448146353e-10
1998,5.2449422582867555e-09,1.43043876743576e-09
1999,8.226361730701015e-09,2.7421207526856506e-09
2000,3.5344251969604557e-09,2.6508188977203417e-09
2001,7.886181485616817e-09,0.0
2002,3.9430991805033955e-09,1.3143663935011318e-09
2003,2.9168461535000745e-09,2.083461403401543e-09
2004,6.607186797680242e-09,2.642874724623212e-09
2005,4.503749373441224e-09,1.3511248786457486e-09
2006,2.8825228870488218e-09,2.0589450144825605e-09
2007,3.1955835755326234e-09,2.3966877371606188e-09
2008,1.2772318758180745e-09,4.257439678578834e-10
2009,5.721831008997924e-09,0.0
2010,5.196172381261022e-09,4.723793023408973e-10
2011,4.5887662558641296e-09,1.1471915639660324e-09
2012,7.148930780687124e-09,1.7021263287730903e-09
2013,4.462600067256517e-09,1.952387529424726e-09
2014,8.012147389990787e-09,1.7323561474213989e-09
2015,1.0196246513771712e-08,1.329945265027277e-09
2016,8.28536009245262e-09,4.349813981230355e-09
2017,4.2765391228272165e-09,1.2578056374223934e-09
2018,4.130346731301415e-09,1.0325866828253538e-09
2019,7.397864543179367e-09,2.806086474294034e-09
