year,des_DET autos_NOUN,des_DET photos_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,7.801356893821776e-09,0.0
1804,1.9774807569206132e-08,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.039466551195801e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,0.0,0.0
1811,1.2535384286138651e-08,0.0
1812,0.0,2.6672082320544632e-09
1813,2.8757416004054903e-08,0.0
1814,0.0,0.0
1815,5.394447111228828e-09,0.0
1816,0.0,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,0.0
1819,5.175524897538253e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,9.86148829262845e-10,0.0
1822,5.012807946513931e-09,0.0
1823,1.087095569118901e-08,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,8.80798456392995e-09,0.0
1827,7.373818444733615e-09,0.0
1828,1.8344602503717056e-09,0.0
1829,5.143905745796928e-09,8.57317605795771e-10
1830,0.0,1.0436835840010872e-09
1831,3.897801548191637e-08,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,2.2689263801112247e-09,0.0
1836,4.704525213838906e-09,0.0
1837,1.1828414692161004e-08,0.0
1838,5.680945491803868e-09,0.0
1839,8.3897702118918e-09,0.0
1840,0.0,0.0
1841,2.5682194149112547e-09,6.420548537278137e-10
1842,1.2745703603656011e-08,6.708265054555795e-10
1843,1.8902115872521108e-08,0.0
1844,2.195424508855126e-09,0.0
1845,7.254296274794569e-09,0.0
1846,1.7563503984519002e-09,0.0
1847,7.550513103637968e-09,0.0
1848,1.126331028444838e-08,0.0
1849,1.6758829879393033e-09,1.6758829879393033e-09
1850,6.1100964288129944e-09,0.0
1851,3.2247193804124663e-09,0.0
1852,7.812654523320361e-09,0.0
1853,1.7915795513800958e-09,5.971931837933653e-10
1854,3.117398617025202e-09,0.0
1855,5.837630823180007e-09,0.0
1856,3.106313539724681e-09,2.070875637638636e-09
1857,8.78671624349181e-09,9.763018171682347e-10
1858,2.936205500958522e-09,1.957470352476065e-09
1859,7.129042689513199e-09,0.0
1860,9.154367819341758e-10,0.0
1861,6.130752905342263e-09,0.0
1862,4.066187719864445e-09,0.0
1863,2.996772441310469e-09,1.4983863039219614e-09
1864,1.5343129766698382e-08,2.397363974004918e-09
1865,6.118897610818408e-09,4.706844358715045e-10
1866,0.0,0.0
1867,1.94112459439566e-09,0.0
1868,1.2349684830326169e-08,2.4699371437009177e-09
1869,5.860222973552709e-09,0.0
1870,5.676708303425926e-08,0.0
1871,9.55905954391767e-09,0.0
1872,6.047339518033823e-09,0.0
1873,9.57760748487857e-09,5.986004469882289e-10
1874,1.6728906260254917e-08,0.0
1875,3.4329162845736505e-09,0.0
1876,1.209202959984168e-09,1.813804439976252e-09
1877,3.0924081073635534e-09,6.184815992682502e-10
1878,8.454724254036705e-09,0.0
1879,1.2829583173612491e-08,6.10932526790009e-10
1880,8.343200352811664e-09,6.417846254436199e-10
1881,4.8807553554297556e-09,0.0
1882,1.3310770263785798e-09,6.655385131892899e-10
1883,1.895801682305631e-09,1.2638677882037541e-09
1884,7.2618666635548834e-09,0.0
1885,3.86738152613475e-09,6.445635691854079e-10
1886,7.744156427236248e-09,0.0
1887,8.48760173255414e-09,6.528924623161458e-10
1888,1.268122939990235e-09,4.4384300679212174e-09
1889,1.8795410228200637e-09,0.0
1890,3.932631831293776e-09,0.0
1891,4.461953917456185e-09,1.9122659011827636e-09
1892,5.014809900671935e-09,1.002961980134387e-08
1893,3.0792083327568776e-09,3.079208221734575e-09
1894,0.0,1.8904617871129403e-09
1895,3.611168697403855e-09,0.0
1896,2.358811590497112e-09,1.2973463414667208e-08
1897,1.5149455578900017e-08,5.826713556089658e-10
1898,8.487532454637403e-09,2.26334195829736e-09
1899,4.9748205555033564e-09,1.6582735185011188e-09
1900,6.2292638824956725e-09,4.15284251431558e-09
1901,1.1177477832191585e-09,9.500856101851696e-09
