year,son_DET être_NOUN,son_DET etre_NOUN,son_DET maître_NOUN
1800,2.867477943091501e-06,7.545995117652637e-08,2.2301558772142016e-05
1801,2.0144803585253612e-06,2.6193008650921e-08,1.979953293584913e-05
1802,1.873072136504561e-06,2.4616241489638924e-08,2.064855155481382e-05
1803,1.8937793759832289e-06,2.1453731902099094e-08,2.0973948124947128e-05
1804,1.530075767419703e-06,1.4831105232815389e-08,2.5474895096522232e-05
1805,1.4640819718803044e-06,1.9900143755080535e-08,2.610614598097527e-05
1806,1.7923981499023967e-06,3.515636342044104e-07,2.5652617750893114e-05
1807,1.7224078767696938e-06,1.679703558465917e-07,2.4381323953548417e-05
1808,1.796996627945191e-06,1.427626554750816e-07,2.6542524494743702e-05
1809,1.5451768966556756e-06,1.3554183553310395e-08,2.4381715718391206e-05
1810,1.946985539458268e-06,4.680253518074551e-09,3.030464080211459e-05
1811,9.802670319913886e-07,6.016984377410495e-08,3.192260743389852e-05
1812,1.5789872818139372e-06,5.3344164641089264e-09,2.591192739487269e-05
1813,1.6017880604124457e-06,8.627224934443234e-09,2.843245690087315e-05
1814,1.4411780813183839e-06,3.1466771410748606e-09,2.3924185796886377e-05
1815,1.623728625110843e-06,8.091670666843243e-09,2.3099022030237393e-05
1816,2.1576891171548596e-06,1.3905623319487859e-08,2.303698289551903e-05
1817,2.6030923017117402e-06,2.6466847935502358e-08,2.4357283820108933e-05
1818,2.3592010522932583e-06,2.5034472272977837e-08,2.5264551851478245e-05
1819,2.595008318451164e-06,2.6912730377581795e-08,3.0690862999449564e-05
1820,2.8337156896540705e-06,1.7799721696576398e-08,2.664380933481425e-05
1821,2.7444521686348367e-06,1.6764529986446064e-08,2.9400054771144823e-05
1822,2.259773722812497e-06,2.0051231786055723e-08,2.8346426134362446e-05
1823,1.91131161297875e-06,7.906149623870817e-09,3.5542094934726265e-05
1824,1.8854871157714115e-06,2.189489212156559e-08,2.7960620244016354e-05
1825,2.019088100269073e-06,4.75493933116411e-08,2.9149538718797885e-05
1826,2.0733996195509974e-06,1.3211976401805714e-08,2.7332937236224097e-05
1827,1.618553163496017e-06,6.452091028119611e-09,2.391421530489879e-05
1828,1.9619551541727454e-06,3.393751529801037e-08,2.5770498439214862e-05
1829,1.9135328970243393e-06,5.143905579263475e-09,2.8174028216199076e-05
1830,2.5173648454668296e-06,8.349468672008697e-09,2.58342989383209e-05
1831,1.82884849753151e-06,4.677361831184612e-09,2.130226521046552e-05
1832,2.0579083283012167e-06,1.3529969367098715e-09,2.3377081475928208e-05
1833,2.807871473109458e-06,2.085053130151948e-08,2.1886107930413345e-05
1834,2.544593034059517e-06,1.9602515166639023e-08,2.0143918391113402e-05
1835,2.2636321332925036e-06,5.294161553592858e-09,2.5516346596532458e-05
1836,2.7192155229727177e-06,9.409050205633207e-09,2.4398338950959442e-05
1837,2.5772027427706234e-06,9.045258542172974e-09,2.5592513779315595e-05
1838,2.148659874023906e-06,6.312161904276081e-09,2.5438012386302944e-05
1839,2.3001953906032213e-06,1.1885507356090841e-08,2.3686419012847182e-05
1840,2.7370552100336454e-06,1.465028409697311e-08,2.3358285815788804e-05
1841,3.1030512013252576e-06,1.6051371343195342e-08,2.15910199017344e-05
1842,3.671433542962177e-06,1.2745703603656011e-08,2.4311424027700923e-05
1843,3.5896298520299297e-06,2.362764500718484e-08,2.2033959979239626e-05
