year,pouvant_VERB être_VERB,pouvant_VERB etre_VERB,pouvant_VERB mettre_VERB
1800,3.3233818612643518e-06,6.288328968651058e-09,9.432493897065797e-09
1801,3.6384469694894506e-06,2.3811825844433088e-09,3.809892135109294e-08
1802,3.6208252822689246e-06,1.1189200677108602e-08,9.622712582313397e-08
1803,3.163450173815363e-06,5.851017448321727e-09,2.5354410126965377e-08
1804,3.7275513022905216e-06,1.730295728918918e-08,1.4831105232815389e-08
1805,4.051100859214785e-06,8.528632911009026e-09,2.842877755426798e-08
1806,3.725998112713569e-06,2.881669125542885e-09,9.797675204481493e-08
1807,4.990712113794871e-06,1.4234775136401367e-08,8.256169792275614e-08
1808,3.995088263764046e-06,1.1330369531492579e-08,9.970725756147658e-08
1809,3.9284541344386525e-06,0.0,2.710836710662079e-08
1810,4.490703304327326e-06,1.8721014072298203e-08,3.978215445954447e-08
1811,3.941124759876402e-06,0.0,4.763445815569867e-08
1812,4.307541075831978e-06,8.00162425207418e-09,5.067695596494559e-08
1813,4.891636763204588e-06,1.4378708002027452e-08,4.601186631703058e-08
1814,4.2889209908025805e-06,9.440030979135372e-09,3.4613449884091096e-08
1815,4.337135578680318e-06,2.697223555614414e-09,3.506390555685357e-08
1816,4.5517740545619745e-06,2.3176038865813098e-09,5.7940098940889584e-08
1817,4.057212208863348e-06,0.0,3.89218364205135e-08
1818,3.7492102364922175e-06,3.5763532135746345e-09,7.987188865854478e-08
1819,4.0493309825251345e-06,8.280840013696888e-09,4.6579724966022695e-08
1820,3.7225152027531294e-06,3.5599443393152796e-09,1.0086508694939766e-07
1821,3.948539870179957e-06,2.9584463767662328e-09,5.818278125957477e-08
1822,3.737549604920787e-06,6.015369535816717e-09,4.912551787583652e-08
1823,3.754432782443473e-06,4.941343334508019e-09,1.1958050549765176e-07
1824,3.979817847721279e-06,4.210556348027694e-09,3.705289586264371e-08
1825,3.347829533595359e-06,1.7610886082763955e-09,6.339919167430708e-08
1826,4.040222393086879e-06,5.284790383086602e-09,8.719904798226707e-08
1827,4.350552899268223e-06,3.6869092223668076e-09,3.3182182335167454e-08
1828,4.517358320299536e-06,1.1923991571904935e-08,4.494427585655103e-08
1829,4.5832198338757735e-06,9.430493719264632e-09,4.543783305166471e-08
1830,4.6120376282488e-06,1.2524203008013046e-08,6.262101237552997e-08
1831,5.046873411629349e-06,1.091384405071949e-08,5.14509785887185e-08
