year,en_ADP aides_NOUN,en_ADP raids_NOUN
1800,1.5720821977538435e-08,0.0
1801,0.0,0.0
1802,8.951360541686881e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,1.9900143755080535e-08,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,1.129515236897305e-08,0.0
1810,0.0,0.0
1811,1.7549536934780008e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,1.4011860671736542e-08,0.0
1818,1.0729059418679299e-08,0.0
1819,3.1053151161586356e-09,0.0
1820,1.1866481131050932e-08,0.0
1821,7.88919063410276e-09,0.0
1822,1.0025615893027862e-09,0.0
1823,9.882687224127551e-09,0.0
1824,8.421112696055388e-10,0.0
1825,2.0252519661312363e-08,0.0
1826,8.807984341885344e-10,0.0
1827,8.295545583791863e-09,0.0
1828,9.172301140836225e-09,0.0
1829,5.143905745796928e-09,0.0
1830,6.262101504006523e-09,0.0
1831,4.677361609140007e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,1.0425265983826648e-08,0.0
1834,5.600718555598405e-09,0.0
1835,1.5882484660778573e-08,0.0
1836,1.0753200108126748e-08,6.720750067579218e-10
1837,1.1132625488130543e-08,0.0
1838,1.8936485712828244e-09,0.0
1839,6.9914749545318955e-09,0.0
1840,1.9109066329292546e-08,0.0
1841,3.852329122366882e-09,0.0
1842,5.366612043644636e-09,0.0
1843,6.497602011990011e-09,0.0
1844,6.586273748609983e-09,0.0
1845,5.022205318283568e-09,0.0
1846,1.4636253320432502e-08,0.0
1847,1.240441438454809e-08,0.0
1848,2.654923214606697e-08,0.0
1849,6.703531951757213e-09,0.0
1850,2.0366988096043315e-09,0.0
1851,1.2898877521649865e-08,0.0
1852,9.114764054629632e-09,0.0
1853,1.7318601663873778e-08,0.0
1854,1.0391328908454511e-09,0.0
1855,2.4411910715116392e-08,0.0
1856,2.5885946164372342e-09,0.0
1857,1.2203773103180993e-08,0.0
1858,7.340513863418607e-09,0.0
1859,1.98594756195547e-08,0.0
1860,3.661747127736703e-09,0.0
1861,1.6034276129062164e-08,0.0
1862,5.873382225018986e-09,0.0
1863,1.4983863039219614e-09,0.0
1864,1.102787461348953e-08,0.0
1865,5.6482134525026595e-09,0.0
1866,6.811858188626729e-09,1.4596839292835284e-09
1867,1.261730986357179e-08,4.85281148598915e-10
1868,1.4819622196071691e-09,0.0
1869,8.790334682373668e-09,0.0
1870,9.17447806614291e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,5.442605477412599e-09,0.0
1873,4.1902030178953e-09,0.0
1874,7.766991494406739e-09,0.0
1875,6.293679799540541e-09,0.0
1876,9.069021977836655e-09,0.0
1877,1.36065949618569e-08,0.0
1878,1.2078177569208037e-08,0.0
1879,9.16398767980553e-09,0.0
1880,1.4761046607247863e-08,0.0
1881,4.183504653809678e-09,0.0
1882,9.983077475794744e-09,1.3310770263785798e-09
1883,5.0554711528150165e-09,1.2638677882037541e-09
1884,3.300848483434038e-09,0.0
1885,9.66845359329227e-09,6.445635691854079e-10
1886,7.098810372863085e-09,0.0
1887,2.6115698492645834e-09,0.0
1888,2.53624587998047e-09,0.0
1889,8.771191772893872e-09,0.0
1890,6.554386366985909e-09,0.0
1891,4.461953917456185e-09,0.0
1892,1.4417578242387208e-08,0.0
1893,8.005941687372342e-09,0.0
1894,6.301539290376468e-09,0.0
1895,1.8055843487019274e-09,6.018614495673091e-10
1896,3.5382172747233653e-09,0.0
1897,6.409385022720926e-09,0.0
1898,7.355861253444118e-09,0.0
1899,6.080336234504102e-09,5.527578395003729e-10
1900,1.453494924419374e-08,5.191053142894475e-10
1901,3.353243460679778e-09,0.0
1902,5.892340837476695e-09,0.0
1903,9.720396931811592e-09,5.400220270956879e-10
1904,1.0749250378694342e-09,1.0749250378694342e-09
1905,6.708986699521802e-09,1.0321518084666081e-09
1906,9.773950537805831e-09,3.600929110447737e-09
1907,2.0057088434555226e-08,5.142843373384665e-10
1908,3.437972351250096e-09,0.0
1909,9.351672325408344e-09,5.500983557560346e-10
1910,4.809735720812114e-09,1.068830135508847e-09
1911,6.384448969498635e-09,0.0
1912,3.125652625612929e-09,0.0
1913,4.772690687104841e-09,0.0
1914,1.3393487430235496e-09,3.3483718020477227e-09
1915,9.424609537234119e-09,0.0
1916,2.197492410260793e-09,0.0
1917,3.289927441585405e-09,2.4126133979507358e-08
1918,3.44591288836682e-09,5.743188147278033e-09
1919,9.207848372660976e-10,9.207848372660976e-10
1920,3.786115865267448e-09,7.572231730534895e-09
1921,8.330022005509363e-09,3.7863738810983705e-09
