year,son_DET aide_NOUN,son_DET raide_ADJ
1800,1.396009039922319e-06,0.0
1801,1.1239182076128174e-06,0.0
1802,1.2576661845287163e-06,0.0
1803,1.1858062407554826e-06,0.0
1804,1.4287298633064438e-06,0.0
1805,1.5266253416967857e-06,0.0
1806,1.146904343052313e-06,0.0
1807,1.4377123065401065e-06,0.0
1808,1.309790761183649e-06,0.0
1809,1.8795133440718814e-06,0.0
1810,8.541462523936616e-07,0.0
1811,1.1031137865380458e-06,0.0
1812,1.0348768491041938e-06,0.0
1813,1.7570781523090773e-06,0.0
1814,2.2530209164983717e-06,0.0
1815,2.6190040589568753e-06,0.0
1816,1.5273010056660041e-06,0.0
1817,1.6316033111252182e-06,0.0
1818,2.378274917447243e-06,0.0
1819,1.7275902841618063e-06,0.0
1820,2.6011326426100823e-06,0.0
1821,1.7711232906947316e-06,0.0
1822,1.7594955465938256e-06,0.0
1823,2.5240381553714997e-06,0.0
1824,2.884231097510792e-06,0.0
1825,2.5747116438878948e-06,0.0
1826,2.784203910977112e-06,0.0
1827,2.7863816640660843e-06,0.0
1828,2.3829637996186648e-06,0.0
1829,2.548805195345949e-06,0.0
1830,2.2407885822417484e-06,0.0
1831,3.263239332085277e-06,0.0
1832,2.784467710625904e-06,0.0
1833,2.9665672194312265e-06,1.1583628500844156e-09
1834,3.0878627725883234e-06,9.334530925997342e-10
1835,2.985907045172098e-06,0.0
1836,2.9147892597336522e-06,0.0
1837,3.378055975389316e-06,0.0
1838,3.348601783415006e-06,0.0
1839,3.2580273909843527e-06,0.0
1840,3.7466507869510224e-06,0.0
1841,3.421510276879758e-06,0.0
1842,3.4024320676451225e-06,0.0
1843,3.4620406239582735e-06,0.0
1844,3.7887538582026536e-06,0.0
1845,3.6840665629256364e-06,0.0
1846,3.338822107679107e-06,0.0
1847,3.5638421209682747e-06,0.0
1848,3.1979755998889914e-06,0.0
1849,3.099545516249691e-06,0.0
1850,3.2967364163027923e-06,0.0
1851,3.3724115127142795e-06,1.2898877521649865e-09
1852,3.0039657623603944e-06,0.0
1853,3.3556284630975597e-06,0.0
1854,3.197931572884727e-06,0.0
1855,3.462776504647991e-06,5.306937111981824e-10
1856,3.4526673946544406e-06,0.0
1857,3.404364534276283e-06,0.0
1858,3.426551851148929e-06,0.0
1859,3.811491822602875e-06,0.0
1860,3.948278633814084e-06,0.0
1861,3.4256760859108226e-06,0.0
1862,3.4549041352249787e-06,0.0
1863,3.2929534334869004e-06,0.0
1864,3.141026354569476e-06,0.0
1865,3.250075977234701e-06,0.0
1866,3.4769670804735142e-06,0.0
1867,3.1431659923697453e-06,0.0
1868,3.4924910643496787e-06,0.0
1869,3.1723340896405716e-06,0.0
1870,3.155447110714249e-06,0.0
1871,3.4253295666530903e-06,0.0
1872,3.3060803126261362e-06,0.0
1873,3.492235116198117e-06,0.0
1874,3.573413764001998e-06,0.0
1875,2.8853660403171943e-06,0.0
1876,2.927480444725461e-06,0.0
1877,2.8116173744763273e-06,0.0
1878,2.8099880466925242e-06,6.039088673581716e-10
1879,2.9220902142412797e-06,0.0
1880,2.7513306832815942e-06,0.0
1881,2.5087081940711187e-06,0.0
1882,2.7713022632269713e-06,0.0
1883,2.442424513304786e-06,0.0
1884,2.867777173065633e-06,0.0
1885,2.657535571159997e-06,0.0
1886,2.5697693857296144e-06,1.936039106809062e-09
1887,2.4711980195490924e-06,8.48760173255414e-09
1888,2.540050139998584e-06,0.0
1889,2.673333963087998e-06,1.2530273485467092e-09
1890,2.5175398459253984e-06,6.554386478008212e-10
1891,2.5707229127647224e-06,0.0
1892,2.4415856465509478e-06,0.0
1893,2.5329567314713586e-06,0.0
1894,2.696428698101272e-06,0.0
1895,2.9148150062496825e-06,2.4074457982692365e-09
1896,2.5581312179667748e-06,5.89702897624278e-10
1897,2.493833378025556e-06,0.0
1898,2.3906549557750623e-06,3.3950129374460403e-09
1899,2.3879137707183418e-06,2.2110313580014918e-09
1900,2.3837315765717904e-06,0.0
1901,2.3288275592392438e-06,0.0
