year,en_ADP aide_NOUN,en_ADP raid_NOUN
1800,6.162562158351648e-07,0.0
1801,3.833704056432907e-07,0.0
1802,1.9245425164626795e-07,0.0
1803,1.8333189188979304e-07,0.0
1804,1.8044511307380162e-07,0.0
1805,1.3930100806192058e-07,0.0
1806,1.2679343797117326e-07,0.0
1807,1.9643989901396708e-07,0.0
1808,2.5380029455845943e-07,0.0
1809,2.1460789412230952e-07,0.0
1810,2.0359102848033217e-07,0.0
1811,2.1560860830049933e-07,0.0
1812,2.667208320872305e-07,2.6672082320544632e-09
1813,3.7384640450000006e-07,0.0
1814,5.632551847156719e-07,0.0
1815,7.39039251129725e-07,0.0
1816,3.198293256900797e-07,0.0
1817,4.483795521537104e-07,0.0
1818,3.2425603535557457e-07,0.0
1819,3.736729183856369e-07,0.0
1820,5.292450850902242e-07,0.0
1821,4.12210198419416e-07,9.86148829262845e-10
1822,5.26344820173108e-07,0.0
1823,6.186562018228869e-07,0.0
1824,4.00002846845382e-07,0.0
1825,6.815412803007348e-07,0.0
1826,5.857309588463977e-07,0.0
1827,3.742212868473871e-07,0.0
1828,3.0085146818237263e-07,0.0
1829,4.295161204481701e-07,0.0
1830,7.431027029269899e-07,0.0
1831,7.811194109308417e-07,0.0
1832,9.741578423927422e-07,0.0
1833,1.1687881169564207e-06,0.0
1834,1.1901527159352554e-06,0.0
1835,1.7833760921348585e-06,0.0
1836,1.9906860870833043e-06,0.0
1837,2.810988007695414e-06,0.0
1838,2.986283789141453e-06,0.0
1839,3.749528104890487e-06,0.0
1840,4.137749783694744e-06,0.0
1841,5.027289716963423e-06,6.420548537278137e-10
1842,5.40216569788754e-06,0.0
1843,5.477478680404602e-06,0.0
1844,5.865625553269638e-06,5.488561272137815e-10
1845,6.192936780280434e-06,0.0
1846,6.726236733811675e-06,0.0
1847,7.012808509898605e-06,5.393223645455691e-10
1848,9.029957254824694e-06,0.0
1849,8.65007041284116e-06,0.0
1850,8.074832294369116e-06,0.0
1851,7.957962225191295e-06,0.0
1852,7.673979780520312e-06,0.0
1853,8.305165465571918e-06,0.0
1854,7.442269634339027e-06,0.0
1855,8.101039384200703e-06,0.0
1856,8.632962817500811e-06,5.177189232874468e-10
1857,8.178480129572563e-06,0.0
1858,8.608465577708557e-06,4.893676019968041e-10
