year,certain_ADJ homme_NOUN,certain_ADJ rhum_NOUN
1800,1.603523891446912e-07,0.0
1801,1.4287095706499997e-07,0.0
1802,3.1553545909446257e-07,0.0
1803,1.657788277764638e-07,0.0
1804,1.6561401849912727e-07,0.0
1805,5.088751340309727e-07,0.0
1806,2.103618417237385e-07,0.0
1807,6.547996633798903e-08,0.0
1808,8.384473915157287e-08,0.0
1809,8.810218954380389e-08,0.0
1810,3.276177444888617e-07,0.0
1811,3.3845536506760254e-07,0.0
1812,9.068508255438701e-08,0.0
1813,9.489947672136623e-08,0.0
1814,3.776012391654149e-08,0.0
1815,1.3216394734172354e-07,0.0
1816,2.317603939872015e-07,0.0
1817,2.4287225386387945e-07,0.0
1818,3.0399001826886263e-07,0.0
1819,2.1737205013749872e-07,0.0
1820,3.702342130651459e-07,0.0
1821,2.2089733597852046e-07,0.0
1822,1.965020715033461e-07,0.0
1823,2.8066829749207045e-07,0.0
1824,4.320030768667493e-07,0.0
1825,7.194046869329895e-07,0.0
1826,4.492072127604274e-07,0.0
1827,1.3457218628332157e-07,0.0
1828,1.3116390573664205e-07,0.0
1829,1.1488056178565742e-07,0.0
1830,2.1186776955062214e-07,0.0
1831,1.4811646109613719e-07,0.0
1832,1.6371263011905057e-07,0.0
1833,1.2278646011054661e-07,0.0
1834,1.4468522757660196e-07,0.0
1835,2.261363221123247e-07,0.0
1836,1.5188895741147235e-07,0.0
1837,1.9412516216732456e-07,0.0
1838,1.963082336686739e-07,0.0
1839,1.447235291607285e-07,0.0
1840,1.7644037919595235e-07,0.0
1841,1.0658110749517391e-07,0.0
1842,1.2477372912655937e-07,0.0
1843,1.8252355538095344e-07,0.0
1844,1.2898118573190231e-07,0.0
1845,1.1551071654736234e-07,0.0
1846,1.8734403939291155e-07,0.0
1847,1.0139260808728068e-07,0.0
1848,8.447482624518443e-08,0.0
1849,8.044238342108656e-08,4.1897072478036534e-09
1850,1.065872385908051e-07,0.0
1851,1.141550658445567e-07,6.449438760824933e-10
1852,1.2695563533782206e-07,0.0
1853,1.373544318283848e-07,0.0
1854,1.2521551440158873e-07,0.0
1855,1.2418233197308837e-07,0.0
1856,1.594574321472919e-07,0.0
1857,1.7573432131712252e-07,4.881509085841174e-10
1858,1.3800166875910236e-07,0.0
1859,1.0642642567226801e-07,0.0
1860,8.147387076107293e-08,0.0
1861,1.334617691917117e-07,0.0
1862,2.2002592503511664e-07,9.035972525772706e-10
1863,1.4684185956070905e-07,4.495158911765884e-09
1864,1.3617026972667645e-07,0.0
1865,1.2520206293942238e-07,0.0
1866,1.4256245783883514e-07,0.0
1867,8.589475974929428e-08,4.85281148598915e-10
1868,7.064019835745228e-08,4.93987406535723e-10
1869,1.1036753400084365e-07,0.0
1870,8.887775537758102e-08,0.0
1871,6.903764915300314e-08,0.0
1872,9.978109527519763e-08,6.047339295989218e-10
1873,7.183205275040905e-08,0.0
1874,1.105302658288565e-07,0.0
1875,1.0470394817829742e-07,0.0
1876,1.305939179019333e-07,6.04601479992084e-10
1877,1.1132668675806201e-07,0.0
1878,1.1232705254826669e-07,0.0
1879,7.942122692838893e-08,6.10932526790009e-10
1880,9.177520432501751e-08,1.9253538763308597e-09
1881,7.600033513632809e-08,0.0
1882,8.585447019981984e-08,0.0
1883,9.036654446958892e-08,0.0
1884,5.677459391506545e-08,6.601696966868076e-10
1885,9.023890101822474e-08,5.156508553483263e-09
1886,7.550552844071134e-08,6.453463874400711e-10
1887,4.8966935839445114e-08,6.528924623161458e-10
1888,6.150396103521416e-08,2.53624587998047e-09
1889,7.51816386923565e-08,0.0
1890,4.8502460270327674e-08,4.5880703680722945e-09
1891,4.716922674674606e-08,0.0
1892,5.328235586077312e-08,0.0
1893,3.5102974971223944e-08,0.0
1894,5.3563083524110766e-08,0.0
1895,5.2963805785566365e-08,0.0
1896,6.840553301579178e-08,0.0
1897,4.19523360495333e-08,0.0
1898,4.3003495875382214e-08,5.6583548957434e-10
1899,3.6482019183381453e-08,0.0
1900,6.12544268641102e-08,0.0
1901,5.309301842615355e-08,0.0
1902,6.236060645647967e-08,0.0
1903,4.212171944573129e-08,0.0
1904,3.547252802604817e-08,0.0
1905,5.470404484952951e-08,0.0
1906,5.5042774338431855e-08,0.0
1907,5.348557108320051e-08,5.142843373384665e-10
1908,6.090122384172503e-08,0.0
1909,4.950885101884239e-08,0.0
1910,7.107720412236063e-08,0.0
1911,4.4691142342401236e-08,1.5961122423746588e-09
1912,4.636384787204406e-08,0.0
1913,3.3939134613802935e-08,0.0
1914,4.28591582779525e-08,0.0
1915,3.29861327141856e-08,0.0
1916,7.691223569139538e-08,0.0
1917,9.431124770031829e-08,0.0
1918,7.121553391442603e-08,0.0
1919,4.2356102236684734e-08,2.762354567309444e-09
1920,5.6034513473690595e-08,7.572231730534895e-10
1921,5.603833092004962e-08,0.0
1922,8.558404979153167e-08,0.0
1923,8.386599148479945e-08,1.0615948120573648e-09
1924,7.60605871619191e-08,0.0
1925,9.458432970177455e-08,0.0
1926,8.471064882886736e-08,0.0
1927,4.4596898618465275e-08,0.0
1928,5.713020723163709e-08,0.0
1929,5.681607251339926e-08,0.0
1930,6.512234485001045e-08,1.0503603542488804e-09
1931,4.790249619190945e-08,0.0
1932,5.918149748040946e-08,0.0
1933,6.76769076335404e-08,0.0
1934,4.553000643170435e-08,0.0
1935,5.0266791618014395e-08,0.0
1936,4.122403041151301e-08,0.0
