year,aient_VERB eu_VERB,aient_VERB chu_VERB
1800,1.7292904885835014e-06,0.0
1801,1.4263283674154081e-06,0.0
1802,1.6403367908424116e-06,2.2378401354217203e-09
1803,1.6948447409959044e-06,0.0
1804,1.3273839840621804e-06,0.0
1805,1.7682699535725988e-06,0.0
1806,1.685776396698202e-06,0.0
1807,1.4889575368215446e-06,0.0
1808,1.5658571328458493e-06,0.0
1809,1.6061707128756098e-06,0.0
1810,1.4110964912106283e-06,0.0
1811,1.4290337730926694e-06,0.0
1812,1.6803411426735693e-06,0.0
1813,1.6794331259006867e-06,0.0
1814,1.5922186094030621e-06,0.0
1815,2.0121287889196537e-06,0.0
1816,1.5018073327155435e-06,0.0
1817,1.7795063058656524e-06,0.0
1818,1.633201350159652e-06,0.0
1819,1.928400706674438e-06,0.0
1820,1.561628891977307e-06,1.1866481131050932e-09
1821,1.9308793071104446e-06,0.0
1822,1.6191369240914355e-06,0.0
1823,1.298585061704216e-06,0.0
1824,1.5292740727090859e-06,0.0
1825,1.6369318700526492e-06,0.0
1826,1.4709333981954842e-06,0.0
1827,1.6286921891150996e-06,0.0
1828,1.709716912046133e-06,1.8344602503717056e-09
1829,1.7334962194581749e-06,0.0
1830,1.974649421754293e-06,0.0
1831,1.7165917824968346e-06,0.0
1832,1.6168313550224411e-06,0.0
1833,1.4583788470190484e-06,0.0
1834,1.7511580381324166e-06,9.334530925997342e-10
1835,1.5723659316790872e-06,0.0
1836,1.5256102869898314e-06,6.720750067579218e-10
1837,1.723469608805317e-06,0.0
1838,1.6329562413375243e-06,0.0
1839,1.6548822259210283e-06,6.9914751765765e-10
1840,1.546560383758333e-06,0.0
1841,1.8401292436465155e-06,0.0
1842,1.6750537952248123e-06,0.0
1843,1.8606770026963204e-06,0.0
1844,1.6624852605673368e-06,0.0
1845,1.6629079482299858e-06,0.0
1846,1.8359716023041983e-06,0.0
1847,1.5386866607514094e-06,0.0
1848,1.6380071201638202e-06,0.0
1849,1.6767208990131621e-06,0.0
1850,1.7176159872178687e-06,0.0
1851,1.6555709407839458e-06,0.0
1852,1.7265966789636877e-06,0.0
1853,1.7324574628219125e-06,0.0
1854,1.6407908560722717e-06,0.0
1855,1.5406038755827467e-06,0.0
1856,1.5697237358835991e-06,0.0
1857,1.6118742678372655e-06,0.0
1858,1.6095300452434458e-06,0.0
1859,1.4522878473144374e-06,0.0
1860,1.5837056253076298e-06,0.0
1861,1.624649485165719e-06,0.0
1862,1.5826506114535732e-06,0.0
1863,1.808552156035148e-06,0.0
1864,1.6028775462473277e-06,0.0
1865,1.6031511904657236e-06,0.0
1866,1.6489561858179513e-06,0.0
1867,1.5038863239169586e-06,0.0
1868,1.6375682889702148e-06,0.0
1869,1.5920272744551767e-06,0.0
1870,1.6623007468297146e-06,0.0
1871,1.6059219660746749e-06,0.0
1872,1.718049134069588e-06,0.0
1873,1.6234043869189918e-06,5.986004469882289e-10
1874,1.5169532616710057e-06,0.0
1875,1.5139161178012728e-06,0.0
1876,1.5846604810576537e-06,0.0
1877,1.6185663298529107e-06,0.0
1878,1.574994371367211e-06,0.0
1879,1.6709004739823285e-06,0.0
1880,1.384971255902201e-06,0.0
1881,1.4865386219753418e-06,0.0
1882,1.6072755215645884e-06,0.0
1883,1.5198010032690945e-06,0.0
1884,1.477459818488569e-06,0.0
1885,1.565644879519823e-06,0.0
1886,1.5475405916731688e-06,0.0
1887,1.6048096540544066e-06,0.0
1888,1.6479257283208426e-06,0.0
1889,1.5525008620898006e-06,0.0
1890,1.608446495993121e-06,0.0
1891,1.6088531538116513e-06,0.0
1892,1.5702623841207242e-06,0.0
1893,1.5999565903257462e-06,0.0
1894,1.5779054365339107e-06,0.0
1895,1.48900517160655e-06,0.0
1896,1.547970100546081e-06,0.0
1897,1.4922213722456945e-06,0.0
1898,1.5407700857394957e-06,0.0
1899,1.4432507668971084e-06,0.0
1900,1.4820457181485835e-06,0.0
1901,1.4798980600971845e-06,0.0
1902,1.4033590787221328e-06,0.0
1903,1.4629197266913252e-06,0.0
1904,1.5371427934951498e-06,0.0
1905,1.551324203319382e-06,0.0
1906,1.4763809303985909e-06,0.0
1907,1.5346245163527783e-06,0.0
1908,1.5333356486735283e-06,0.0
1909,1.3900985322834458e-06,0.0
1910,1.4760544218006544e-06,0.0
1911,1.513646452622197e-06,0.0
1912,1.5039598793009645e-06,0.0
1913,1.4164285175866098e-06,0.0
1914,1.4016284239914967e-06,0.0
1915,1.7317720448772889e-06,0.0
1916,1.6140581919898978e-06,0.0
1917,1.5276228850780171e-06,0.0
1918,1.492080286880082e-06,1.1486376294556067e-09
1919,1.4962753311920096e-06,0.0
1920,1.5470069456569036e-06,0.0
1921,1.3797546216665069e-06,0.0
1922,1.4099234704190167e-06,0.0
1923,1.4458921668847324e-06,0.0
1924,1.3239698546385625e-06,5.156649773851996e-09
1925,1.3923693131800974e-06,0.0
1926,1.4445395208895206e-06,0.0
1927,1.3501711464414257e-06,0.0
1928,1.3631266710945056e-06,0.0
1929,1.4259719591791509e-06,0.0
1930,1.3150511222193018e-06,0.0
1931,1.33556727632822e-06,0.0
1932,1.3491189747583121e-06,3.287861094491973e-09
1933,1.2893024177174084e-06,1.1470662197865522e-09
1934,1.409033870913845e-06,1.1981580172459871e-09
1935,1.3021492577536264e-06,3.590485242455088e-09
1936,1.3143190926712123e-06,4.849885826274658e-09
1937,1.3271038596940343e-06,0.0
1938,1.2641083912967588e-06,0.0
1939,1.4116408237896394e-06,1.5294050470515685e-09
1940,1.5087908877831069e-06,0.0
1941,1.360642727377126e-06,2.9515025978810172e-09
1942,1.5686874803577666e-06,6.068423541449874e-09
1943,1.5764567251608241e-06,0.0
1944,1.523050286778016e-06,0.0
1945,1.5467378489120165e-06,0.0
1946,1.4380500488186954e-06,0.0
1947,1.3768606095254654e-06,0.0
1948,1.335067850050109e-06,0.0
1949,1.3792896425002255e-06,0.0
1950,1.2411467196216108e-06,0.0
1951,1.411569542142388e-06,0.0
1952,1.3339176803128794e-06,0.0
1953,1.3531927152143908e-06,0.0
1954,1.3456782426146674e-06,0.0
1955,1.3778072798231733e-06,0.0
1956,1.2401463891364983e-06,0.0
1957,1.4127225540505606e-06,8.835037701437898e-10
1958,1.3103233413858106e-06,0.0
1959,1.374982616653142e-06,0.0
1960,1.3585596434495528e-06,0.0
1961,1.299305836255371e-06,0.0
1962,1.3191269090384594e-06,0.0
1963,1.3048495475231903e-06,0.0
1964,1.3159623222236405e-06,0.0
1965,1.4101456144999247e-06,0.0
1966,1.3310396980159567e-06,0.0
1967,1.4460674719884992e-06,0.0
1968,1.3352979522096575e-06,0.0
1969,1.3384560588747263e-06,9.083515606356229e-10
