year,étaient_VERB aux_ADP,etaient_VERB aux_ADP
1800,3.2699310281714133e-07,0.0
1801,3.786080355894228e-07,0.0
1802,2.0811913259422e-07,0.0
1803,3.725147905697668e-07,1.950339223455444e-09
1804,3.1392505661642645e-07,0.0
1805,3.695741099818406e-07,0.0
1806,5.014104544898146e-07,2.881669125542885e-09
1807,3.814919864453259e-07,2.8469551160981155e-09
1808,3.036539055756293e-07,0.0
1809,5.918660122006258e-07,0.0
1810,2.92515835553786e-07,0.0
1811,4.211889006455749e-07,0.0
1812,5.067695383331738e-07,0.0
1813,5.003790306545852e-07,2.8757416448144113e-09
1814,5.915753149565717e-07,0.0
1815,6.608197509194724e-07,0.0
1816,4.7279118575715984e-07,0.0
1817,5.386781936067564e-07,3.113746815941454e-09
1818,6.425514698094048e-07,2.384235475716423e-09
1819,6.58326769098494e-07,1.035105001712111e-09
1820,8.199738203984452e-07,1.1866481131050932e-09
1821,6.755119557055878e-07,3.94459531705138e-09
1822,6.266009791033866e-07,0.0
1823,8.469462500215741e-07,9.882686891060644e-10
1824,8.176900223588746e-07,2.5263338088166165e-09
1825,7.211658044070646e-07,0.0
1826,6.491484327852959e-07,0.0
1827,7.180255465755181e-07,9.217273055917019e-10
1828,7.071844265738036e-07,2.7516904310687096e-09
1829,6.644211225648178e-07,2.571952872898464e-09
1830,7.911121429060586e-07,4.174734336004349e-09
1831,6.704218549202778e-07,0.0
1832,6.507915486508864e-07,2.705993873419743e-09
1833,7.031262612144928e-07,1.1583628500844156e-09
1834,6.571509629793582e-07,0.0
1835,7.487457196475589e-07,3.781543966852041e-09
1836,7.325617730202794e-07,5.376600054063374e-09
1837,7.493648581657908e-07,0.0
1838,8.515106628692592e-07,0.0
1839,8.096127999124292e-07,1.3982950353153e-09
1840,9.115024681705108e-07,2.5478754661634184e-09
1841,7.479939085897058e-07,6.420548537278137e-10
1842,7.868794682508451e-07,6.708265054555795e-10
1843,6.627554398619395e-07,0.0
1844,7.65654306178476e-07,0.0
1845,8.816759873297997e-07,3.348136878855712e-09
1846,7.411798605971853e-07,5.854501328173001e-10
1847,7.933431902529264e-07,1.6179670936367074e-09
1848,7.707322424721497e-07,0.0
1849,8.128032504828298e-07,1.6758829879393033e-09
1850,7.182757713053434e-07,6.788996032014438e-10
1851,6.320449870145239e-07,6.449438760824933e-10
1852,6.048296654626029e-07,6.510545436100301e-10
1853,7.596297564305132e-07,5.971931837933653e-10
1854,6.692015972475929e-07,0.0
1855,6.331176223284274e-07,5.306937111981824e-10
1856,6.839067054897896e-07,1.5531567143511893e-09
1857,6.658378310930857e-07,0.0
1858,6.533057330670999e-07,0.0
1859,7.40402015253494e-07,1.018434669930457e-09
1860,6.339399760690867e-07,9.154367819341758e-10
1861,6.630644975302857e-07,1.8863854922557266e-09
1862,7.246849804687372e-07,0.0
1863,7.431995641127287e-07,0.0
1864,5.921489218962961e-07,0.0
1865,5.958864903732319e-07,0.0
1866,6.860514076834079e-07,0.0
1867,5.84763768074481e-07,4.85281148598915e-10
1868,5.621576519843074e-07,4.93987406535723e-10
1869,6.275321879911644e-07,4.883519144627257e-10
1870,6.410666628653416e-07,5.734048791339319e-10
1871,8.16768533695722e-07,1.0621177271019633e-09
1872,6.37994276075915e-07,6.047339295989218e-10
1873,5.872270207873953e-07,0.0
1874,5.920837793382816e-07,0.0
1875,5.795906758976344e-07,0.0
1876,5.405137244451907e-07,0.0
1877,5.306571893015644e-07,0.0
1878,6.202143936206994e-07,0.0
1879,6.390354201357695e-07,0.0
1880,5.975014687464864e-07,0.0
1881,5.452500886349299e-07,0.0
1882,5.883360358893697e-07,1.9966155395678697e-09
1883,5.384076757763978e-07,1.2638677882037541e-09
1884,5.545425665332004e-07,0.0
1885,5.459453404910164e-07,6.445635691854079e-10
1886,5.15631768394087e-07,0.0
1887,4.929337933390343e-07,1.3057849246322917e-09
1888,5.028107352700317e-07,6.340614699951175e-10
1889,5.757660801464226e-07,0.0
1890,4.404547837566497e-07,1.3108772956016423e-09
1891,4.850781465393084e-07,0.0
1892,5.215402438807359e-07,0.0
1893,5.099169015920779e-07,0.0
1894,4.682043766024435e-07,0.0
1895,5.428790359474078e-07,1.8055843487019274e-09
1896,6.026763799127366e-07,0.0
1897,4.632237278201501e-07,0.0
1898,4.866185463470174e-07,5.6583548957434e-10
1899,4.759245086916053e-07,2.2110313580014918e-09
1900,4.6823299726383993e-07,1.5573159428683425e-09
1901,4.487757223614608e-07,0.0
1902,4.1000870965035574e-07,4.910283846193408e-10
1903,4.746793536014593e-07,1.6200660812870638e-09
1904,4.149210610648879e-07,5.374625189347171e-10
1905,4.845952616960858e-07,0.0
1906,5.02586829043139e-07,0.0
1907,5.204557282922906e-07,0.0
1908,4.449718460364238e-07,4.911389073214423e-10
1909,4.208252448734129e-07,0.0
1910,4.804391551260778e-07,0.0
1911,5.080957521386154e-07,0.0
1912,4.59470953728669e-07,0.0
1913,4.576480137075123e-07,0.0
1914,5.076131515124871e-07,0.0
1915,5.949284513917519e-07,0.0
1916,6.592477461708768e-07,0.0
1917,6.217962891241768e-07,0.0
1918,6.489802331088868e-07,0.0
1919,5.322136189533921e-07,9.207848372660976e-10
1920,5.209695359553734e-07,7.572231730534895e-10
1921,4.816267278329178e-07,0.0
1922,5.076019533589715e-07,0.0
