year,furent_VERB aux_ADP,furent_VERB chauds_ADJ
1800,7.231578535993322e-08,0.0
1801,4.524246932646747e-08,0.0
1802,1.432217686669901e-07,0.0
1803,9.946730017418304e-08,3.900678446910888e-09
1804,3.213406074564773e-08,2.4718509461507665e-09
1805,8.24434565060983e-08,0.0
1806,1.2391177506287931e-07,0.0
1807,6.547996633798903e-08,0.0
1808,3.852325747288887e-08,9.064295980465431e-09
1809,1.5587310997489112e-07,1.129515236897305e-08
1810,3.042164919975221e-08,9.360507036149102e-09
1811,5.766276700569506e-08,0.0
1812,6.13457871168066e-08,0.0
1813,2.0130190847567064e-08,5.751483289628823e-09
1814,7.237357380063258e-08,0.0
1815,4.045835311217161e-08,0.0
1816,6.489290882427667e-08,0.0
1817,6.538868291272593e-08,3.113746815941454e-09
1818,4.768470773797162e-08,2.384235475716423e-09
1819,7.970308502081025e-08,0.0
1820,1.9105034709809843e-07,5.933240565525466e-09
1821,8.875339574387908e-08,7.88919063410276e-09
1822,1.7043547018147365e-07,1.0025615893027862e-09
1823,2.3421968364800705e-07,2.9648061783404955e-09
1824,1.1789558129748912e-07,3.3684450784221553e-09
1825,1.1006803646296248e-07,0.0
1826,1.559013185215008e-07,3.5231937367541377e-09
1827,2.0646692178161175e-07,1.8434546111834038e-09
1828,1.164882235116238e-07,1.0089530988466322e-08
1829,1.2431105744781235e-07,6.858540846366168e-09
1830,1.0854309095975623e-07,0.0
1831,9.666548095310645e-08,1.091384405071949e-08
1832,7.576782934393123e-08,0.0
1833,8.91939393454777e-08,0.0
1834,1.0921401383257034e-07,0.0
1835,1.1117739262545001e-07,1.285724948729694e-08
1836,1.6129800428643648e-07,1.3441500135158435e-09
1837,1.3776623575267877e-07,2.7831563720326358e-09
1838,1.8683999769564252e-07,1.8936485712828244e-09
1839,6.991475487438947e-08,0.0
1840,1.0573683084658114e-07,0.0
1841,1.0593905130917847e-07,0.0
1842,1.10686372067903e-07,0.0
1843,9.569195924541418e-08,0.0
1844,6.75093048130293e-08,5.488561272137815e-10
1845,9.542189616240648e-08,0.0
1846,6.557041842825129e-08,0.0
1847,8.197699941092651e-08,0.0
1848,1.0700144770225961e-07,0.0
1849,5.781796375003978e-08,8.379414939696517e-10
1850,9.165144376765966e-08,6.788996032014438e-10
1851,6.900899762740664e-08,6.449438760824933e-10
1852,9.049658444837405e-08,0.0
1853,8.480143520728234e-08,5.971931837933653e-10
1854,1.1846115199887208e-07,5.195664454227256e-10
1855,7.111295730055645e-08,1.0613874223963649e-09
1856,7.403380664072756e-08,0.0
1857,8.59145572462694e-08,1.4644527812635033e-09
1858,5.529853908115001e-08,3.963877404089544e-08
1859,7.485494535330872e-08,0.0
1860,1.0664838612228777e-07,0.0
1861,5.94211435611669e-08,0.0
1862,5.46676339752139e-08,0.0
1863,5.3442441583229083e-08,1.4983863039219614e-09
1864,7.863354056780736e-08,4.315255264231155e-09
1865,9.131277778351432e-08,4.23615986733239e-09
1866,7.006482860560936e-08,4.865612912574591e-10
1867,8.20125123368598e-08,4.367530337390235e-09
1868,6.273639741039005e-08,9.87974813071446e-10
1869,7.08110263758499e-08,0.0
1870,8.830435405116077e-08,0.0
1871,3.3987767267262825e-08,1.1683295220166201e-08
1872,4.2936108002322726e-08,0.0
1873,7.721946104766175e-08,5.986004469882289e-10
1874,5.317401985394099e-08,0.0
1875,5.435450844970546e-08,0.0
1876,5.2600327649088285e-08,6.04601479992084e-09
1877,1.6389762436119781e-07,6.184815992682502e-10
1878,9.722932503564152e-08,6.039088673581716e-10
1879,8.919614913338592e-08,0.0
1880,8.279021557200394e-08,3.2089231272180996e-09
1881,9.62206030408197e-08,2.7890030285249168e-09
1882,6.988154410692005e-08,0.0
1883,5.9401784824331116e-08,1.2638677882037541e-09
1884,5.215340692643622e-08,6.601696966868076e-10
1885,6.767917426486747e-08,0.0
1886,9.486591778795628e-08,6.453463874400711e-10
1887,4.7661149693567495e-08,0.0
1888,8.559830178000993e-08,0.0
1889,1.0901337788027377e-07,6.265136742733546e-10
1890,5.309053108248918e-08,0.0
1891,5.8005401371019616e-08,6.374220040683554e-10
1892,5.578975859066304e-08,1.8805537127519756e-09
1893,7.205347429817266e-08,0.0
1894,4.7261544011689693e-08,4.411077725308132e-09
1895,7.884384700673763e-08,3.0093072478365457e-09
1896,5.779088496637996e-08,2.358811590497112e-09
1897,4.661370667236042e-08,1.1653427112179315e-09
1898,5.941272718246182e-08,0.0
1899,6.246163763989898e-08,1.6582735185011188e-09
1900,9.395806443990296e-08,1.038210628578895e-09
1901,7.209473551483825e-08,5.588738916095792e-10
1902,5.548620762851897e-08,9.820567692386817e-10
1903,6.804277319361063e-08,0.0
1904,6.825774079288749e-08,5.374625189347171e-10
1905,6.450948575320581e-08,3.096455536422127e-09
1906,6.12157933232993e-08,5.144184522798412e-10
1907,6.47998277258921e-08,0.0
1908,5.8445529305117816e-08,2.4556945366072114e-09
1909,5.170924666231258e-08,0.0
1910,5.985448581213859e-08,1.6032452032632705e-09
1911,7.235708920916295e-08,5.320374141248863e-10
1912,6.355493553655833e-08,1.0418842455450772e-09
1913,6.522677153952827e-08,3.181793939432964e-09
1914,9.040603998755614e-08,6.696743715117748e-10
1915,8.128725426104211e-08,1.1780762143587253e-08
1916,8.24059682713596e-08,5.493730803607377e-09
1917,7.457168749169796e-08,2.1932848870420685e-09
1918,5.283732917860107e-08,4.594550517822427e-09
1919,1.1233574781499556e-07,2.762354567309444e-09
1920,6.890731185649202e-08,7.572231730534895e-10
1921,7.724202077952214e-08,7.572747429129834e-10
1922,6.71392115236813e-08,7.377935484775833e-10
1923,7.431163595583712e-08,1.0615948120573648e-09
1924,1.0184383114619777e-07,1.289162443462999e-09
1925,6.598907020816114e-08,1.0998177923937646e-09
1926,1.0254447602164873e-07,4.458455382660986e-09
1927,7.692965198202728e-08,1.1149224876660924e-09
1928,6.170062505361784e-08,7.998228745975666e-09
1929,7.241263944024467e-08,2.2280812750352652e-09
1930,7.037414206934045e-08,3.1510811737689437e-09
1931,6.50105320687544e-08,1.1405356659111021e-09
1932,5.2605777511871565e-08,4.383814644626227e-09
1933,5.276504566609219e-08,1.0323596200123575e-08
1934,5.990790441501304e-08,1.1981580172459871e-09
1935,8.018750463634206e-08,1.196828414151696e-09
1936,6.183604739362636e-08,0.0
1937,6.043736533456467e-08,0.0
1938,6.871563584809337e-08,3.8895642262559704e-09
1939,7.341144225847529e-08,0.0
1940,9.889553354014424e-08,0.0
1941,8.264207451702532e-08,0.0
1942,6.978687139280737e-08,0.0
1943,7.83873517207212e-08,0.0
1944,6.42637232317611e-08,0.0
1945,7.84261473540937e-08,2.178504043826024e-09
1946,6.40370814153357e-08,0.0
1947,6.914105199484766e-08,1.1920870957027319e-09
1948,6.958008214041911e-08,1.0871887834440486e-09
1949,4.613993809243766e-08,9.817008317369869e-10
1950,4.3604980959344175e-08,0.0
1951,6.076999170545605e-08,1.0661401761424827e-09
1952,5.483298082253896e-08,3.1634410646574906e-09
1953,6.24881977273617e-08,0.0
1954,5.668070812703263e-08,3.9090144454689835e-09
1955,7.226918086189471e-08,0.0
1956,4.360570926564833e-08,0.0
1957,4.1524678806581505e-08,0.0
1958,5.873292963087806e-08,0.0
1959,4.1854036680888385e-08,0.0
1960,4.775375117560543e-08,0.0
1961,5.280601200752244e-08,1.3896318540318475e-09
1962,5.390662849436012e-08,1.9025869768540815e-09
1963,5.043521511538529e-08,2.5864212993553792e-09
1964,4.6846555079582686e-08,2.4335873316516654e-09
1965,6.511731953651179e-08,0.0
1966,5.0405581930590415e-08,0.0
1967,4.733121983235833e-08,2.9582012395223956e-09
1968,5.7939264053175066e-08,1.3474247273492779e-09
1969,4.9050985495568966e-08,0.0
1970,5.472482911272891e-08,4.5987250119061684e-10
1971,5.7550053611521435e-08,0.0
1972,4.771036543615992e-08,0.0
1973,3.859242525550144e-08,3.859242703185828e-09
1974,4.1629231617434925e-08,2.812785782069227e-09
1975,4.6262989883416594e-08,1.1422960355389478e-09
1976,4.513686135965145e-08,1.142705374768127e-09
1977,3.408533544302372e-08,4.7014254711541525e-09
1978,4.039602075067705e-08,4.158414057542359e-09
1979,4.9156575698816596e-08,0.0
1980,3.183684427199296e-08,2.8425752862659692e-09
1981,4.933928465788995e-08,6.325549528618524e-10
1982,4.0969514003563745e-08,0.0
1983,4.483874249672226e-08,1.2630632095778083e-09
1984,3.943325666000419e-08,0.0
1985,3.9702683807263384e-08,6.015558051686298e-10
1986,4.435919365164409e-08,0.0
1987,4.0331389783432314e-08,6.110816852533674e-10
1988,4.797243136067664e-08,2.398621523624911e-09
1989,4.280735410588932e-08,3.2928733073589456e-09
1990,2.7788120249283565e-08,5.44865097484859e-10
1991,2.7548885839223658e-08,0.0
1992,4.903850481241534e-08,5.509944167592096e-10
1993,4.2097976660215863e-08,1.1078414852150331e-09
1994,4.008944287647864e-08,0.0
1995,3.524592884218691e-08,5.422450821690461e-10
1996,4.056949975961288e-08,1.067618438099771e-09
1997,3.6441196726855196e-08,0.0
1998,4.052909829965756e-08,0.0
1999,3.244842972094375e-08,1.3710603763428253e-09
2000,3.887867805474343e-08,8.836062992401139e-10
2001,5.257454205320755e-08,4.3812117822561447e-10
2002,3.417352800738627e-08,8.76244299341522e-10
2003,3.375207668909752e-08,8.333845835650777e-10
2004,4.448839163728735e-08,1.7619165015858584e-09
2005,3.1976622238971686e-08,0.0
2006,4.200247616381603e-08,1.6471559671771274e-09
2007,4.7933752966855536e-08,7.988958938831558e-10
2008,2.937633425403874e-08,4.257439678578834e-10
2009,3.528462499957641e-08,0.0
2010,3.637320489247031e-08,1.4171379625338432e-09
2011,3.556294103645996e-08,7.64794394481072e-10
2012,3.336167608836149e-08,3.404252713057332e-10
2013,4.1279051288256596e-08,1.3945624655065103e-09
2014,3.7678745457014884e-08,1.5158115873603606e-09
2015,4.4109849994811157e-08,1.7732603163622684e-09
2016,4.660515173782187e-08,2.0713399884186856e-09
2017,4.5029441508859236e-08,1.0062445321423752e-09
2018,3.975458895411066e-08,3.3559066636712487e-09
2019,3.7499521710060435e-08,1.2754939326953263e-09
