year,mon_DET an_NOUN,mon_DET lent_ADJ
1800,1.8864986461863964e-08,0.0
1801,1.6668278313147766e-08,0.0
1802,1.3427040812530322e-08,0.0
1803,4.290746247193056e-08,0.0
1804,7.4155528384522995e-09,0.0
1805,1.1371510844071508e-08,0.0
1806,1.152667650217154e-08,0.0
1807,2.562259604488304e-08,0.0
1808,1.5862517521725295e-08,0.0
1809,1.129515236897305e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,1.7549537378869218e-08,0.0
1812,1.0668832928217853e-08,0.0
1813,1.4378708224072057e-08,0.0
1814,2.5173417128598885e-08,0.0
1815,3.236668266737297e-08,0.0
1816,1.1588019432906549e-08,0.0
1817,4.670620334934483e-09,0.0
1818,1.4305412632253933e-08,0.0
1819,6.210630232317271e-09,0.0
1820,2.254631414899677e-08,0.0
1821,2.7612166775270452e-08,0.0
1822,7.017931125119503e-09,0.0
1823,5.929612023614084e-09,0.0
1824,1.1789557774477544e-08,0.0
1825,1.8491430164857547e-08,0.0
1826,1.0569581432307018e-08,0.0
1827,3.6869092223668076e-09,0.0
1828,1.0089531266022078e-08,0.0
1829,1.5431717126368483e-08,0.0
1830,1.8786305178153384e-08,0.0
1831,7.795602829929749e-09,0.0
1832,1.894195755802741e-08,0.0
1833,1.3900354645102198e-08,0.0
1834,1.0267984462686286e-08,0.0
1835,1.5126175867408165e-08,0.0
1836,1.6129799718100912e-08,0.0
1837,3.478945576063097e-09,0.0
1838,3.1560809521380406e-09,0.0
1839,2.9364194964465185e-08,0.0
1840,9.554533331179726e-09,0.0
1841,2.0545755763379248e-08,1.2841097074556274e-09
1842,1.0062398025922903e-08,6.708265054555795e-10
1843,2.953455535692484e-09,0.0
1844,4.939705144924034e-09,0.0
1845,8.370341586516616e-09,0.0
1846,1.0538102390711401e-08,6.439951683034906e-09
1847,4.853901280910122e-09,5.393223645455691e-10
1848,1.3676876908785829e-08,0.0
1849,1.6758829879393033e-09,0.0
1850,8.146795238417326e-09,0.0
1851,7.094382858952031e-09,0.0
1852,1.2370036328590572e-08,0.0
1853,1.4332636411040767e-08,0.0
1854,1.1950028522278444e-08,0.0
1855,1.3798036491152743e-08,0.0
1856,1.7602442614617075e-08,0.0
1857,9.763018116171196e-09,1.4644527812635033e-09
1858,1.2723557929472662e-08,0.0
1859,6.110607797538137e-09,0.0
1860,5.950339110327718e-09,0.0
1861,1.3676294874365169e-08,0.0
1862,1.084316739174973e-08,0.0
1863,9.989241878116673e-09,0.0
1864,7.192092033037056e-09,0.0
1865,9.884373208812747e-09,0.0
1866,9.244664256335966e-09,0.0
1867,6.308654931785895e-09,0.0
1868,4.445886658821507e-09,0.0
1869,1.2697149998075474e-08,0.0
1870,1.0321287824410774e-08,0.0
1871,7.434823867669138e-09,0.0
1872,5.442605366390296e-09,0.0
1873,8.380406202324053e-09,0.0
1874,9.559374403167453e-09,0.0
1875,1.544812294751452e-08,0.0
1876,9.67362345782874e-09,0.0
1877,1.6080521580974505e-08,0.0
1878,1.0870359612447089e-08,0.0
1879,1.2829583284634793e-08,1.221865053580018e-09
1880,2.0537108014195837e-08,0.0
1881,2.2312023950643578e-08,0.0
1882,1.1979693681496428e-08,0.0
1883,6.951273001654101e-09,0.0
1884,5.281357573494461e-09,1.3203393933736152e-09
1885,1.2246707870033902e-08,0.0
1886,1.0325542199041138e-08,0.0
1887,6.528924623161458e-09,0.0
1888,1.7753720937818684e-08,0.0
1889,8.14467776555361e-09,0.0
1890,7.865263995654459e-09,6.554386478008212e-10
1891,3.187110020341777e-09,0.0
1892,5.641661360300532e-09,0.0
1893,4.926733243593162e-09,0.0
1894,5.671385583383426e-09,0.0
1895,3.611168697403855e-09,0.0
1896,4.717623069971921e-09,0.0
1897,4.661370844871726e-09,0.0
1898,7.355861253444118e-09,0.0
1899,2.7637891975018647e-09,0.0
1900,9.34389587925466e-09,0.0
1901,7.2653604799022276e-09,0.0
1902,3.4371988033576883e-09,0.0
1903,1.2420506623200822e-08,0.0
1904,5.912087708281888e-09,0.0
1905,4.1286072338664326e-09,0.0
1906,1.0288368823552219e-08,1.5432553013283723e-09
1907,1.2342824040612044e-08,0.0
1908,6.875944924544797e-09,0.0
1909,1.320236009405562e-08,0.0
1910,8.016226016316352e-09,0.0
1911,6.916486605668126e-09,0.0
1912,1.2502610557962868e-08,0.0
1913,5.3029897140177695e-09,5.30298971401777e-10
1914,8.036092347118995e-09,0.0
1915,1.1780761921542648e-08,0.0
1916,1.2086208034389756e-08,0.0
1917,3.289927441585405e-09,1.0966424435210342e-09
1918,6.89182577673364e-09,0.0
1919,5.524709134618888e-09,0.0
1920,1.2872793941909322e-08,0.0
1921,6.8154727417280014e-09,1.5145494858259667e-09
1922,8.115728866719962e-09,0.0
1923,1.0615948120573648e-08,0.0
1924,9.024137215263295e-09,0.0
1925,1.3197813508725176e-08,0.0
1926,4.458455493683289e-09,0.0
1927,1.0034302500017134e-08,2.2298449753321847e-09
1928,4.570416489713125e-09,0.0
1929,8.912325322185666e-09,0.0
1930,1.0503603875555712e-08,0.0
1931,7.983749661377715e-09,0.0
1932,8.767629289252454e-09,0.0
1933,2.2941324395731044e-09,0.0
1934,3.5944740517379614e-09,0.0
1935,4.787313656606784e-09,0.0
1936,9.699771652549316e-09,0.0
1937,6.295559185076627e-09,0.0
1938,2.5930428915188486e-09,1.2965214457594243e-09
1939,4.588215141154706e-09,0.0
1940,0.0,0.0
1941,5.9030051957620344e-09,0.0
1942,3.034211770724937e-09,0.0
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,0.0
1945,1.3071024262956144e-08,0.0
1946,1.1136883415474585e-08,0.0
1947,3.5762612871081956e-09,0.0
