year,était_VERB au_ADP,était_VERB tôt_ADV,etait_VERB au_ADP
1800,4.50873176305322e-06,0.0,2.829747991484055e-08
1801,4.5456777115759905e-06,0.0,4.048010393553625e-08
1802,3.43508463629405e-06,0.0,1.5664880947952042e-08
1803,3.7485519897018094e-06,0.0,3.900678446910888e-09
1804,5.729750682803569e-06,0.0,1.4831105232815389e-08
1805,3.488210950308712e-06,0.0,1.421438877713399e-08
1806,4.397426891955547e-06,0.0,8.645007376628655e-09
1807,5.437684194475878e-06,0.0,5.693910232196231e-09
1808,3.825132807833143e-06,0.0,3.172503637571822e-08
1809,4.608422386809252e-06,0.0,2.9367397402779716e-08
1810,4.5492065510188695e-06,0.0,1.1700633351097167e-08
1811,6.009463049849728e-06,0.0,1.504245972228091e-08
1812,5.214391876506852e-06,0.0,1.8670456736202823e-08
1813,7.085827292030444e-06,0.0,2.5881675469463516e-08
1814,6.538794877997134e-06,0.0,6.293354282149721e-09
1815,5.890736247238237e-06,1.6183340889597275e-08,8.091670444798638e-09
1816,5.991006219119299e-06,1.622322720606917e-08,1.1588019432906549e-08
1817,6.95299650033121e-06,0.0,7.784366928831332e-09
1818,6.197820312081603e-06,0.0,1.0729059418679299e-08
1819,6.498389211628819e-06,0.0,2.7947834824182394e-08
1820,7.587428171973443e-06,0.0,2.610625848831205e-08
1821,7.81128528615227e-06,0.0,4.339054981983281e-08
1822,8.31324086902896e-06,0.0,1.4035862250239006e-08
1823,8.248090125562157e-06,8.894418535021487e-09,9.882686669016039e-09
1824,8.189532309188507e-06,0.0,1.6842226280289196e-08
1825,8.396870725846384e-06,8.805443041381977e-10,6.163809906922779e-09
1826,7.060480129439384e-06,0.0,2.730475201495608e-08
1827,8.202451681427192e-06,1.8434546111834038e-09,2.949527377893446e-08
1828,8.63113564264495e-06,5.503380862137419e-09,4.586150481600271e-08
1829,9.763990419742186e-06,1.8860987438529264e-08,1.8860987438529264e-08
1830,8.853568033373449e-06,1.0436835840010872e-09,2.191735437584441e-08
1831,8.567367331124842e-06,0.0,1.7150326936388183e-08
1832,9.029901775647886e-06,4.058990921151917e-09,2.3000948701223933e-08
1833,9.439499081054237e-06,1.1583628500844156e-09,1.6217079235048004e-08
1834,8.889273885870352e-06,1.213489042584115e-08,1.4935249259551142e-08
1835,9.27990913623944e-06,0.0,2.0420337421001022e-08
1836,8.851900020090397e-06,3.36037508930076e-09,1.747394939854985e-08
1837,8.809385690256022e-06,1.3915781860163179e-09,1.0436836284100082e-08
1838,9.038384632731322e-06,4.418513555037862e-09,1.7674053109928423e-08
1839,8.533095751772635e-06,3.4957374772659477e-09,1.1885507689157748e-08
1840,9.750082426762674e-06,1.4013314952876499e-08,2.4841785517537573e-08
1841,9.039490578288678e-06,2.5682194149112547e-09,2.1829864582656455e-08
1842,9.401633178640623e-06,6.037438549100216e-09,2.4820581145945653e-08
1843,9.16161934583215e-06,6.497602011990011e-09,1.7720733325177207e-08
1844,9.573148417985067e-06,8.232841963717874e-09,1.0977122322231025e-08
1845,9.847428373177536e-06,5.580227835366713e-09,8.928364714222425e-09
1846,9.300460988015402e-06,1.4050803187615202e-08,1.5221703009160592e-08
1847,8.939267900132108e-06,3.235934187273415e-09,1.941560512364049e-08
1848,8.465986866212916e-06,1.6090443422100975e-09,1.367687652020777e-08
1849,9.397514077136293e-06,1.6758829879393033e-09,1.256912263158938e-08
1850,8.770025488047395e-06,1.3577992064028876e-09,8.146795238417326e-09
1851,9.332982699561398e-06,1.2898877521649865e-09,1.3543821175687754e-08
1852,8.892103323887568e-06,1.9531636308300904e-09,1.8229526776991634e-08
1853,9.129292266152333e-06,5.3747388761848924e-09,8.957897534855874e-09
1854,8.465815881208982e-06,4.1565315633818045e-09,1.9223959313308114e-08
1855,9.105642675422132e-06,1.0613874223963649e-09,1.3798036491152743e-08
