year,mon_DET âne_NOUN,mon_DET ane_NOUN,mon_DET fan_NOUN
1800,1.0061326349841693e-07,3.144164484325529e-09,0.0
1801,7.381665989569797e-08,2.3811825400343878e-08,0.0
1802,1.857407312400028e-07,8.951360541686881e-09,0.0
1803,6.046051481689574e-08,4.095712347051972e-08,0.0
1804,4.943701981119375e-08,1.2359254952798437e-08,0.0
1805,9.381496113292087e-08,5.685755422035754e-09,0.0
1806,2.305335300434308e-08,5.76333825108577e-09,0.0
1807,2.2775640662331398e-07,2.2775640928784924e-08,0.0
1808,1.1783584596969376e-07,4.5321479902327155e-09,0.0
1809,1.1295152546608733e-07,0.0,0.0
1810,2.3167254914469027e-07,4.680253518074551e-09,0.0
1811,1.7549536934780008e-08,2.2563690471599784e-08,0.0
1812,1.7336853375127248e-07,8.00162469616339e-09,0.0
1813,5.176335093892703e-08,0.0,0.0
1814,1.0698702368472368e-07,9.440030979135372e-09,0.0
1815,4.5852800667489646e-08,2.697223555614414e-09,0.0
1816,6.952811659743929e-09,4.6352077731626196e-09,0.0
1817,4.98199508314201e-08,6.22749374290521e-09,0.0
1818,2.6226590676969863e-08,1.0729059418679299e-08,0.0
1819,4.0369095288816936e-08,2.070210003424222e-09,1.035105001712111e-09
1820,2.800489449228394e-07,5.933240565525466e-09,1.1866481131050932e-09
1821,2.416064655008654e-07,9.86148829262845e-10,0.0
1822,1.6341753905635414e-07,3.0076847679083585e-09,0.0
1823,8.696764419724445e-08,1.0870955358122103e-08,0.0
1824,1.1452713533088854e-07,8.421112696055388e-10,0.0
1825,1.5761742933051437e-07,5.283265824829186e-09,0.0
1826,1.3828535916360352e-07,0.0,0.0
1827,4.8851547418404806e-08,1.8434546111834038e-09,0.0
1828,1.0639869429951432e-07,1.8344602115138997e-08,0.0
1829,1.1402324351372783e-07,5.143905690285777e-09,0.0
1830,1.9308146015362126e-07,8.349468672008697e-09,0.0
1831,5.4569221807909685e-08,0.0,0.0
1832,2.448924476539105e-07,4.058990810129615e-09,0.0
1833,7.18184978154568e-08,1.2741991350928572e-08,0.0
1834,8.30773234650195e-08,2.0535967371060337e-08,0.0
1835,9.15133639978194e-08,5.294161553592858e-09,7.563087933704082e-10
1836,7.056787465486991e-08,6.7207500675792176e-09,0.0
1837,1.9203779189069792e-07,1.1132625266085938e-08,0.0
1838,9.531364741910409e-08,3.787297142565649e-09,6.312161904276081e-09
1839,1.2584656028380437e-07,6.991475398621105e-09,6.9914751765765e-10
1840,7.51623288053338e-08,1.2739377330817092e-09,0.0
1841,6.74157627500449e-08,1.2841097074556274e-09,0.0
1842,3.5553806565502555e-08,8.049918065466954e-09,0.0
1843,8.269675566552337e-08,1.1813822142769936e-09,0.0
1844,5.598332397660499e-08,0.0,0.0
1845,9.988607718725007e-08,3.3481368233445608e-09,0.0
1846,5.561776106333127e-08,5.854501328173001e-10,0.0
1847,1.0301056807549003e-07,5.393223645455691e-10,0.0
1848,1.5688181953521507e-07,1.6090443422100975e-09,0.0
1849,4.0221190600320256e-08,0.0,0.0
1850,9.708263970509279e-08,1.3577992064028876e-09,6.788996032014438e-10
1851,1.0835056762914519e-07,1.3543820953643149e-08,0.0
1852,6.38033477162736e-08,6.510545436100301e-09,0.0
1853,1.97073753760435e-07,1.7915795513800958e-09,0.0
1854,5.4554475381607404e-08,1.5586993362681767e-09,0.0
1855,7.376642940926104e-08,6.8990182455763716e-09,5.306937111981824e-10
1856,4.814786080942213e-08,1.0354378465748937e-09,0.0
1857,4.4421731182353597e-08,1.4644527812635033e-09,0.0
1858,2.623010306734841e-07,1.9574704079872163e-09,0.0
1859,6.1106079307649e-08,0.0,0.0
1860,1.0024032626176904e-07,9.154367819341758e-10,9.154367819341758e-10
1861,8.583054311728233e-08,5.187560159214399e-09,0.0
1862,1.0933526883860623e-07,9.035972525772706e-10,0.0
1863,7.791608602758515e-08,1.4983862484108101e-09,0.0
1864,7.527722800659831e-08,1.4384183844029508e-09,0.0
1865,1.4873628195744004e-07,6.11889772184071e-09,0.0
1866,1.2261344828345955e-07,2.9193678030559056e-09,4.865612912574591e-10
1867,8.73506067478047e-08,6.79393608038481e-09,4.85281148598915e-10
1868,7.607406171672437e-08,2.4699371437009177e-09,0.0
1869,9.767038378072357e-08,1.4650557433881772e-09,4.883519144627257e-10
