year,en_ADP art_NOUN,en_ADP fard_NOUN
1800,3.5529058095562505e-07,3.144164484325529e-09
1801,2.3335590038087162e-07,2.3811825844433088e-09
1802,2.528759353026544e-07,0.0
1803,2.96451567294298e-07,0.0
1804,3.5347467886026607e-07,0.0
1805,4.3780317948716174e-07,0.0
1806,1.2679343619481642e-07,0.0
1807,4.0711458382247656e-07,0.0
1808,1.994145080175258e-07,0.0
1809,3.478907117937524e-07,0.0
1810,3.1591712490453006e-07,4.680253518074551e-09
1811,3.133846036007526e-07,0.0
1812,2.347143261971496e-07,0.0
1813,3.163315744902917e-07,2.0130190847567064e-08
1814,2.1082736223476672e-07,0.0
1815,3.425474046636623e-07,5.394447111228828e-09
1816,1.9931394135142e-07,0.0
1817,1.7125607354451233e-07,0.0
1818,2.0027577329884139e-07,1.1921177378582115e-09
1819,2.856889746993829e-07,5.175524897538253e-09
1820,2.9191542783024715e-07,0.0
1821,3.4416593208685953e-07,0.0
1822,3.448811725093037e-07,0.0
1823,2.5793813007712885e-07,9.882686891060644e-10
1824,2.080014889216386e-07,0.0
1825,2.3246369362794894e-07,0.0
1826,1.98179641364149e-07,0.0
1827,2.1199727545662128e-07,9.217273055917019e-10
1828,1.6601865127086057e-07,0.0
1829,1.3974277424111392e-07,0.0
1830,1.6281463843803579e-07,0.0
1831,2.2451337100548585e-07,0.0
1832,2.0565553371376666e-07,1.3529969367098715e-09
1833,2.3283092964732077e-07,1.1583628500844156e-09
1834,2.1936147609480372e-07,0.0
1835,2.102538445569735e-07,0.0
1836,2.5337227693711384e-07,6.720750067579218e-10
1837,2.5048406193661776e-07,6.957890930081589e-10
1838,1.956770185884693e-07,0.0
1839,1.8527408773838516e-07,6.9914751765765e-10
1840,2.465069468549075e-07,1.2739377330817092e-09
1841,2.3499206980304166e-07,0.0
1842,1.6837745286935046e-07,2.683306021822318e-09
1843,2.72308605886451e-07,4.134837805480629e-09
1844,1.816713766089606e-07,4.9397050894128824e-09
1845,2.310214348710815e-07,0.0
1846,2.3418005912212436e-07,0.0
1847,2.448523579445805e-07,0.0
1848,2.0273959022709676e-07,0.0
1849,1.458018203948086e-07,8.379414939696517e-10
1850,2.0570657888185906e-07,0.0
1851,2.2121575149469663e-07,1.2898877521649865e-09
1852,2.500049509635005e-07,3.906327261660181e-09
1853,1.9587936606058065e-07,0.0
1854,2.51989728639046e-07,2.5978321716024766e-09
1855,3.5874894521725764e-07,2.653468555990912e-09
1856,2.4746964832900176e-07,2.0708756931497874e-09
1857,1.9965372066721443e-07,0.0
1858,2.1630048152587733e-07,0.0
1859,2.3373075563881685e-07,7.638259802433822e-09
1860,2.0093836816670319e-07,1.373155145145688e-09
1861,1.876953561463779e-07,2.357981809808507e-09
1862,2.218331287551223e-07,9.035972525772706e-10
1863,2.497310411797571e-07,0.0
1864,3.1213678575170434e-07,0.0
1865,2.4051974989447444e-07,2.3534221238463715e-09
1866,2.4182096414193666e-07,0.0
1867,3.2174139263929646e-07,4.85281148598915e-10
1868,3.606107963349814e-07,0.0
1869,2.6224497418070314e-07,9.767038289254515e-10
1870,3.314280263566616e-07,0.0
1871,2.570324895145859e-07,0.0
1872,2.9087701491903317e-07,0.0
1873,2.9690581726526943e-07,0.0
1874,2.8976854693496534e-07,0.0
1875,3.684663383296538e-07,5.721527140956084e-10
1876,4.867041951683859e-07,0.0
1877,2.9996358463790784e-07,0.0
1878,3.9314468480711184e-07,0.0
1879,4.1726692145971356e-07,0.0
1880,3.651754560962672e-07,0.0
1881,4.288092299020718e-07,0.0
1882,5.623800376497456e-07,0.0
1883,5.579976374292528e-07,1.8958017378167824e-09
