year,en_ADP humeurs_NOUN,en_ADP fumeurs_NOUN
1800,5.973912209356058e-08,0.0
1801,6.905429472681135e-08,0.0
1802,4.699464284385613e-08,0.0
1803,7.801356893821776e-09,0.0
1804,2.7190360185613827e-08,0.0
1805,1.421438877713399e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,1.4234775136401367e-08,0.0
1808,9.064295980465431e-09,0.0
1809,1.581321384946932e-08,0.0
1810,2.3401267590372754e-09,0.0
1811,3.008491944456182e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,2.8757416004054903e-08,0.0
1814,9.440030979135372e-09,0.0
1815,5.394447111228828e-09,0.0
1816,2.5493642752394408e-08,0.0
1817,3.113746815941454e-09,0.0
1818,2.5034472272977837e-08,1.1921177378582115e-09
1819,1.8631890696951814e-08,0.0
1820,9.730514705097448e-08,0.0
1821,2.859831660373402e-08,0.0
1822,1.2030739071633434e-08,7.017931125119503e-09
1823,2.174191138237802e-08,0.0
1824,4.210556348027694e-09,0.0
1825,9.68598712347557e-09,0.0
1826,4.403992281964975e-09,0.0
1827,1.8434546333878643e-08,0.0
1828,2.384798314380987e-08,0.0
1829,1.2002446148073886e-08,0.0
1830,7.305785310052215e-09,0.0
1831,1.2472964883158966e-08,0.0
1832,2.705993829010822e-08,0.0
1833,1.2741991461950875e-08,0.0
1834,1.8669062740173104e-08,0.0
1835,3.025235173481633e-08,0.0
1836,2.8227150394855016e-08,1.3441500135158435e-09
1837,4.5226290268374214e-08,0.0
1838,8.837027110075724e-09,6.312161904276081e-10
1839,1.677954131196202e-08,0.0
1840,7.0066574764382494e-09,0.0
1841,2.8250413564023802e-08,0.0
1842,4.024959032733477e-09,0.0
1843,7.678984559333912e-09,0.0
1844,5.488561161115513e-09,0.0
1845,5.580227835366713e-09,0.0
1846,2.517435504501009e-08,0.0
1847,3.235934187273415e-09,0.0
1848,4.34441957963827e-08,0.0
1849,8.379414939696517e-10,0.0
1850,3.394498016007219e-09,0.0
