year,en_ADP oie_NOUN,en_ADP foies_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,1.666827853519237e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,9.751696339321825e-09,0.0
1804,1.2359254952798437e-08,0.0
1805,3.695740957709859e-08,0.0
1806,1.4408345627714425e-08,0.0
1807,0.0,0.0
1808,1.0877154998922833e-07,1.1330369531492579e-08
1809,0.0,2.259030518203531e-09
1810,2.3401266702194334e-08,0.0
1811,1.504245972228091e-08,0.0
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,0.0
1814,1.1642705288750221e-07,0.0
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,0.0
1818,4.768470951432846e-09,0.0
1819,4.140420006848444e-09,0.0
1820,2.3732962262101864e-09,0.0
1821,1.577838126820552e-08,0.0
1822,1.0025615893027862e-09,0.0
1823,1.9765373782121287e-09,0.0
1824,1.9368560089105813e-08,0.0
1825,7.924898959288385e-09,0.0
1826,3.5231937367541377e-09,0.0
1827,1.8434546111834038e-09,0.0
1828,7.337841001486822e-09,0.0
1829,9.430493719264632e-09,0.0
1830,2.0873671680021744e-09,0.0
1831,1.5591206103948707e-09,0.0
1832,2.0294953273491956e-08,0.0
1833,2.3167257001688313e-09,0.0
1834,3.733812370398937e-09,0.0
1835,7.563087933704082e-09,0.0
1836,2.016224964762614e-09,0.0
1837,1.3915781860163179e-09,4.174734336004349e-09
1838,4.418513332993257e-09,1.2624323808552163e-09
1839,2.0974426639952526e-09,6.9914751765765e-10
1840,5.732719632334238e-09,6.369688665408546e-10
1841,2.3113974734201292e-08,0.0
1842,1.341653010911159e-09,0.0
1843,1.7720733214154905e-09,1.7720733769266417e-09
1844,3.2931368743049916e-09,0.0
1845,3.9061593959388574e-09,0.0
1846,2.9272506640865004e-09,0.0
1847,7.011190739092399e-09,5.393223645455691e-10
1848,4.82713291560799e-09,0.0
1849,1.9272654583346593e-08,0.0
1850,6.788996032014438e-09,6.788996032014438e-10
1851,1.0964046337491595e-08,6.449438760824933e-10
1852,5.208436348880241e-09,1.3021090872200602e-09
1853,1.791579506971175e-08,0.0
1854,7.79349651480743e-09,0.0
1855,1.0083180512765466e-08,0.0
1856,1.3978411317339123e-08,0.0
1857,1.4156376515472857e-08,3.4170564155999728e-09
1858,1.5659763041853125e-08,0.0
1859,2.036869339860914e-09,0.0
1860,4.57718396518203e-09,4.577183909670879e-10
1861,7.073945706981277e-09,0.0
1862,1.490935469528054e-08,1.3553959066214816e-09
1863,3.9956967790022446e-08,0.0
1864,1.4384183844029508e-09,9.589455896019672e-10
1865,1.3179164426446732e-08,0.0
1866,1.702964580463373e-08,0.0
1867,1.4073153309368536e-08,0.0
1868,1.2349685274415378e-08,1.975949626142892e-09
1869,2.24641887314192e-08,9.767038289254515e-10
1870,9.17447806614291e-09,1.1468097582678638e-09
1871,2.2304472935275044e-08,1.0621177271019633e-09
1872,7.256807155187062e-09,0.0
1873,2.5141218329416404e-08,0.0
1874,1.1949218503559678e-08,0.0
1875,9.7265964171811e-09,5.721527140956084e-10
1876,2.1161051577678336e-08,0.0
1877,2.2265337129567797e-08,0.0
1878,2.1740719446938783e-08,6.039088673581716e-10
1879,1.5273313280772527e-08,0.0
1880,1.6044615858135103e-08,0.0
1881,2.1614772693911988e-08,0.0
1882,3.327692410515226e-08,0.0
1883,8.847074184359371e-09,1.2638677882037541e-09
1884,1.4523733327109767e-08,0.0
1885,1.546952527187173e-08,0.0
1886,2.0005737511041843e-08,0.0
1887,2.0239665943222462e-08,0.0
1888,3.1703073499755874e-09,0.0
1889,1.3783300722991498e-08,0.0
1890,7.865263995654459e-09,1.9663159989136147e-09
1891,1.0836173736095134e-08,6.374220040683554e-10
1892,7.522214628963297e-09,0.0
1893,1.2932674486876294e-08,0.0
1894,8.192001077489408e-09,6.301539290376468e-10
1895,9.629783193076946e-09,0.0
1896,2.94851448812139e-09,0.0
1897,8.740070001067579e-09,0.0
1898,3.960848538042683e-09,2.26334195829736e-09
1899,7.738609753005221e-09,5.527578395003729e-10
1900,8.30568502863116e-09,0.0
1901,1.620734302321125e-08,0.0
1902,7.365425880312415e-09,2.455141867585553e-09
1903,9.1803746826713e-09,1.0800440541913758e-09
1904,4.837162670412454e-09,1.0749250378694342e-09
1905,1.4450125374043665e-08,0.0
1906,1.0288368990085672e-08,0.0
1907,1.2342823652033985e-08,0.0
1908,1.7680999775393502e-08,3.929111258571538e-09
1909,5.500983557560346e-10,0.0
1910,1.4963622119168463e-08,0.0
1911,5.3203743632934675e-09,0.0
1912,9.376957876838787e-09,0.0
1913,1.0075680734189518e-08,0.0
1914,6.696743604095445e-09,0.0
1915,1.6493066468115103e-08,4.712304768617059e-09
1916,1.0987462051303964e-09,0.0
1917,1.315970976634162e-08,0.0
1918,4.594550517822427e-09,8.040463406189247e-09
1919,8.287063479883727e-09,0.0
1920,1.0601124866838063e-08,3.786115865267448e-09
1921,5.300923255902035e-09,0.0
1922,3.6889677978990676e-09,0.0
1923,7.431163684401554e-09,0.0
1924,9.024137215263295e-09,0.0
1925,1.2097995494286806e-08,0.0
1926,2.229227691330493e-09,2.229227691330493e-09
1927,1.0034302277972529e-08,0.0
1928,2.2852082337543322e-08,0.0
1929,6.684243603061191e-09,1.1140406375176326e-09
1930,1.3654684494213143e-08,0.0
1931,1.1405356659111021e-08,0.0
1932,5.4797681947604815e-09,1.0959536611565568e-09
1933,1.1470662641954732e-08,0.0
1934,1.3179738189705859e-08,0.0
