year,certain_ADJ or_NOUN
1800,1.2576657937302116e-08
1801,1.4287095950749062e-08
1802,2.2378401354217203e-09
1803,5.851017448321727e-09
1804,7.4155526164076946e-09
1805,8.528632911009026e-09
1806,1.729001475325731e-08
1807,8.540865792383556e-09
1808,6.798221985349073e-09
1809,0.0
1810,9.360507036149102e-09
1811,1.2535384286138651e-08
1812,0.0
1813,2.8757416448144113e-09
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,8.344824387052086e-09
1819,2.070210003424222e-09
1820,8.306536791735653e-09
1821,5.9168927535324656e-09
1822,3.0076847679083585e-09
1823,1.1859224713361982e-08
1824,0.0
1825,4.4027217427355936e-09
1826,1.7615968683770689e-09
1827,3.6869092223668076e-09
1828,2.7516903755575584e-09
1829,1.3717081692732336e-08
1830,6.262101504006523e-09
1831,1.5591206103948707e-09
1832,9.470978667991403e-09
1833,3.4750886612755494e-09
1834,1.8669061851994684e-09
1835,4.5378527602224494e-09
1836,2.016224964762614e-09
1837,1.3915781860163179e-09
1838,1.2624323808552163e-09
1839,3.4957375882882502e-09
1840,1.2739377330817092e-09
1841,1.926164561183441e-09
1842,1.2745703159566801e-08
1843,2.953455535692484e-09
1844,2.195424508855126e-09
1845,2.790113973194508e-09
1846,1.7563503984519002e-09
1847,5.393223645455691e-10
1848,0.0
1849,4.1897072478036534e-09
1850,4.752297222410107e-09
1851,2.579775504329973e-09
1852,6.510545436100301e-10
1853,2.9859659189668264e-09
1854,1.506742641765868e-08
1855,5.837630823180007e-09
1856,1.1389815923745772e-08
1857,1.1715621583974212e-08
1858,1.468102750479261e-09
1859,8.147477359443656e-09
1860,5.950338888283113e-09
1861,5.187560159214399e-09
1862,6.776979422085105e-09
1863,8.990317490464861e-09
1864,1.9178911792039344e-09
1865,7.060266649094871e-09
1866,4.865613079108044e-09
1867,4.367530337390235e-09
1868,1.333765986544222e-08
1869,4.395167341186834e-09
1870,6.307453670473251e-09
1871,4.248470908407853e-09
1872,1.0885210954825197e-08
1873,2.9930022904522957e-09
1874,5.377148060148329e-09
1875,1.830888685105947e-08
1876,1.209202959984168e-09
1877,4.9478527941460015e-09
1878,6.039088784604019e-09
1879,2.443730107160036e-09
