year,vos_DET humeurs_NOUN,vos_DET tumeurs_NOUN
1800,6.288328968651058e-09,0.0
1801,2.1430643926123594e-08,0.0
1802,4.475680270843441e-09,0.0
1803,2.3404069793286908e-08,0.0
1804,3.213406074564773e-08,0.0
1805,1.421438877713399e-08,0.0
1806,2.881669125542885e-08,0.0
1807,2.562259560079383e-08,0.0
1808,4.078933102391602e-08,0.0
1809,1.8072244145628247e-08,0.0
1810,4.680253340438867e-08,0.0
1811,7.521229861140455e-09,0.0
1812,5.601137331723294e-08,0.0
1813,2.5881675469463516e-08,0.0
1814,3.1466771410748606e-09,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-09,0.0
1817,3.89218364205135e-08,0.0
1818,2.6226589344702234e-08,0.0
1819,1.5526574914659363e-08,0.0
1820,9.849179516407958e-08,0.0
1821,3.944595405869222e-08,0.0
1822,3.8097340393505874e-08,0.0
1823,2.9648060007048116e-08,0.0
1824,2.5263337199987745e-08,0.0
1825,5.6354835464844655e-08,0.0
1826,2.290075862276808e-08,0.0
1827,2.1199728195142598e-08,0.0
1828,3.118582370120748e-08,0.0
1829,1.7146351893870815e-08,0.0
1830,2.8179456323940144e-08,0.0
1831,7.795603274018958e-09,0.0
1832,9.470978667991403e-09,0.0
1833,3.8225973497674204e-08,0.0
1834,2.893704542650255e-08,0.0
1835,1.739510224751939e-08,0.0
1836,4.032450107160912e-08,0.0
1837,2.852735292435682e-08,0.0
1838,2.840472923537618e-08,0.0
1839,2.3771015378315496e-08,0.0
1840,5.732719632334238e-09,0.0
1841,8.988767952189392e-09,0.0
1842,3.6895457355967665e-08,4.024959032733477e-09
1843,8.860366662588604e-09,0.0
1844,3.951764071530306e-08,0.0
1845,2.0646844234306627e-08,0.0
1846,9.367202125076801e-09,0.0
1847,1.1865092020002521e-08,0.0
1848,7.24069959545659e-09,0.0
1849,1.3407063903514427e-08,0.0
1850,1.9009188889640427e-08,0.0
1851,2.1283147688677673e-08,0.0
1852,1.4974254725075298e-08,0.0
1853,1.7318601441829173e-08,0.0
1854,1.6626126253527218e-08,1.558699391779328e-09
1855,3.02495415382964e-08,0.0
1856,4.555926480520611e-08,0.0
1857,2.5871997877402464e-08,0.0
1858,2.1532175153993194e-08,0.0
1859,1.629495471888731e-08,0.0
1860,7.323494255473406e-09,0.0
1861,4.291526956023972e-08,1.8863854922557266e-09
1862,1.671654992208005e-08,0.0
1863,2.347471755870245e-08,0.0
1864,3.452204211384924e-08,0.0
1865,2.8241066374334878e-08,0.0
1866,1.751620715140234e-08,4.865612912574591e-10
1867,5.82337378318698e-09,0.0
1868,1.3831647271977943e-08,4.93987406535723e-10
1869,2.0999133099053324e-08,0.0
1870,5.734048791339319e-09,0.0
1871,2.0180236148803488e-08,0.0
1872,5.442605477412599e-09,0.0
1873,8.979006871356887e-09,0.0
1874,1.5533982988813477e-08,5.974609140757536e-10
1875,2.1741803024610817e-08,0.0
1876,1.5115036333668286e-08,0.0
1877,2.3502300106059693e-08,0.0
1878,2.3552445327368332e-08,0.0
1879,7.942122737247814e-09,0.0
1880,1.7328184442888528e-08,0.0
1881,2.1614773526579256e-08,0.0
1882,2.0631694352957197e-08,0.0
1883,6.319339107552224e-09,0.0
1884,2.3766109080725073e-08,0.0
1885,1.0313017106966527e-08,0.0
1886,2.6459202329132125e-08,0.0
1887,6.528924512139156e-09,0.0
1888,3.1703073499755874e-09,0.0
1889,1.0650732740202784e-08,0.0
1890,2.6217545912032847e-09,0.0
1891,6.3742202627281586e-09,0.0
1892,1.2537024751679837e-08,6.268512375839919e-10
1893,3.079208221734575e-09,0.0
1894,1.071261657159539e-08,0.0
1895,1.2037228991346183e-08,0.0
1896,2.0639600695204763e-08,0.0
1897,9.322741689743452e-09,5.826713556089658e-10
1898,1.3014216371232123e-08,0.0
1899,2.7637891975018647e-09,0.0
1900,1.661137005726232e-08,0.0
1901,5.58873880507349e-09,0.0
1902,5.4013122863239005e-09,0.0
1903,5.940242076007962e-09,0.0
1904,9.13686282189019e-09,1.6123875568041512e-09
1905,6.192911072844254e-09,5.160759042333041e-10
1906,5.658602919567102e-09,1.5432553013283723e-09
1907,6.685696440911215e-09,0.0
1908,9.331639461152008e-09,0.0
1909,2.2554033307642385e-08,0.0
1910,1.0153886620400954e-08,1.068830135508847e-09
1911,4.788336838146279e-09,0.0
1912,5.2094213387476884e-09,0.0
1913,1.9090762748419365e-08,5.30298971401777e-10
1914,1.0714789944188396e-08,0.0
1915,4.712304768617059e-09,0.0
1916,3.2962386153911893e-09,0.0
1917,2.1932848426331475e-08,0.0
1918,9.189101035644853e-09,0.0
1919,6.4454939163738345e-09,0.0
1920,9.843901693784574e-09,7.572231730534895e-10
1921,6.815472630705699e-09,0.0
1922,1.4755870636484758e-08,0.0
1923,1.3800733000834953e-08,0.0
1924,1.933743698501189e-08,0.0
1925,1.2097995494286806e-08,0.0
1926,7.802296586589819e-09,0.0
1927,1.8953683067479687e-08,0.0
