year,suis_VERB au_ADP,suis_VERB tôt_ADV
1800,8.17482771253708e-07,0.0
1801,1.4953826621422195e-06,0.0
1802,7.742926868559152e-07,0.0
1803,8.932553896556783e-07,0.0
1804,2.1455666683323216e-06,0.0
1805,1.2195945373605355e-06,0.0
1806,1.6339064359272015e-06,0.0
1807,8.512395766047121e-07,0.0
1808,7.070150900290173e-07,0.0
1809,1.0504492138352362e-06,0.0
1810,1.6825511011120398e-06,0.0
1811,1.2410030194587307e-06,0.0
1812,1.1895748457391164e-06,0.0
1813,1.1675510904751718e-06,0.0
1814,8.873629440131481e-07,0.0
1815,9.763949719854281e-07,0.0
1816,7.972557227731158e-07,0.0
1817,1.3716054354517837e-06,0.0
1818,1.6379697171942098e-06,0.0
1819,9.440157668905158e-07,0.0
1820,1.5485758240174619e-06,0.0
1821,1.876641249509703e-06,0.0
1822,1.5389319969472126e-06,0.0
1823,1.5535583770542871e-06,0.0
1824,1.3069567330603604e-06,0.0
1825,1.4159152215142967e-06,0.0
1826,7.909570172159874e-07,0.0
1827,9.291011338063981e-07,0.0
1828,9.851052027443075e-07,0.0
1829,9.216164471581578e-07,0.0
1830,1.1637072248049662e-06,0.0
1831,1.3268116845210898e-06,0.0
1832,1.2758761158693233e-06,0.0
1833,1.0958112852677004e-06,0.0
1834,9.334530659543816e-07,0.0
1835,1.1208496744075092e-06,0.0
1836,1.0901056839429657e-06,6.72075017860152e-09
1837,9.379236871609464e-07,0.0
1838,8.849651180753426e-07,0.0
1839,7.704605877734139e-07,0.0
1840,7.611777732563496e-07,0.0
1841,7.878012979745108e-07,0.0
1842,9.042741453413328e-07,0.0
1843,9.492405865785258e-07,0.0
1844,7.497374667764234e-07,0.0
1845,8.152712780429283e-07,0.0
1846,7.429362085531466e-07,0.0
1847,6.196813728820416e-07,0.0
1848,8.600342198405997e-07,0.0
1849,6.728670314259944e-07,0.0
1850,7.780189434924978e-07,0.0
1851,6.907349074936064e-07,0.0
1852,8.053544888753095e-07,0.0
1853,8.127799446810968e-07,0.0
1854,7.996127351361793e-07,0.0
1855,1.0937596925941762e-06,0.0
1856,9.298231589127681e-07,0.0
1857,9.489653507444018e-07,0.0
1858,1.0076079206555733e-06,0.0
1859,1.0128333087777719e-06,0.0
1860,9.927912287821528e-07,0.0
1861,1.0040287179435836e-06,4.715963730639317e-10
1862,1.147568468695681e-06,0.0
1863,1.034885485751147e-06,0.0
1864,1.0874442750719027e-06,0.0
1865,1.1442339200584684e-06,0.0
1866,1.002316253106983e-06,0.0
1867,1.0685890856620972e-06,0.0
1868,9.75131115410477e-07,0.0
1869,1.0587469887468615e-06,0.0
1870,9.317829494648322e-07,0.0
1871,9.006758432406059e-07,0.0
1872,1.0105103456226061e-06,0.0
1873,8.146952268361929e-07,0.0
1874,8.537716666978667e-07,0.0
1875,1.171768758467806e-06,0.0
1876,9.818728585742065e-07,0.0
1877,1.0767764706542948e-06,6.184815992682502e-10
1878,8.406411211581144e-07,0.0
1879,1.0538585684116697e-06,6.10932526790009e-10
1880,1.0153032690141117e-06,0.0
1881,1.084224891201302e-06,0.0
1882,1.0289224974258104e-06,0.0
1883,1.073023781827942e-06,0.0
1884,9.5460541160719e-07,0.0
1885,6.806591272834339e-07,0.0
1886,6.685788775939727e-07,3.2267319927115068e-09
1887,8.494130838698766e-07,0.0
1888,7.538990871580609e-07,6.340614699951175e-10
1889,8.382752980651276e-07,0.0
1890,7.537544206570601e-07,6.554386478008212e-10
1891,7.311230660889123e-07,0.0
1892,8.055038165366568e-07,0.0
1893,6.718832423757704e-07,0.0
1894,6.881280683046498e-07,0.0
1895,7.992720156835276e-07,6.018614495673091e-10
1896,7.477432859559485e-07,0.0
1897,7.353312412305968e-07,0.0
1898,8.634649475425249e-07,0.0
1899,8.567746476728644e-07,0.0
1900,6.561490977219364e-07,0.0
1901,7.052988735267718e-07,0.0
1902,5.813776056129427e-07,9.820567692386817e-10
1903,5.972643748464179e-07,0.0
1904,7.169750233515515e-07,2.1498500757388683e-09
1905,7.895961289250408e-07,1.5482277682110634e-09
1906,7.561951065326866e-07,0.0
1907,8.177120776053926e-07,0.0
1908,8.089057814686385e-07,4.911389073214423e-10
1909,8.62554202285537e-07,0.0
