year,devrons_VERB avoir_VERB,devrons_VERB savoir_VERB
1800,1.8864987794131594e-08,0.0
1801,2.3811825400343878e-08,0.0
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,2.2660739951163578e-09,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,2.5070767684098882e-09,0.0
1812,2.6672082320544632e-09,0.0
1813,1.1502966579257645e-08,0.0
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,0.0,0.0
1816,3.9399267848239106e-08,0.0
1817,1.556873407970727e-09,0.0
1818,1.1921177378582115e-09,0.0
1819,2.4842520929269085e-08,1.2421260464634543e-08
1820,0.0,1.4239777357261119e-08
1821,6.903041693817613e-09,0.0
1822,1.303330066093622e-08,0.0
1823,1.7788837070042973e-08,0.0
1824,2.105278085196005e-08,0.0
1825,1.7610886082763955e-09,0.0
1826,2.1139161532346407e-08,0.0
1827,7.373818444733615e-09,0.0
1828,2.109629271274116e-08,0.0
1829,8.573175946935407e-09,0.0
1830,8.349468672008697e-09,0.0
1831,4.677361609140007e-09,0.0
1832,2.705993873419743e-09,0.0
1833,6.950177322551099e-09,0.0
1834,2.8003592777992026e-09,0.0
1835,2.7227116561334697e-08,0.0
1836,1.008112526790228e-08,3.36037508930076e-09
1837,0.0,4.174734336004349e-09
1838,1.0730675015224733e-08,0.0
1839,1.3982950353153e-09,6.9914751765765e-10
1840,1.592422194107712e-08,0.0
1841,3.852329122366882e-09,0.0
1842,7.379091560011375e-09,0.0
1843,7.678984559333912e-09,2.3627644285539873e-09
1844,4.9397050894128824e-09,2.7442805805577564e-09
1845,1.2276501593078137e-08,0.0
1846,7.610851504580296e-09,0.0
1847,2.2112217834546755e-08,0.0
1848,8.04522137798358e-09,0.0
1849,1.256912263158938e-08,3.3517659758786067e-09
1850,5.431196825611551e-09,1.3577992064028876e-09
1851,2.579775504329973e-09,6.449438760824933e-10
1852,5.859490670445666e-09,0.0
1853,1.1943863675867306e-08,0.0
1854,2.8576154775805662e-08,0.0
1855,1.8043586180738203e-08,0.0
1856,1.2942972915652717e-08,0.0
1857,3.905207268672939e-09,4.881509085841174e-10
1858,5.872411001917044e-09,0.0
1859,1.6804172275897145e-08,5.092173349652285e-10
1860,4.119465657481669e-09,2.746310290291376e-09
1861,1.8863854478468056e-08,1.8863854922557266e-09
1862,1.581295272501393e-08,2.2589932147099034e-09
1863,4.495158911765884e-09,0.0
1864,1.4384183621984903e-08,1.9178911792039344e-09
1865,1.553258677233771e-08,2.3534221238463715e-09
1866,1.5083399418358567e-08,0.0
1867,2.1837651686951176e-08,0.0
1868,1.1361710683388537e-08,0.0
1869,1.70923168951731e-08,0.0
1870,1.834895613228582e-08,5.734048791339319e-10
1871,1.1683295220166201e-08,0.0
1872,1.69325495846806e-08,4.8378714367913744e-09
1873,1.3767810003173508e-08,2.9930022904522957e-09
1874,4.480956761199195e-08,1.1949218281515073e-09
1875,2.7463329388410784e-08,0.0
1876,1.6928840551599933e-08,0.0
1877,1.4843558382438005e-08,0.0
1878,1.3889904337816006e-08,0.0
1879,2.5659165459046562e-08,0.0
1880,3.0805662021293756e-08,0.0
1881,1.2550513517339823e-08,6.972507571312292e-10
1882,4.5256619785050134e-08,0.0
1883,1.7062214752172622e-08,1.2638677882037541e-09
1884,2.772712726084592e-08,1.9805090900604227e-09
1885,2.8360796378024133e-08,0.0
1886,2.3877817056927597e-08,0.0
1887,1.1752064210668323e-08,6.528924623161458e-10
1888,2.6630582183884144e-08,0.0
1889,2.6313573542324775e-08,0.0
1890,2.4906668727453507e-08,6.554386478008212e-10
1891,3.250852387282066e-08,0.0
1892,2.820830502514582e-08,0.0
1893,1.847524977449666e-08,6.158416554491453e-10
1894,3.969969597505951e-08,5.671385139294216e-09
1895,3.310238128051424e-08,0.0
1896,2.889544248318998e-08,0.0
1897,2.680288169187861e-08,4.661370844871726e-09
1898,2.1501747937691107e-08,1.6975064687230201e-09
1899,1.6582735185011188e-08,1.1055156790007459e-09
1900,1.86877908703309e-08,0.0
1901,3.1855812210324075e-08,1.1177477832191585e-09
1902,1.718599307309887e-08,3.437198747846537e-09
1903,4.428180488957878e-08,0.0
1904,2.6335662539622717e-08,2.1498500757388683e-09
1905,1.0321517862621477e-08,0.0
1906,3.343719967574543e-08,0.0
1907,1.5942815068115124e-08,0.0
1908,3.241516921548282e-08,4.4202499438483756e-09
1909,2.0353638774395222e-08,1.6502950117569526e-09
1910,3.4202564336283103e-08,2.67207544979442e-09
1911,4.149891807969652e-08,2.6601871816467337e-09
1912,3.5945006970905524e-08,1.0418842455450772e-09
1913,3.1287640922528226e-08,0.0
1914,4.018046340092951e-08,2.678697486047099e-09
1915,4.005459075528961e-08,0.0
1916,3.4061130804730055e-08,5.493730803607377e-09
1917,2.631941953268324e-08,1.6449636319748606e-08
1918,4.9391417178412667e-08,5.743188147278033e-09
1919,5.340552178267899e-08,0.0
1920,4.0132828615924154e-08,6.815008557481406e-09
1921,3.559191341651058e-08,6.058197943303867e-09
1922,3.24629176873259e-08,0.0
1923,1.4862327368803108e-08,5.307974060286824e-09
1924,2.3204924204378585e-08,1.289162443462999e-09
1925,2.639562701745035e-08,0.0
1926,3.6782257240020044e-08,0.0
1927,3.0102906833917586e-08,6.689535148041159e-09
1928,1.5996457491951332e-08,3.4278122562625413e-09
1929,2.8965056131369238e-08,1.1140406375176326e-09
1930,1.7856125467119455e-08,4.201441416995522e-09
1931,3.079446386777818e-08,0.0
1932,2.9590749406338546e-08,0.0
1933,2.064719240024715e-08,1.1470662197865522e-09
1934,5.6313425034204556e-08,0.0
1935,3.7101681726881e-08,1.196828414151696e-09
1936,2.9099314957647948e-08,0.0
1937,1.7627565185307503e-08,5.0364472592434595e-09
1938,1.8151300906765755e-08,2.5930428915188486e-09
1939,1.988226472349197e-08,3.058810094103137e-09
1940,1.7750480196809804e-08,0.0
1941,8.854508237732261e-09,2.9515025978810172e-09
1942,2.4273694165799498e-08,0.0
1943,8.709705845433291e-09,5.806470415592457e-09
1944,1.2852744646352221e-08,3.2131861615880553e-09
1945,2.832055301382752e-08,6.535512131478072e-09
1946,2.7842208538686464e-08,6.960552134671616e-09
1947,2.622591566137089e-08,3.5762612871081956e-09
1948,3.152847583010043e-08,5.435944139264848e-09
1949,2.1597418964347526e-08,0.0
1950,2.3397795700930146e-08,1.0635361480382244e-09
1951,1.5992101864981123e-08,0.0
1952,2.5307528517259925e-08,2.1089607837865287e-09
1953,2.5857186614075545e-08,3.232148326759443e-09
1954,2.7363100230104465e-08,1.9545072227344917e-09
1955,2.2525458831523792e-08,6.569925492527773e-09
1956,2.8779767902165077e-08,0.0
1957,2.47381048978923e-08,1.7670075402875796e-09
1958,2.1507833736222892e-08,4.9633461784992505e-09
1959,2.4802393028267034e-08,5.425523585955716e-09
1960,2.353083417006019e-08,4.152500121534786e-09
1961,2.431855783413539e-08,2.08444772553662e-09
1962,1.3952304200870458e-08,6.341956404476434e-10
1963,2.909724017285953e-08,1.2932106496776896e-09
1964,2.007709554163739e-08,6.083968329129164e-10
1965,1.7510538796727815e-08,2.188817349590977e-09
1966,2.658755882123387e-08,1.1078149508847446e-09
1967,1.873527466500491e-08,7.888536934785861e-09
1968,2.1558795637588446e-08,3.1439910674890825e-09
1969,1.6350327314285096e-08,2.2708788183223305e-09
1970,2.207388050123882e-08,2.2993624781975086e-09
1971,2.1067430466814585e-08,0.0
1972,1.1799337507056862e-08,4.6171320100540925e-09
1973,1.1026407342740185e-08,5.513203782392395e-10
1974,2.2502286256553816e-08,2.2502286700643026e-09
1975,6.282628195464213e-09,2.2845920710778955e-09
1976,1.0284348483935446e-08,1.142705374768127e-09
1977,1.469195431980097e-08,2.938390863960194e-09
1978,2.0198010375338527e-08,1.7821774056514528e-09
1979,1.0533551808578068e-08,1.7555920051037788e-09
1980,1.3644362084619388e-08,5.685150683554241e-10
1981,1.644642821929665e-08,2.5302198114474095e-09
1982,1.6139505731871395e-08,0.0
1983,8.209910973278056e-09,1.89459470334441e-09
1984,1.333771937339634e-08,3.479405208395292e-09
1985,1.4437339324047116e-08,5.414002135495366e-09
1986,8.991728250862252e-09,5.994485463567401e-10
1987,1.1610551631235921e-08,6.110816852533674e-10
1988,7.195864348830128e-09,3.597932174415064e-09
1989,1.4269117443177493e-08,3.841685636274406e-09
1990,1.5256222951620657e-08,1.6345953479657283e-09
1991,1.934283488935762e-08,0.0
1992,1.4325855168806356e-08,2.7549720282848966e-09
1993,1.2186256448387667e-08,1.661762283333701e-09
1994,1.9517228722065738e-08,1.5824779264761446e-09
1995,1.2471637056421514e-08,2.7112254663563817e-09
1996,9.60856638698715e-09,5.338092190498855e-10
1997,1.1987236092636522e-08,2.3974471297094624e-09
1998,1.3350762273489636e-08,9.536258449571733e-10
1999,1.1425503210205079e-08,1.3710603763428253e-09
2000,1.2370488633450805e-08,1.7672125984802278e-09
2001,1.1391150245287918e-08,1.3143635069212678e-09
2002,8.762443215459825e-09,1.3143663935011318e-09
2003,9.167230530238157e-09,3.7502307925763034e-09
2004,8.80958239690699e-09,2.642874807889939e-09
2005,1.306087415997581e-08,3.1526248278623825e-09
2006,8.64756888319107e-09,2.0589450144825605e-09
2007,1.1184542181297275e-08,2.3966877371606188e-09
2008,8.089135583588813e-09,1.7029758714315335e-09
2009,1.1443662017995848e-08,9.53638501499654e-10
2010,1.5116137674908714e-08,3.3066551718974324e-09
2011,1.4531093661673822e-08,1.529588788962144e-09
2012,1.2595735121578855e-08,2.0425516833455504e-09
2013,1.3945625099154313e-08,2.5102124823206395e-09
2014,1.4725027419615344e-08,2.165445156521173e-09
2015,2.0614150386677466e-08,4.433150790905671e-10
2016,1.677785377296459e-08,2.4856081637381067e-09
2017,1.8867085671558925e-08,4.779661555431858e-09
2018,1.884470712809616e-08,3.872199894061623e-09
2019,1.9132407658162265e-08,6.632568272380013e-09
