year,pouviez_VERB avoir_VERB,pouviez_VERB savoir_VERB
1800,4.7162465932615305e-08,6.288328968651058e-09
1801,5.9529565277216534e-08,9.524730337773235e-09
1802,4.4756802708434407e-08,2.4616241489638924e-08
1803,2.7304748684287006e-08,3.315576790896557e-08
1804,1.0134588990240445e-07,7.4155526164076946e-09
1805,3.980028751016107e-08,3.980028751016107e-08
1806,8.35684019762084e-08,3.1698359492793315e-08
1807,2.2775640928784924e-08,1.7081731584767113e-08
1808,2.2660739951163578e-09,2.039466551195801e-08
1809,6.09938268780752e-08,4.0662548883574345e-08
1810,3.7442028144596406e-08,1.6380887757350138e-08
1811,2.2563691359778204e-08,1.0028307073639553e-08
1812,4.000812481308458e-08,3.467370746079723e-08
1813,2.8757416004054903e-08,1.1502966579257645e-08
1814,5.034683425719777e-08,3.1466771410748606e-09
1815,8.631115377966125e-08,1.6183340889597275e-08
1816,1.622322720606917e-08,1.1588019432906549e-08
1817,6.227493543065066e-08,2.3353100786493997e-08
1818,1.668964877410417e-08,1.668964877410417e-08
1819,5.3825459644940565e-08,2.4842520929269085e-08
1820,1.1510486785937246e-07,1.779972080839798e-08
1821,1.1242096320529527e-07,7.396116075142345e-08
1822,5.3135764233047666e-08,5.1130641054442094e-08
1823,7.412015179397713e-08,2.9648060007048116e-08
1824,5.726356633317664e-08,5.642145595174952e-08
1825,5.811592274085342e-08,1.2327619813845558e-08
1826,5.19671061738336e-08,1.5854372037438225e-08
1827,6.359918103271411e-08,1.935627302884768e-08
1828,4.4027046897099353e-08,1.559291185060374e-08
1829,3.3435387791769244e-08,7.715858174606183e-09
1830,6.366470017837855e-08,2.400472176589119e-08
1831,2.494592976631793e-08,6.236482441579483e-09
1832,8.523880978827947e-08,5.141388470519814e-08
1833,3.243415847009601e-08,2.89590715851773e-08
1834,5.694063887062839e-08,3.733812370398937e-09
1835,7.941242330389287e-08,1.8907719834260206e-08
1836,5.712637474175608e-08,3.293167694096155e-08
1837,5.705470584871364e-08,2.5744196108234974e-08
1838,5.617824072601252e-08,1.8936486156917454e-08
1839,5.663094881924735e-08,1.11863602825224e-08
1840,3.9492068282243054e-08,1.3376346252869098e-08
1841,4.3017674755674307e-08,4.494383976094696e-09
1842,3.6224630406422875e-08,6.708265054555795e-09
1843,3.2488010504039266e-08,1.8902115428431898e-08
1844,4.061535463506516e-08,1.6465683927435748e-08
1845,4.1293688468613254e-08,6.138250796539069e-09
1846,3.454155717008689e-08,1.1123552745573306e-08
1847,3.074137566727586e-08,1.3483059113639229e-08
1848,8.045221733254948e-08,1.045878850192139e-08
1849,5.1952373070207614e-08,1.508294644736452e-08
1850,5.5669765686161554e-08,5.431196825611551e-09
1851,3.8696633453128015e-08,3.8696632564949596e-09
1852,5.468858077506411e-08,1.1067927019325907e-08
1853,2.9859659633757474e-08,1.3735443005202796e-08
1854,3.4810952342922974e-08,1.3508727469968562e-08
1855,4.0332722051061864e-08,7.429711956774554e-09
1856,4.038207634948776e-08,1.3978411317339123e-08
1857,4.4421732070532016e-08,1.5620829074691756e-08
1858,5.774537825686821e-08,1.4191660291373864e-08
1859,2.2405561850291633e-08,1.9859475841599306e-08
1860,4.165237399433863e-08,2.242820151820979e-08
1861,3.395494019287071e-08,1.9335450573976232e-08
1862,5.1505043785482485e-08,2.3945327498609004e-08
1863,5.194405616748554e-08,1.3485475847119233e-08
1864,5.0824116470948866e-08,1.821996598039277e-08
1865,3.388927893865912e-08,2.5416959203994338e-08
1866,7.006482860560936e-08,2.0435575009969398e-08
1867,5.677789260971622e-08,1.649955905236311e-08
1868,3.408512938563035e-08,2.420538258718352e-08
1869,3.809144999422642e-08,1.8557372527538973e-08
1870,4.300536460277726e-08,2.0069171213776826e-08
1871,2.7615060460561835e-08,1.6993883633631413e-08
1872,5.1402384571019866e-08,1.9956219787786722e-08
1873,5.6268440573603584e-08,2.6338419445437466e-08
1874,6.094101223652615e-08,2.9275584623178474e-08
1875,4.806082642971887e-08,6.865832347102696e-09
1876,6.348315650939185e-08,3.627608791134662e-08
1877,4.08197848855707e-08,2.288381928394756e-08
1878,4.166971123709118e-08,2.4156355138416075e-08
1879,4.7041805117942204e-08,8.55305515301552e-09
1880,3.0805662021293756e-08,2.2462462112571302e-08
1881,3.5559789779426865e-08,2.4403776777148778e-08
1882,3.0614771162618126e-08,1.1314154946262533e-08
1883,4.2971503688704615e-08,1.3270612164717477e-08
1884,3.1027976632458376e-08,1.1883054540362536e-08
1885,2.900535989169839e-08,5.80107206715752e-09
1886,2.3232470169887165e-08,1.097088819790315e-08
1887,3.4603299781110763e-08,1.3710741875172516e-08
1888,3.360525724360741e-08,4.4384300679212174e-09
1889,1.8795409673089125e-08,1.50363277384713e-08
1890,2.7528423984790606e-08,1.1142456735058204e-08
1891,3.569563133964948e-08,1.5935549768641977e-08
1892,4.199903358426127e-08,1.4417578242387208e-08
1893,3.571881634911733e-08,6.15841644346915e-09
1894,5.5453547531669756e-08,3.0247388593807045e-08
1895,3.189865793729041e-08,2.046328972937772e-08
1896,4.2458609073037223e-08,3.066455178668548e-08
1897,1.2818770045441852e-08,2.9133566670225264e-09
1898,4.9793523970720344e-08,9.05336783318944e-09
1899,4.5878898902174114e-08,9.39688327150634e-09
1900,2.9589003247565415e-08,1.0901211489056095e-08
1901,1.8442838367604963e-08,1.2295225282343836e-08
1902,1.3748794991386148e-08,8.838511256215043e-09
1903,2.052083658554693e-08,1.674068350610014e-08
1904,3.33226779503093e-08,9.13686282189019e-09
1905,3.148063143498803e-08,1.909480928929952e-08
1906,3.4980455865252225e-08,1.7490227932626112e-08
1907,2.828563872014911e-08,1.2857108266928208e-08
1908,3.830883343880487e-08,2.4556944921982904e-08
1909,2.475442606453271e-08,9.901770070541716e-09
1910,2.404867771588215e-08,1.870452770447173e-08
1911,1.9153347352585115e-08,1.702519725199636e-08
1912,3.334029585744247e-08,1.9795800554334164e-08
1913,2.598464909908671e-08,1.3787773589513108e-08
1914,2.0759905794420774e-08,1.808120764223986e-08
1915,1.8849219074468238e-08,1.5314990164938536e-08
1916,1.0987461607214755e-08,1.7579939282086343e-08
1917,1.5352993543160665e-08,1.0966424213165737e-08
1918,1.722956355365568e-08,1.2635013924011673e-08
1919,3.1306683467846597e-08,1.4732557396257562e-08
1920,3.180337415642498e-08,9.086678076641874e-09
1921,1.3630945261411398e-08,1.438822039290244e-08
1922,3.7627472693202435e-08,2.4347187377316004e-08
1923,2.0170300985000722e-08,3.1847843473542525e-08
1924,2.0626599095407983e-08,1.2891624656674594e-08
1925,3.959344141435395e-08,1.2097995494286806e-08
1926,2.6750733184144337e-08,3.4553028882555736e-08
1927,2.7873062080630007e-08,1.4493992672726108e-08
1928,2.8565102283550914e-08,1.5996457491951332e-08
1929,3.0079096546842266e-08,3.342121956961819e-08
1930,1.995684684175103e-08,7.352522590764465e-09
1931,1.710803587684495e-08,1.3686427990933225e-08
1932,2.6302888755935783e-08,1.9727165678773417e-08
1933,1.9500125958415992e-08,1.8353059516584835e-08
1934,3.714289675826876e-08,1.4377896206951846e-08
1935,2.154291145473053e-08,1.795242710045386e-08
1936,1.091224355320719e-08,1.576212937948185e-08
1937,8.813782592653752e-09,1.510934133364117e-08
1938,1.6854778905894818e-08,1.5558256905023882e-08
1939,1.6823456405745674e-08,7.647025235257843e-09
1940,2.5357829169792012e-09,0.0
1941,8.854508237732261e-09,2.9515025978810172e-09
1942,2.1239483061208375e-08,1.517105907566929e-08
1943,3.193558839598154e-08,0.0
1944,1.927911696952833e-08,1.6065930807940276e-08
1945,2.832055301382752e-08,1.3071024262956144e-08
1946,1.8097434661967782e-08,2.9234318077442367e-08
1947,2.3841742802233057e-08,2.5033829231801974e-08
1948,2.391815279167986e-08,2.391815279167986e-08
1949,1.0798709482173763e-08,1.47255123650325e-08
1950,1.914365022059883e-08,8.508289184305795e-09
