year,autres_ADJ âges_NOUN,autres_ADJ ages_NOUN,autres_ADJ sages_NOUN
1800,1.0375742931501009e-07,0.0,0.0
1801,1.8096987730586989e-07,0.0,2.6193008650921e-08
1802,1.6112448975036386e-07,0.0,2.2378401354217203e-09
1803,1.5992782209650613e-07,0.0,1.950339223455444e-09
1804,9.640218934237055e-08,0.0,2.22466585153569e-08
1805,8.812921237222326e-08,0.0,2.842877711017877e-09
1806,4.8988376022407465e-08,0.0,0.0
1807,3.131650672116848e-08,0.0,0.0
1808,9.290903335568146e-08,0.0,0.0
1809,8.584316191218022e-08,2.259030518203531e-09,9.036122072814123e-09
1810,1.0296557917399696e-07,0.0,0.0
1811,3.008491944456182e-08,0.0,4.512738271955641e-08
1812,1.7870294755084615e-07,0.0,0.0
1813,1.35159851311073e-07,2.8757416448144113e-09,0.0
1814,1.541871768040437e-07,0.0,0.0
1815,1.780167480092132e-07,0.0,0.0
1816,4.6352077731626196e-08,0.0,0.0
1817,7.7843672841027e-08,0.0,4.670620334934483e-09
1818,1.192117764503564e-07,0.0,0.0
1819,1.511253344688157e-07,0.0,1.035105001712111e-09
1820,2.0173017389879533e-07,3.5599443393152796e-09,0.0
1821,1.272131981977509e-07,1.97229765852569e-09,0.0
1822,1.0426640528748976e-07,2.0051231786055723e-09,0.0
1823,8.004976592701496e-08,0.0,0.0
1824,1.5747480119898682e-07,1.6842225392110777e-09,1.0947446504872005e-08
1825,7.836844417852262e-08,0.0,2.641632912414593e-09
1826,6.077509340229881e-08,0.0,8.807984341885344e-10
1827,8.019027575301152e-08,1.8434546111834038e-09,1.8434546111834038e-09
1828,1.8986663974374096e-07,1.8344602503717056e-09,0.0
1829,1.4660130887023115e-07,1.714635211591542e-09,0.0
1830,1.0854309095975623e-07,0.0,0.0
1831,8.731075240575592e-08,1.5591206103948707e-09,0.0
1832,1.3394669906574563e-07,1.3529969367098715e-09,0.0
1833,1.5290389399069682e-07,1.1583628500844156e-09,1.1583628500844156e-09
1834,1.2508272106970253e-07,2.8003592777992026e-09,9.334530925997342e-10
