year,véritables_ADJ yeux_NOUN,véritables_ADJ cieux_NOUN
1800,1.2576657937302116e-08,0.0
1801,3.095537337571841e-08,0.0
1802,2.0140561218795483e-08,0.0
1803,5.265916058760922e-08,0.0
1804,2.4718509461507665e-09,0.0
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,0.0
1808,4.305540457494317e-08,0.0
1809,6.7770917766551975e-09,0.0
1810,0.0,0.0
1811,1.504245972228091e-08,0.0
1812,2.1337665856435706e-08,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,1.0788894222457657e-08,0.0
1816,2.3176038865813098e-08,0.0
1817,0.0,0.0
1818,3.5763532135746345e-09,0.0
1819,2.070210003424222e-09,0.0
1820,1.1866481131050932e-09,0.0
1821,1.97229765852569e-09,0.0
1822,2.8071724500478012e-08,0.0
1823,1.087095569118901e-08,0.0
1824,1.431589158329416e-08,0.0
1825,7.924898959288385e-09,0.0
1826,0.0,0.0
1827,2.5808365222701468e-08,0.0
1828,0.0,9.172301251858528e-10
1829,1.457439946506156e-08,0.0
1830,1.878630406793036e-08,1.0436835840010872e-09
1831,3.1182412207897414e-09,0.0
1832,1.8941957335982806e-08,0.0
1833,3.4750886612755494e-09,0.0
1834,7.467624740797874e-09,0.0
1835,1.0588323107185715e-08,0.0
1836,4.032449929525228e-09,0.0
1837,1.1132625488130543e-08,0.0
1838,4.418513555037862e-09,0.0
1839,0.0,0.0
1840,1.7198159341091923e-08,0.0
1841,2.5682194149112547e-09,0.0
1842,2.683306021822318e-09,6.708265054555795e-10
1843,1.063243981747064e-08,0.0
1844,2.7442805805577564e-09,5.488561272137815e-10
1845,2.399498022498392e-08,0.0
1846,2.0490753982471688e-08,5.854501328173001e-10
1847,1.294373674909366e-08,0.0
1848,1.448139919091318e-08,1.6090443422100975e-09
1849,3.6869426622843093e-08,0.0
1850,3.326607966869233e-08,0.0
1851,1.2898877521649865e-09,6.449438760824933e-10
1852,3.906327261660181e-09,6.510545436100301e-10
1853,3.5831591027601917e-09,0.0
1854,1.2989160858012383e-08,0.0
1855,1.326734277995456e-08,0.0
1856,1.8120163147727908e-08,0.0
1857,3.4170564155999728e-09,0.0
1858,1.468102750479261e-09,2.4468380654951716e-09
1859,5.092173349652285e-10,0.0
1860,3.204028820036342e-09,0.0
1861,3.772770984511453e-09,0.0
1862,0.0,0.0
1863,1.2486552236623538e-08,0.0
1864,4.794727948009836e-10,0.0
1865,1.4591217123438582e-08,2.3534221238463715e-09
1866,2.432806400776144e-09,0.0
1867,0.0,0.0
1868,1.975949626142892e-09,0.0
1869,4.883519366671862e-09,2.441759683335931e-09
1870,4.587239033071455e-09,0.0
1871,6.37270636261178e-09,0.0
1872,3.628403577593531e-09,0.0
1873,6.584604861359367e-09,0.0
1874,1.5533982988813477e-08,0.0
1875,5.721527140956084e-10,0.0
1876,1.813804439976252e-09,0.0
1877,6.184816214727107e-09,0.0
1878,5.435179861734696e-09,0.0
1879,2.443730107160036e-09,0.0
1880,1.0268554007097919e-08,0.0
1881,1.2550513517339823e-08,0.0
1882,4.6587693702804245e-09,0.0
1883,3.791603475633565e-09,0.0
1884,9.242375753615306e-09,0.0
1885,6.445635580831777e-09,0.0
1886,3.872078213618124e-09,0.0
1887,1.1752064210668323e-08,0.0
1888,5.07249175996094e-09,0.0
1889,3.759081934617825e-09,0.0
1890,1.3764211992395303e-08,0.0
1891,6.3742202627281586e-09,0.0
1892,3.761107425503951e-09,0.0
1893,1.1700991287000306e-08,0.0
1894,1.8904617871129403e-09,0.0
1895,0.0,0.0
