year,vastes_ADJ eaux_NOUN,vastes_ADJ seaux_NOUN
1800,2.5153315874604232e-08,0.0
1801,2.6193008650921e-08,0.0
1802,0.0,0.0
1803,3.705644502360883e-08,0.0
1804,5.6852570651244605e-08,0.0
1805,1.7057265822018053e-08,0.0
1806,3.1698359492793315e-08,0.0
1807,2.8469550272802735e-08,0.0
1808,6.798221985349073e-09,0.0
1809,9.036122072814123e-09,0.0
1810,4.680253518074551e-09,0.0
1811,1.7549536934780008e-08,0.0
1812,1.0668833283489221e-07,0.0
1813,5.463909147351842e-08,0.0
1814,1.2586708564299443e-08,0.0
1815,0.0,0.0
1816,1.3905623319487859e-08,0.0
1817,2.1796227045456362e-08,0.0
1818,2.026600220972341e-08,0.0
1819,1.1386155129855524e-08,0.0
1820,1.0679833017945839e-08,0.0
1821,6.903041693817613e-09,0.0
1822,1.4035862250239006e-08,0.0
1823,2.9648061783404955e-09,0.0
1824,3.2000230021367315e-08,0.0
1825,4.226612659863349e-08,0.0
1826,9.688783109140786e-09,0.0
1827,6.452091305675367e-09,0.0
1828,1.9261833017480967e-08,0.0
1829,1.457439946506156e-08,0.0
1830,2.817945699007396e-08,0.0
1831,1.5591206548037917e-08,1.870944643656003e-08
1832,1.0823975493678972e-08,0.0
1833,2.20088942626262e-08,0.0
1834,1.4001796166951408e-08,0.0
1835,1.9664028627630614e-08,0.0
1836,2.016225053580456e-08,0.0
1837,1.1132625488130543e-08,0.0
1838,1.199310784016916e-08,0.0
1839,9.788065469251706e-09,2.0974426639952526e-09
1840,1.4013314952876499e-08,0.0
1841,2.118781061710706e-08,0.0
1842,2.1466448174578545e-08,0.0
1843,1.6539351221922516e-08,0.0
1844,9.330554107123135e-09,0.0
1845,1.0602432709561072e-08,0.0
1846,8.196302303531411e-09,0.0
1847,1.1865092020002521e-08,0.0
1848,1.609044275596716e-08,0.0
1849,8.379414495607307e-09,0.0
1850,5.431196825611551e-09,0.0
1851,5.8044946626978344e-09,0.0
1852,1.8229528109259263e-08,0.0
1853,1.851298847554972e-08,0.0
1854,1.0391328908454511e-09,0.0
1855,1.4859423913549108e-08,5.306937111981824e-10
1856,9.318940286107136e-09,0.0
1857,1.2203773103180993e-08,9.763018171682347e-10
1858,2.104280660830682e-08,0.0
1859,8.147477359443656e-09,7.129042689513199e-09
1860,1.373155189554609e-08,4.577183909670879e-10
1861,1.7920662287451705e-08,4.715963619617014e-09
1862,2.1234535907410645e-08,1.3553959066214816e-09
1863,1.1487627737949424e-08,0.0
1864,1.8699438442126848e-08,0.0
1865,1.9298061815220535e-08,0.0
1866,1.5083399418358567e-08,1.9462451650298362e-09
1867,9.220341823379385e-09,4.85281148598915e-10
1868,1.5807597009143137e-08,4.93987406535723e-10
1869,5.371870948067681e-09,1.953407657850903e-09
1870,4.587239033071455e-09,0.0
1871,2.1242354542039266e-09,0.0
1872,9.675742873582749e-09,1.2094678591978436e-09
1873,4.190203295451056e-09,6.584604861359367e-09
1874,2.6288279997288555e-08,3.5847653734322193e-09
1875,1.716458086775674e-09,2.2886108563824337e-09
1876,6.04601479992084e-09,0.0
1877,1.2369632429454214e-08,6.184815992682502e-10
1878,1.5701630218245555e-08,6.039088673581716e-10
1879,2.2604503158163425e-08,0.0
1880,1.7969970400599777e-08,0.0
1881,1.5339516323820135e-08,0.0
1882,9.983077475794744e-09,1.3310770263785798e-09
1883,9.479008689083912e-09,2.5277355764075082e-09
1884,1.9805090900604227e-09,0.0
1885,5.156508553483263e-09,0.0
1886,1.097088819790315e-08,1.936039106809062e-09
1887,1.0446279397058333e-08,0.0
1888,8.876860135842435e-09,0.0
1889,2.0674951528576457e-08,0.0
1890,7.865263995654459e-09,0.0
1891,1.9122659011827636e-09,0.0
1892,8.775916882086676e-09,0.0
1893,1.6011883374744684e-08,1.2316833108982905e-09
1894,1.3863386882917439e-08,0.0
1895,4.213029924926559e-09,0.0
1896,1.1204354777305525e-08,0.0
1897,1.5149455023788505e-08,5.826713556089658e-10
1898,2.8291773368493978e-09,5.6583548957434e-10
1899,5.527578395003729e-09,0.0
1900,1.0901211489056095e-08,0.0
1901,2.235495566438317e-09,0.0
1902,1.6203935970793282e-08,0.0
1903,5.400220270956879e-09,0.0
1904,2.1498500757388683e-09,3.2247751136083025e-09
1905,2.580379465655369e-09,4.1286072338664326e-09
1906,9.259531807970234e-09,6.173021205313489e-09
1907,3.0857059130084963e-09,0.0
