year,vos_DET airs_NOUN,vos_DET cerfs_NOUN
1928,3.313552077166548e-08,0.0
1929,6.461435875237953e-08,0.0
1930,3.7812974085227324e-08,1.0503603542488804e-09
1931,2.8513392535955973e-08,0.0
1932,2.6302887090601246e-08,0.0
1933,3.211785326584504e-08,0.0
1934,1.677421224144382e-08,0.0
1935,2.393656828303392e-08,0.0
1936,2.0612015205756506e-08,0.0
1937,3.651424218542587e-08,0.0
1938,2.2040865133021725e-08,0.0
1939,3.6705721129237645e-08,0.0
1940,4.3108308034334186e-08,0.0
1941,2.6563523380929155e-08,2.9515025978810172e-09
1942,2.7307905936524435e-08,3.034211770724937e-09
1943,5.8064703711835364e-08,0.0
1944,3.213186161588055e-08,0.0
1945,1.5249527862692958e-08,0.0
1946,6.125285700875338e-08,0.0
1947,4.0530959921625254e-08,0.0
1948,2.9354097819123126e-08,0.0
1949,2.552422073698324e-08,0.0
1950,3.19060831088791e-08,0.0
1951,1.7058242818279723e-08,1.0661401761424827e-09
1952,2.741649041126948e-08,0.0
1953,2.693456835345387e-08,0.0
1954,2.8340354951694735e-08,0.0
1955,3.378819002364253e-08,0.0
1956,2.8779766569897447e-08,0.0
1957,2.6505112771246786e-08,0.0
1958,3.7225095728121715e-08,0.0
1959,3.7978666100890734e-08,0.0
1960,4.0832916214927906e-08,0.0
1961,2.640300600376122e-08,0.0
1962,3.107558699255719e-08,0.0
1963,3.879631949033069e-08,0.0
1964,2.9203048756976102e-08,0.0
1965,3.994591679656878e-08,0.0
1966,4.7636043332133227e-08,0.0
1967,4.9303355398322424e-08,0.0
1968,4.2668450106475575e-08,8.982831700699023e-10
1969,3.860494268703718e-08,1.3625273131978588e-09
1970,2.3453497643988186e-08,0.0
1971,2.620582706391872e-08,0.0
1972,2.4111690422046195e-08,0.0
1973,7.718485461882807e-09,0.0
1974,1.9689501584707614e-08,0.0
1975,1.313640396460869e-08,1.7134440533084216e-09
1976,2.1140049488721502e-08,5.713526873840635e-10
1977,1.763034590540613e-08,0.0
1978,2.316830594040198e-08,5.940591352171509e-10
1979,2.867466974976196e-08,0.0
1980,1.5349907178663358e-08,5.685150683554241e-10
1981,3.099519241267501e-08,0.0
1982,9.9320033308814e-09,0.0
1983,3.410270732473464e-08,0.0
1984,2.899504214504134e-08,0.0
1985,2.225756545737312e-08,6.015558051686298e-10
1986,2.2779044428489215e-08,1.1988970927134801e-09
1987,1.8332450224534114e-08,0.0
1988,1.1993107784658008e-08,0.0
1989,1.2622680567453415e-08,0.0
1990,1.47113579651581e-08,1.089730194969718e-09
1991,2.0515127652220855e-08,0.0
1992,2.1488782808720686e-08,0.0
1993,1.717154241021035e-08,5.539207426075166e-10
1994,1.7407257746349103e-08,0.0
1995,1.626735279813829e-08,0.0
1996,1.7615704006601618e-08,0.0
1997,1.8220598585472203e-08,0.0
1998,1.2873949017944142e-08,4.768129224785866e-10
1999,9.597422329088445e-09,0.0
2000,1.5021306976059634e-08,0.0
2001,1.533424159871899e-08,0.0
2002,2.2782351449812666e-08,0.0
2003,1.4584229823810801e-08,0.0
2004,2.2904915297772277e-08,1.3214374039449694e-09
2005,1.711424801875694e-08,0.0
2006,2.017765970974139e-08,8.235779835885637e-10
2007,2.5165220352008077e-08,1.1983438685803094e-09
2008,2.639612536881053e-08,8.514879357157668e-10
2009,2.288732470212551e-08,9.53638501499654e-10
2010,4.2986517012622016e-08,9.447586046817946e-10
2011,3.823972066774317e-08,1.529588788962144e-09
2012,5.7531869934734914e-08,6.808505426114664e-10
2013,6.387096518345459e-08,1.3945624655065103e-09
2014,7.665676071688665e-08,2.1654451842767486e-10
2015,7.403361701463496e-08,6.649726325136385e-10
2016,7.726098316673813e-08,1.6570720351438695e-09
2017,4.779661522125167e-08,0.0
2018,6.815071795784888e-08,0.0
2019,5.892781684835313e-08,2.55098775436835e-10
