year,aux_ADP îles_NOUN,aux_ADP iles_NOUN,aux_ADP cils_NOUN
1800,5.2193131949707094e-06,4.496155243671751e-07,6.60274537267469e-08
1801,4.336133471838366e-06,7.000676796042882e-07,3.333655484993869e-08
1802,4.0370634053488175e-06,5.326059522303694e-07,2.2378401354217203e-08
1803,3.8363173047173404e-06,3.4521004543819345e-07,1.5602713565598947e-08
1804,4.417197544626106e-06,4.301020488650664e-07,2.4718509905596875e-08
1805,2.1947016293211163e-06,1.9900143732876074e-07,6.822906328807221e-08
1806,2.7664024031537338e-06,2.766402280585112e-07,7.492339815229343e-08
1807,2.6448213539254084e-06,3.4448157260058565e-07,1.9928686256776018e-08
1808,5.103198589040403e-06,3.965629673530202e-07,2.039466551195801e-08
1809,3.8132434099225065e-06,4.111435498721505e-07,9.036122072814123e-09
1810,3.088967304165635e-06,4.610049728626109e-07,1.4040760554223652e-08
1811,3.7004454185307623e-06,3.6352613763668273e-07,1.504245972228091e-08
1812,1.957730888957343e-06,2.987273219900999e-07,4.267533171287141e-08
1813,3.6205587292670316e-06,3.5946771603789784e-07,3.4508900625951355e-08
1814,2.6872622811424662e-06,5.034683385751748e-07,1.2586708564299443e-08
1815,2.837479147643762e-06,4.2616133177908466e-07,4.5852800667489646e-08
1816,5.995641423339748e-06,4.4497993201275676e-07,1.8540831092650478e-08
1817,4.300084135877569e-06,3.580808964898097e-07,2.1796227045456362e-08
1818,3.397535436988619e-06,3.0875849166278613e-07,2.741870730460505e-08
1819,2.645728361727606e-06,2.69127307106487e-07,1.6561680027393777e-08
1820,4.357371722107928e-06,3.809140345367723e-07,1.3053129244156025e-08
1821,2.7799535722294877e-06,2.682324885538989e-07,2.2681422962023134e-08
1822,3.232258649177311e-06,4.3009892181089526e-07,1.5038423839541792e-08
1823,3.5627086170109123e-06,4.802986026675171e-07,2.9648061783404955e-09
1824,2.878336317735375e-06,3.326339594877936e-07,2.0210670470532932e-08
1825,3.7546408080402216e-06,4.693300967861802e-07,1.7610886970942374e-08
1826,4.254256460001216e-06,4.835583506945795e-07,2.025836387531399e-08
1827,3.8426810959890645e-06,5.134020985009258e-07,3.502563927781921e-08
1828,3.7478023244830183e-06,4.815458063411882e-07,4.4027046897099353e-08
1829,3.0177579759538276e-06,4.415185808070987e-07,1.800366966620004e-08
1830,4.0380116672622535e-06,5.228854744743217e-07,1.0436835395921662e-08
1831,2.9202329443478448e-06,2.0580392656732727e-07,6.704218691311326e-08
1832,2.6166961077933593e-06,3.6260318314607076e-07,4.329590197471589e-08
1833,6.37562932581659e-06,8.386547283301127e-07,6.718504863556518e-08
1834,4.378828563744719e-06,4.816617957814628e-07,4.1071935186209885e-08
1835,2.8202753767914146e-06,4.6815515020171006e-07,5.672315950278062e-08
1836,3.180931024360234e-06,4.583551405090702e-07,2.688300071440608e-08
1837,3.517213926329532e-06,5.621975959213543e-07,3.7572612465730515e-08
1838,2.2345052670402765e-06,4.33014290424083e-07,4.79724298063644e-08
1839,3.7670067918327277e-06,5.383435839334538e-07,4.194885150354821e-08
1840,2.654886294806147e-06,4.649872768491825e-07,5.159447979963261e-08
1841,3.0677379996291165e-06,4.500804391405211e-07,4.687000298986277e-08
1842,2.9368784453254193e-06,5.004365610794537e-07,4.561620370324704e-08
1843,3.0450127326275833e-06,4.5187870800766916e-07,5.6706348061652534e-08
1844,2.7294615136952416e-06,5.340370253792415e-07,5.3787900355928286e-08
1845,2.4692507594181734e-06,4.374898772141478e-07,3.794555070157912e-08
1846,2.5654424113952246e-06,4.437712106675207e-07,3.8639708765941805e-08
1847,2.883217433691243e-06,5.301538710256182e-07,6.310071398729633e-08
1848,2.750661366235363e-06,4.167424765277872e-07,5.390298696283935e-08
1849,2.046253108289875e-06,3.9718425659529544e-07,6.284561493430374e-08
1850,1.8248820872202032e-06,4.2159665003538294e-07,5.0238568860550004e-08
1851,1.96127442109173e-06,3.7342250625016504e-07,3.611685883697646e-08
1852,1.7851915181665845e-06,3.7956479936873677e-07,2.8646400807019745e-08
1853,2.6736339151511856e-06,4.269931452860476e-07,6.569125288180544e-08
1854,1.916680581359742e-06,3.507073543795869e-07,5.819144233143447e-08
1855,2.886443141392192e-06,5.710264403546716e-07,7.111295730055645e-08
1856,1.730734410898549e-06,4.2401179500828334e-07,7.610468344410037e-08
1857,2.6345503556512995e-06,5.257385335966092e-07,7.029372994793448e-08
1858,1.8772140819578453e-06,3.7583431533594336e-07,4.7468656561022726e-08
1859,2.3754988021096324e-06,5.132910798621992e-07,6.517981887554924e-08
1860,1.827669514398167e-06,3.6297067951274187e-07,3.661747172145624e-08
1861,2.1330303923150495e-06,4.121752169017334e-07,4.6688040100661965e-08
1862,1.8961988050847367e-06,3.0541587481280885e-07,4.9246050792817186e-08
1863,2.217112211155836e-06,3.9257719763874377e-07,5.693867777267769e-08
1864,1.933234329953848e-06,4.315255180964428e-07,3.931677028390368e-08
1865,2.338830860537655e-06,4.344417311452631e-07,5.412870862642194e-08
1866,1.8640162693372986e-06,3.6151503479686653e-07,4.962925237439464e-08
1867,2.0988409978883737e-06,3.8337209851135867e-07,5.774845845962773e-08
1868,1.9922511071968074e-06,3.467791616085236e-07,5.433861360870651e-08
1869,2.352879519662565e-06,3.628454621207311e-07,4.639343220702585e-08
1870,2.642823019982643e-06,3.3544185917833147e-07,5.045962936378601e-08
1871,1.5018344541317674e-06,3.228837925917105e-07,2.6552942955504477e-08
1872,2.1074978349133744e-06,3.192995086109818e-07,5.7449724755187503e-08
1873,2.9475086620323054e-06,6.907849074977435e-07,5.7465641134513135e-08
1874,2.4764755437445274e-06,4.97087469852886e-07,5.735624702962738e-08
1875,2.3870210839049832e-06,6.247907595735569e-07,8.52507540116676e-08
1876,2.1699147438880573e-06,5.616747644765496e-07,1.1850188741391321e-07
1877,2.513509130608327e-06,4.675720770563885e-07,6.9269938007821e-08
1878,2.9664004017604384e-06,4.577629320046128e-07,1.0447623294274067e-07
1879,2.4871062933584653e-06,3.824437526667168e-07,6.781351180595863e-08
1880,2.651212184900942e-06,4.7042813799968997e-07,5.647704881539539e-08
1881,2.943095395835371e-06,5.180573050544979e-07,8.088108899295676e-08
1882,2.6854479671101217e-06,4.525661880805387e-07,9.250985044673143e-08
1883,2.587769387218941e-06,4.916445659475244e-07,9.226234709558412e-08
1884,3.060546745814463e-06,5.202137112192418e-07,8.318138267071618e-08
1885,2.849615469813216e-06,5.865528489579219e-07,8.443782917311182e-08
1886,2.2942064106246107e-06,7.014915244241138e-07,1.1099957930582605e-07
1887,2.7147269463512202e-06,6.372230556550562e-07,6.985949596582941e-08
1888,2.41704239556384e-06,6.486448889120311e-07,7.925768130689903e-08
1889,2.541765923069761e-06,6.691165976846492e-07,7.768769449967294e-08
1890,2.7115496408214312e-06,8.828758542023252e-07,7.865263695894242e-08
1891,2.5401268004543454e-06,8.3693510433136e-07,8.286485808639554e-08
1892,2.6246260347306816e-06,6.801335876716053e-07,7.396844337037578e-08
1893,2.9092359525861866e-06,8.129109740906415e-07,1.096198123384795e-07
1894,2.4557097759725366e-06,6.944296506716796e-07,8.002954587915667e-08
1895,2.4267054072879546e-06,1.0580724048026013e-06,7.463081885816791e-08
1896,2.5410297013195304e-06,6.858244701035687e-07,1.0083919477210657e-07
1897,2.1692854943466955e-06,6.595839829870442e-07,1.0080214285501654e-07
1898,2.271829572464412e-06,7.893404943004612e-07,1.1316709702668959e-07
1899,2.214900590047364e-06,8.534581006358621e-07,1.2602879273515555e-07
1900,2.337531178397967e-06,8.061705569772926e-07,1.0953122142609573e-07
1901,2.0790108408164087e-06,7.365957763738606e-07,1.671032983652232e-07
1902,1.7500251416890933e-06,8.720664377293019e-07,8.691202424415678e-08
1903,2.0817848636056624e-06,7.171492546476088e-07,1.0098412239756271e-07
1904,1.772013888512447e-06,6.890269501624857e-07,9.405594081357549e-08
1905,2.089075152866826e-06,7.503743866266177e-07,8.25721445107952e-08
1906,2.315911942218918e-06,7.16070473139041e-07,1.12143219155314e-07
1907,1.8437093132206428e-06,6.639410869979656e-07,8.279978125358411e-08
1908,1.8707481217461464e-06,6.360248692161008e-07,6.875945013362639e-08
1909,1.7614149783184985e-06,6.260119427281552e-07,1.4687625665699144e-07
1910,1.7897560695701031e-06,7.342863010961764e-07,9.40570501484217e-08
1911,1.9802432476012655e-06,6.703671369123754e-07,8.67221005007579e-08
1912,1.7336953987978632e-06,5.271934462314221e-07,6.511776778905798e-08
1913,2.0421812578774734e-06,6.671161010274318e-07,8.909022852776616e-08
1914,2.157021128823544e-06,6.830678502822707e-07,6.629776044819735e-08
1915,2.1617699204057317e-06,6.161338568233532e-07,5.183535378705528e-08
