year,ces_DET âges_NOUN,ces_DET ages_NOUN,ces_DET sages_NOUN
1800,1.0690159379933561e-07,2.2009151834367913e-08,1.5406406461693223e-07
1801,9.28661236798689e-08,0.0,1.4287095906340141e-07
1802,1.969299319171114e-07,0.0,1.4098392853156838e-07
1803,2.418420654848319e-07,0.0,2.1258697269210813e-07
1804,1.384236476553724e-07,0.0,2.842628514798662e-07
1805,3.0703080255989335e-07,8.528632911009026e-09,2.2743022554116976e-07
1806,1.0374009207225754e-07,2.881669125542885e-08,1.8442682314656622e-07
1807,1.1957211620838848e-07,2.8469551160981155e-09,1.7935817453462732e-07
1808,1.495608836776796e-07,4.5321479902327155e-09,1.0877155087740675e-07
1809,1.9427662323323602e-07,0.0,1.24246679167328e-07
1810,1.708292529656319e-07,7.020380277111826e-09,8.892481551114884e-08
1811,1.6045291317823285e-07,3.5099073869560016e-08,2.0808737133393151e-07
1812,1.4936365744233626e-07,0.0,2.1070944855594576e-07
1813,1.4378707646756084e-07,0.0,1.696687541574704e-07
1814,9.754699448194515e-08,0.0,1.636272091154467e-07
1815,2.0498899289123074e-07,0.0,5.39444717784221e-08
1816,1.877259148130861e-07,2.3176038865813098e-09,1.691850872731493e-07
1817,1.696991948074711e-07,1.556873407970727e-09,1.2299299623208526e-07
1818,1.4305413009729762e-07,2.384235475716423e-09,1.502068371905807e-07
1819,1.3663385911577564e-07,0.0,1.63546592268915e-07
1820,1.3409123589269711e-07,1.1866481131050932e-09,1.82743802312757e-07
1821,1.5186691593171986e-07,4.930744257336528e-09,2.2878652217173112e-07
1822,1.8547389402101544e-07,0.0,1.4336630727029842e-07
1823,1.8678277591277492e-07,2.9648061783404955e-09,1.6108779998802447e-07
1824,1.3557991263013491e-07,1.6842225392110777e-09,2.1979104669611615e-07
1825,1.8843648152966352e-07,8.805443041381977e-10,1.5497579486378754e-07
1826,9.336463513420767e-08,0.0,1.5766292438268437e-07
1827,1.6130227820099208e-07,9.217273055917019e-10,1.0968555014256864e-07
1828,1.8619770969507954e-07,9.172301251858528e-10,1.1281930412110341e-07
